scene,video,frame,video_length,mse,phase,label,phase_error,negative_psnr,negative_psnr_normalized,phase_error_normalized,negative_psnr_with_phase
R04,01,10,411,0.004467695485800505,8,0,0.6233766233766233,-23.49916435678045,0.6630332710301624,0.005248827215169157,0.3341410491226658
R04,01,11,411,0.004470419138669968,7,0,2.8155844155844134,-23.49651756268989,0.663312096016151,0.03293639077518619,0.3481242433956686
R04,01,12,411,0.0045608580112457275,9,0,4.215584415584414,-23.409534480160975,0.6724752783180343,0.050618377456287125,0.36154682788716075
R04,01,13,411,0.004522948991507292,0,0,3.623376623376623,-23.44578310072306,0.6686566884411836,0.04313879867467117,0.3558977435579274
R04,01,14,411,0.004546037875115871,0,0,2.8,-23.423669502904797,0.670986232557902,0.03273955975461737,0.3518628961562597
R04,01,15,411,0.004688161890953779,1,0,0.9922077922077903,-23.289973997344315,0.685070307929523,0.00990716136863172,0.3474887346490773
R04,01,16,411,0.004600073676556349,4,0,1.6,-23.37235212434594,0.6763922319927146,0.01758357117081657,0.34698790158176557
R04,01,17,411,0.004689915105700493,4,0,1.0077922077922097,-23.288350185769232,0.6852413674166531,0.01010399238920061,0.34767267990292683
R04,01,18,411,0.004669594578444958,3,0,1.0,-23.307208239279813,0.6832547767239321,0.010005576878916164,0.3466301768014241
R04,01,19,411,0.004708408378064632,4,0,0.40779220779220393,-23.271258761921576,0.6870418535337411,0.0025259980973001343,0.34478392581552064
R04,01,20,411,0.00477076880633831,5,0,0.6,-23.214116290424883,0.6930614940003837,0.004953580684315896,0.34900753734234985
R04,01,21,411,0.00469105364754796,5,0,0.42337662337662324,-23.287296003717877,0.685352419612495,0.0027228291178690227,0.34403762436518204
R04,01,22,411,0.0047499993816018105,5,0,0.42337662337662324,-23.233064469155416,0.6910654091187193,0.0027228291178690227,0.34689411911829415
R04,01,23,411,0.004684095736593008,5,0,0.4155844155844136,-23.293742371160793,0.6846733307788161,0.002624413607584579,0.34364887219320034
R04,01,24,411,0.004739925265312195,6,0,0.4155844155844136,-23.242285058192472,0.6900940715227079,0.002624413607584579,0.3463592425651462
R04,01,25,411,0.004753281362354755,6,0,0.22337662337662323,-23.230064776258224,0.6913814100244987,0.00019683102056888832,0.3457891205225338
R04,01,26,411,0.0047121811658144,6,0,0.4155844155844136,-23.26778020894762,0.6874082996761449,0.002624413607584579,0.34501635664186475
R04,01,27,411,0.004808844067156315,7,0,0.2155844155844136,-23.17959305245077,0.6966983244507526,9.841551028444434e-05,0.34839836998051854
