scene,video,frame,video_length,mse,phase,label,phase_error,negative_psnr,negative_psnr_normalized,phase_error_normalized,negative_psnr_with_phase
R02,01,10,583,0.008673189207911491,1,0,0.9290431837425899,-20.618211792576005,0.8091516854958654,0.008728146269851926,0.40893991588285866
R02,01,11,583,0.009326562285423279,3,0,0.6,-20.302784050840494,0.8289624869541595,0.004406334801370248,0.41668441087776487
R02,01,12,583,0.009411588311195374,3,0,0.735478408128705,-20.263370783177894,0.8314378824795825,0.006185773388496018,0.41881182793403926
R02,01,13,583,0.00814639963209629,3,0,0.6064352243861151,-20.89034288853865,0.7920601795836668,0.004490858134258744,0.3982755188589628
R02,01,14,583,0.008040610700845718,2,0,0.8,-20.947109644437152,0.788494878306268,0.0070332310156146546,0.39776405466094134
R02,01,15,583,0.0058221048675477505,3,0,0.4709568162574101,-22.349199763298508,0.700434998669273,0.0027114195471329757,0.35157320910820294
R02,01,16,583,0.005328859202563763,3,0,0.264521591871295,-22.73365754399251,0.6762886863616774,7.509834700413602e-17,0.33814434318083875
R02,01,17,583,0.004893642850220203,3,0,0.4,-23.103677296794736,0.6530491709719419,0.0017794385871258438,0.32741430477953387
R02,01,18,583,0.004193962551653385,4,0,0.4,-23.773754517159063,0.6109642018397904,0.0017794385871258438,0.3063718202134581
R02,01,19,583,0.0041699493303895,4,0,0.264521591871295,-23.798692221643563,0.6093979606789787,7.509834700413602e-17,0.3046989803394894
R02,01,20,583,0.003968394361436367,4,0,0.4709568162574101,-24.013851761132642,0.5958846187794248,0.0027114195471329757,0.29929801916327886
R02,01,21,583,0.003655933542177081,5,0,0.8,-24.370017075027853,0.5735152473313502,0.0070332310156146546,0.29027423917348244
R02,01,22,583,0.003936236724257469,4,0,0.5354784081287051,-24.0491879109759,0.5936652913195329,0.0035588771742516125,0.2986120842468923
R02,01,23,583,0.004737429320812225,4,0,0.6,-23.244572563505656,0.6442000819860914,0.004406334801370248,0.3243032083937308
R02,01,24,583,0.005262608639895916,5,0,0.3290431837425899,-22.787989256037235,0.672876320809158,0.0008474576271187112,0.33686188921813837
R02,01,25,583,0.004878189414739609,5,0,0.3290431837425899,-23.117413405169344,0.6521864589152225,0.0008474576271187112,0.3265169582711706
