scene,video,variant,frame,source_frame,phase,label,unconditional,top3_weighted,time5,time21,appearance_time_max
R04,05,normal,18,18,0,0,0.02039404585957527,0.023667415603995323,2.4,4.190476190476191,0.6962441847271077
R04,05,normal,19,19,6,0,0.020790649577975273,0.02475033327937126,2.382790091264667,1.7941267771776226,0.33472713398613485
R04,05,normal,20,20,6,0,0.021818043664097786,0.026091579347848892,1.5827900912646669,1.7941267771776226,0.35286634235169967
R04,05,normal,21,21,8,0,0.02170640416443348,0.026772379875183105,0.6,2.095238095238096,0.3620735884424327
R04,05,normal,22,22,8,0,0.023019667714834213,0.03003048524260521,0.4,1.6835537344011915,0.4061366828481557
R04,05,normal,23,23,9,0,0.026979122310876846,0.03589611500501633,0.2172099087353331,1.8136214068417467,0.48546431925748335
R04,05,normal,24,24,9,0,0.028048068284988403,0.03836550563573837,0.2172099087353331,1.4311169056931772,0.5188607199921244
R04,05,normal,25,25,10,0,0.029681673273444176,0.04126668721437454,0.2172099087353331,1.422425032594526,0.5580967247775486
R04,05,normal,26,26,10,0,0.02922748029232025,0.049015484750270844,0.2172099087353331,1.0686037126715102,0.6628925980998364
R04,05,normal,27,27,11,0,0.03205235302448273,0.05003240704536438,0.2172099087353331,1.0102439932948417,0.6766456042303424
R04,05,normal,28,28,11,0,0.02984827570617199,0.04908522963523865,0.2172099087353331,0.6646178680076991,0.6638358381439986
R04,05,normal,29,29,12,0,0.03135822340846062,0.060395434498786926,0.4172099087353331,0.44086422052523994,0.816796706025602
R04,05,normal,30,30,12,0,0.029083017259836197,0.052568644285202026,0.22581486310299964,0.41373315949587325,0.7109460483018304
R04,05,normal,31,31,12,0,0.02702823467552662,0.04954076558351517,0.6,0.7470664928292052,0.6699965730590853
R04,05,normal,32,32,13,0,0.02978747896850109,0.049635086208581924,0.39139504563233346,0.45266033401626754,0.6712721790134784
R04,05,normal,33,33,14,0,0.02942819334566593,0.044623423367738724,0.39139504563233346,0.5688830943068242,0.6034937163849189
R04,05,normal,34,34,15,0,0.03592853993177414,0.04491124674677849,0.6,0.9047619047619041,0.6073862819383891
R04,05,normal,35,35,15,0,0.030859889462590218,0.03742116689682007,0.42581486310299965,0.5545415036940479,0.5060893445111461
R04,05,normal,36,36,15,0,0.02998390421271324,0.03941896930336952,0.6086049543676666,0.5335568386415859,0.5331079169993097
R04,05,normal,37,37,15,0,0.026723070070147514,0.03586585074663162,0.8,0.7655056807599206,0.4850550209924062
R04,05,normal,38,38,17,0,0.025076156482100487,0.03431457281112671,0.8,1.0081951946358723,0.4640753108807742
R04,05,normal,39,39,17,0,0.02632533200085163,0.03637474775314331,0.6086049543676666,0.7096914385049987,0.49193741867816815
R04,05,normal,40,40,17,0,0.02584908716380596,0.0349574089050293,0.6258148631029996,0.6410877258334905,0.47276912041077346
R04,05,normal,41,41,17,0,0.025648541748523712,0.036730606108903885,0.6258148631029996,0.7547650090022984,0.4967500992261119
R04,05,normal,42,42,17,0,0.024592028930783272,0.03500718995928764,0.8086049543676666,1.0220401067858713,0.47344236668308093
