scene,video,frame,video_length,phase,unconditional,legacy_hard,top3_weighted,label,phase_error,phase_error_normalized,unconditional_normalized,legacy_hard_normalized,top3_weighted_normalized,unconditional_with_phase,legacy_hard_with_phase,top3_weighted_with_phase
R02,01,10,583,1,0.11679410189390182,0.15742313861846924,0.15744689106941223,0,0.264521591871295,1.4834885032786797e-16,0.7323762295615757,0.8452021041537132,0.8325997275262248,0.3661881147807879,0.42260105207685666,0.41629986376311245
R02,01,11,583,1,0.09790460765361786,0.12998005747795105,0.12999401986598969,0,0.4,0.003515092930269506,0.6047835024484288,0.6862426520364279,0.674895334303233,0.3041492976893492,0.3448788724833487,0.33920521361675127
R02,01,12,583,2,0.0815277248620987,0.1168966069817543,0.11690335720777512,0,0.4,0.003515092930269506,0.4941626933149555,0.6104589558825567,0.5996953671994923,0.2488388931226125,0.3069870244064131,0.30160523006488094
R02,01,13,583,2,0.08013851940631866,0.11690370738506317,0.11690650880336761,0,0.33547840812870505,0.0018410299222287453,0.48477903749184587,0.6105000837797492,0.5997134716981772,0.2433100337070373,0.306170556850989,0.300777250810203
R02,01,14,583,2,0.07257349789142609,0.10339826345443726,0.10339966416358948,0,0.33547840812870505,0.0018410299222287453,0.4336796425860634,0.5322720613204431,0.522122726362663,0.21776033625414606,0.26705654562133596,0.2619818781424459
R02,01,15,583,2,0.05740276351571083,0.08541768789291382,0.08541859686374664,0,0.6,0.008704248868579623,0.331205995240936,0.42812258825733046,0.418829584927243,0.16995512205475782,0.21841341856295504,0.2137669168979113
R02,01,16,583,3,0.04788715019822121,0.07760484516620636,0.07760567218065262,0,0.39356477561388487,0.003348126016081668,0.2669309523049835,0.38286800503626855,0.3739478478836266,0.13513953916053256,0.1931080655261751,0.18864798694985413
R02,01,17,583,4,0.052319373935461044,0.07620486617088318,0.0762057900428772,0,0.6,0.008704248868579623,0.2968692612197887,0.37475886113464907,0.3659061548495642,0.15278675504418415,0.19173155500161435,0.1873052018590719
R02,01,18,583,4,0.05082881450653076,0.07552605867385864,0.075527623295784,0,0.33547840812870505,0.0018410299222287453,0.28680099046345264,0.3708269823755686,0.3620103920143453,0.1443210101928407,0.18633400614889867,0.18192571096828702
R02,01,19,583,4,0.04907272383570671,0.07412344962358475,0.07412615418434143,0,0.4064352243861151,0.0036820598444573423,0.2749391377903115,0.36270260432105417,0.35395958253059046,0.13931059881738442,0.18319233208275576,0.1788208211875239
R02,01,20,583,4,0.050470657646656036,0.07509387284517288,0.07509732246398926,0,0.4064352243861151,0.0036820598444573423,0.2843817509695629,0.36832361833313565,0.3595385073404727,0.14403190540701014,0.1860028390887965,0.18161028359246503
R02,01,21,583,4,0.04846832528710365,0.07201708853244781,0.07202435284852982,0,0.33547840812870505,0.0018410299222287453,0.27085661138179434,0.3505018604142797,0.3418856795175562,0.13634882065201154,0.17617144516825423,0.17186335471989247
R02,01,22,583,4,0.04737674072384834,0.07162106782197952,0.07164058834314346,0,0.4,0.003515092930269506,0.263483293201399,0.3482079767632128,0.33968112510086074,0.13349919306583427,0.17586153484674116,0.17159810901556513
R02,01,23,583,5,0.04728807508945465,0.07272455841302872,0.0727728009223938,0,0.3290431837425899,0.0016740630080409075,0.2628843840961789,0.3545997612305471,0.3461851769534718,0.13227922355210991,0.178136912119294,0.17392961998075634
R02,01,24,583,5,0.049475569278001785,0.06975610554218292,0.06987915188074112,0,0.3290431837425899,0.0016740630080409075,0.27766023492153663,0.3374054950484984,0.32956246514556314,0.13966714896478877,0.16953977902826967,0.16561826407680202
R02,01,25,583,6,0.05066823959350586,0.0717116966843605,0.07197451591491699,0,0.3290431837425899,0.0016740630080409075,0.2857163562854178,0.34873292927260224,0.3415993887570282,0.14369520964672935,0.17520349614032157,0.17163672588253456
R02,01,26,583,6,0.04836701974272728,0.0660773292183876,0.06653717905282974,0,0.3290431837425899,0.0016740630080409075,0.27017232357004883,0.3160967992100725,0.3103643348994349,0.13592319328904487,0.1588854311090567,0.1560191989537379
R02,01,27,583,7,0.03562771901488304,0.05400611832737923,0.054172370582818985,0,0.4,0.003515092930269506,0.18412226311296653,0.24617633146806486,0.23933407352413466,0.09381867802161802,0.12484571219916718,0.12142458322720208
R02,01,28,583,7,0.016850102692842484,0.041594766080379486,0.04133113473653793,0,0.33547840812870505,0.0018410299222287453,0.0572852369471735,0.17428565187870795,0.16556695123061613,0.029563133434701124,0.08806334090046834,0.08370399057642243
R02,01,29,583,7,0.016797056421637535,0.03909889608621597,0.03855957090854645,0,0.4064352243861151,0.0036820598444573423,0.05692692569118504,0.1598287428750598,0.1496455640455228,0.03030449276782119,0.08175540135975858,0.07666381194499007
R02,01,30,583,7,0.015310012735426426,0.039519302546978,0.03849077969789505,0,0.33547840812870505,0.0018410299222287453,0.0468824026962057,0.1622638769012691,0.14925038949148556,0.024361716309217223,0.08205245341174891,0.07554570970685714
R02,01,31,583,7,0.014761365950107574,0.03813248127698898,0.036207087337970734,0,0.8,0.01389340480688974,0.0431764623110257,0.15423094692036501,0.13613160438295574,0.02853493355895772,0.08406217586362738,0.07501250459492274
R02,01,32,583,8,0.013447890989482403,0.035597484558820724,0.032383810728788376,0,0.7935647756138848,0.013726437892701901,0.03430434270373654,0.1395474029197538,0.11416860046591586,0.02401539029821922,0.07663692040622784,0.06394751917930888
R02,01,33,583,10,0.01354970782995224,0.023442018777132034,0.03008037805557251,0,1.0,0.01908256074519986,0.03499208416342506,0.06913890283210077,0.10093641613926391,0.027037322454312458,0.04411073178865031,0.06000948844223188
R02,01,34,583,10,0.013281180523335934,0.024717818945646286,0.02899615839123726,0,0.5354784081287051,0.007030185860538864,0.033178264750385676,0.0765287616733787,0.09470806198943969,0.02010422530546227,0.041779473766958786,0.05086912392498928
R02,01,35,583,10,0.013205192983150482,0.02531772293150425,0.02760086953639984,0,0.33547840812870505,0.0018410299222287453,0.03266499227439715,0.08000360505654981,0.08669275529920523,0.017253011098312947,0.04092231748938928,0.044266892610716986
R02,01,36,583,10,0.01383376307785511,0.023102866485714912,0.02519071474671364,0,0.4,0.003515092930269506,0.0369107900466898,0.06717441997567725,0.07284750043079773,0.02021294148847965,0.03534475645297338,0.03818129668053362
R02,01,37,583,11,0.012159365229308605,0.0224200040102005,0.024251703172922134,0,0.4,0.003515092930269506,0.02560074727631106,0.06321905343270698,0.06745330142782809,0.014557920103290283,0.033367073181488245,0.0354841971790488
R02,01,38,583,11,0.012800309807062149,0.0228655394166708,0.024693191051483154,0,0.46452159187129494,0.005189155938310265,0.029930130877781676,0.06579974266904808,0.06998945065199709,0.017559643408045972,0.03549444930367917,0.03758930329515368
R02,01,39,583,11,0.013044454157352448,0.023733295500278473,0.025457089766860008,0,0.8,0.01389340480688974,0.03157925091596531,0.07082607447615917,0.07437770507171369,0.022736327861427524,0.04235973964152445,0.04413555493930171
R02,01,40,583,13,0.013757426291704178,0.02375900186598301,0.025593610480427742,0,0.8,0.01389340480688974,0.036395158521559876,0.0709749742949294,0.07516195514654321,0.025144281664224808,0.042434189550909565,0.04452767997671647
R02,01,41,583,13,0.014084922149777412,0.026082633063197136,0.02802855521440506,0,0.5354784081287051,0.007030185860538864,0.038607292373228096,0.08443421890891864,0.08914961709119032,0.02281873911688348,0.04573220238472875,0.04808990147586459
R02,01,42,583,13,0.014460352249443531,0.028154361993074417,0.030216403305530548,0,0.33547840812870505,0.0018410299222287453,0.041143207292252446,0.09643436182080904,0.10171781999857914,0.021492118607240596,0.049137695871518894,0.05177942496040394
R02,01,43,583,13,0.014426033943891525,0.02565714716911316,0.02771659567952156,0,0.4,0.003515092930269506,0.04091139768742224,0.08196966311575142,0.087357549922901,0.022213245308845872,0.042742378023010466,0.045436321426585255
R02,01,44,583,14,0.0141386017203331,0.024348309263586998,0.026372861117124557,0,0.52904318374259,0.006863218946351027,0.038969881371659625,0.07438843871505552,0.07963839944696963,0.022916550159005327,0.04062582883070327,0.04325080919666033
R02,01,45,583,14,0.013406566344201565,0.023116370663046837,0.025060001760721207,0,0.7290431837425899,0.012052374884661144,0.03402520742773107,0.06725264066157567,0.07209661313782373,0.023038791156196108,0.039652507773118406,0.042074494011242435
R02,01,46,583,16,0.013645167462527752,0.023265179246664047,0.025329066440463066,0,0.7290431837425899,0.012052374884661144,0.03563688463794245,0.06811458946393578,0.07364226866296014,0.0238446297613018,0.04008348217429846,0.04284732177381064
R02,01,47,583,16,0.012464812025427818,0.02093489095568657,0.023067064583301544,0,0.52904318374259,0.006863218946351027,0.027663946492185773,0.054616784749063646,0.06064808573361812,0.0172635827192684,0.030740001847707338,0.03375565233998457
R02,01,48,583,17,0.013248996809124947,0.02236800454556942,0.024734726175665855,0,0.4,0.003515092930269506,0.03296087365390769,0.06291785524122749,0.07022805125257317,0.018237983292088596,0.0332164740857485,0.03687157209142134
R02,01,49,583,17,0.013190101832151413,0.021625570952892303,0.024141859263181686,0,0.33547840812870505,0.0018410299222287453,0.03256305618829797,0.058617432977374005,0.06682229758832081,0.017202043055263357,0.030229231449801375,0.03433166375527478
R02,01,50,583,17,0.014835909940302372,0.024861862882971764,0.027500607073307037,0,0.4064352243861151,0.0036820598444573423,0.043679984050563114,0.07736311205994181,0.08611679255971873,0.023681021947510227,0.040522585952199576,0.04489942620208803
R02,01,51,583,17,0.014777351170778275,0.026262247934937477,0.029460512101650238,0,0.4064352243861151,0.0036820598444573423,0.04328443756292685,0.08547460797666827,0.09737556512959919,0.023483248703692096,0.044578333910562803,0.050528812487028264
R02,01,52,583,17,0.015383319929242134,0.027076497673988342,0.03053070791065693,0,0.33547840812870505,0.0018410299222287453,0.04737757025638373,0.09019101324265963,0.1035233585402989,0.024609300089306237,0.04601602158244419,0.05268219423126382
R02,01,53,583,17,0.01443443913012743,0.02503395639359951,0.029033128172159195,0,0.8,0.01389340480688974,0.04096817213675852,0.07835993490291106,0.09492043674706264,0.02743078847182413,0.046126669854900396,0.05440692077697619
R02,01,54,583,18,0.01346544548869133,0.02567850612103939,0.03072449006140232,0,0.7935647756138848,0.013726437892701901,0.034422917949779704,0.0820933812681924,0.10463654980813752,0.0240746779212408,0.047909909580447156,0.059181493850419715
R02,01,55,583,20,0.01446030754595995,0.03801886737346649,0.03173734247684479,0,1.0,0.01908256074519986,0.041142905333962344,0.1535728574090464,0.11045493122326186,0.0301127330395811,0.08632770907712312,0.06476874598423085
R02,01,56,583,20,0.014988584443926811,0.03491832688450813,0.0322396382689476,0,0.5354784081287051,0.007030185860538864,0.04471125339162068,0.13561349581737,0.11334039455148964,0.02587071962607977,0.07132184083895443,0.06018529020601425
R02,01,57,583,20,0.014605170115828514,0.03257053717970848,0.03258543089032173,0,0.4064352243861151,0.0036820598444573423,0.042121407463825145,0.12201431709357351,0.1153268175791836,0.02290173365414124,0.06284818846901542,0.05950443871182047
