video,frame
23,23
17,21
02,15
10,18
25,17
08,20
30,18
13,22
30,19
09,23
32,15
04,16
07,23
13,19
23,20
23,16
01,19
29,15
13,18
28,21
14,22
10,20
27,18
17,17
11,17
25,18
06,20
16,20
10,19
16,22
19,16
18,16
10,16
14,15
08,15
31,18
10,22
07,20
33,15
19,17
16,21
09,19
06,21
31,16
08,16
15,23
25,22
17,16
10,17
02,18
18,22
33,20
06,19
06,18
29,20
04,15
11,15
17,18
17,20
06,22
33,16
11,19
31,15
08,19
08,22
19,15
29,16
28,15
30,20
18,20
13,17
04,19
14,20
32,21
11,23
19,20
21,19
27,20
19,23
22,20
32,16
15,16
15,21
01,16
10,21
13,21
07,21
15,18
29,23
01,20
18,21
22,16
06,17
02,19
27,16
21,21
21,16
30,21
06,15
21,15
33,17
09,16
29,18
11,18
30,16
21,18
27,21
04,18
27,19
27,17
02,16
25,20
22,23
07,17
19,18
09,15
22,15
06,23
23,19
32,20
22,18
25,15
08,21
22,22
22,17
14,19
31,20
28,20
01,17
11,21
08,23
09,17
21,22
04,22
29,22
07,16
21,17
18,18
08,17
15,17
22,21
14,18
13,15
13,23
18,17
11,16
16,18
02,21
32,19
16,16
10,15
09,20
27,22
15,19
10,23
07,22
28,16
22,19
32,22
30,22
23,22
04,21
28,17
19,21
14,16
13,16
07,15
08,18
29,17
07,18
30,17
28,19
21,20
23,18
01,18
01,15
16,15
32,18
14,21
09,18
15,22
15,20
14,17
07,19
17,19
31,23
04,23
16,17
17,23
33,22
11,20
29,21
23,17
28,22
33,21
17,22
11,22
29,19
25,16
31,21
15,15
23,21
18,15
17,15
23,15
25,21
28,18
25,19
18,19
14,23
16,19
13,20
02,17
19,19
04,17
33,19
06,16
04,20
31,19
19,22
33,18
32,17
27,15
02,20
09,22
27,23
09,21
30,15
31,22
31,17
28,26
31,34
11,27
32,24
11,24
09,31
01,22
32,32
25,30
27,26
33,31
06,24
30,29
31,27
10,35
17,34
27,29
16,33
28,27
04,28
21,28
25,26
14,30
10,24
06,32
22,26
07,24
22,29
25,29
28,24
18,30
30,27
11,32
15,31
22,25
16,25
15,25
13,25
23,24
21,29
17,33
22,31
22,35
23,30
19,29
22,24
01,24
15,30
15,33
15,35
02,31
07,27
28,28
11,30
22,33
08,26
25,32
09,28
13,33
31,30
25,31
15,34
19,34
18,34
13,27
29,27
18,33
19,32
02,29
21,32
21,23
16,28
08,28
23,25
13,30
30,30
04,26
15,27
14,34
04,27
27,32
09,24
04,32
16,27
04,25
18,28
32,23
19,30
21,34
14,32
14,29
21,31
13,34
10,34
10,28
29,31
19,33
21,26
08,33
01,21
30,24
14,26
08,27
07,29
04,29
28,32
06,33
17,32
02,22
16,23
32,26
13,26
23,33
27,33
30,28
13,24
04,31
06,30
17,35
30,34
18,25
08,32
29,26
27,25
27,34
17,29
16,24
21,25
33,27
14,27
01,28
14,28
09,32
01,23
06,28
18,23
09,26
13,31
06,27
11,26
01,29
28,30
01,31
27,24
10,25
07,30
33,29
32,27
06,29
19,24
07,32
11,34
08,24
15,29
30,31
11,29
11,33
25,24
33,25
33,33
23,32
32,34
17,27
15,32
07,34
07,26
28,34
14,33
06,31
23,28
32,33
09,30
22,30
25,33
08,30
19,27
21,33
25,25
09,25
04,33
07,25
22,34
10,26
10,29
02,26
04,24
30,33
09,34
02,25
02,27
16,26
33,32
31,33
28,23
28,33
01,30
18,26
22,27
10,33
17,25
22,28
18,29
23,26
32,25
17,31
17,30
10,32
06,26
31,25
32,29
19,25
14,31
27,31
29,30
23,27
01,26
15,26
30,26
25,27
10,27
16,29
21,24
23,31
29,34
27,30
02,32
10,30
16,34
29,25
23,29
16,32
06,25
11,28
30,32
31,29
29,33
11,35
14,24
09,27
08,34
28,25
08,31
28,29
17,28
02,28
13,29
15,24
25,23
11,31
18,27
27,28
02,23
31,31
01,27
28,31
21,30
02,30
33,30
29,32
02,24
33,23
33,26
06,34
31,32
09,33
30,25
08,25
16,30
33,24
04,30
15,28
21,27
32,28
18,32
23,34
22,32
13,32
10,31
19,31
32,30
25,28
11,25
13,28
17,24
27,27
14,25
31,24
30,23
18,31
33,28
29,29
29,24
19,28
31,28
32,31
18,24
07,33
33,34
16,31
19,26
29,28
07,31
17,26
09,29
07,28
31,26
09,35
01,25
04,34
08,29
01,38
14,45
10,40
28,45
14,46
01,36
29,38
14,41
16,37
08,42
16,39
02,38
23,36
14,44
29,35
16,44
32,36
06,45
09,42
09,40
31,44
10,46
18,39
07,35
29,46
11,36
01,34
17,37
30,45
27,35
08,45
31,38
13,40
18,45
28,41
07,44
14,39
23,42
32,42
06,41
06,36
28,36
33,35
16,38
30,38
27,45
27,36
29,44
23,39
23,46
15,37
04,39
21,44
04,42
06,35
19,44
27,46
11,44
