video,frame
29,29
29,17
28,29
14,16
21,27
30,24
02,23
08,17
01,22
15,25
29,24
13,16
07,26
01,31
02,24
23,16
26,27
18,22
15,28
10,20
09,23
21,24
10,24
02,27
30,21
30,16
18,23
16,16
16,27
21,19
13,27
21,23
16,19
16,18
29,28
30,23
01,15
14,21
09,29
29,26
15,22
09,25
10,18
09,27
28,28
23,23
25,22
01,20
08,25
15,24
28,23
07,25
29,18
15,16
17,22
24,26
16,29
13,21
09,18
16,24
16,21
01,28
13,23
21,28
19,22
10,19
09,15
04,26
18,24
06,19
15,17
09,17
04,22
16,15
01,24
16,28
26,18
02,15
15,30
02,26
13,22
25,19
13,19
19,23
24,21
24,25
26,19
08,26
23,21
21,25
20,28
26,26
13,28
19,15
29,16
09,22
17,24
16,20
20,23
06,21
08,20
26,24
16,25
10,26
13,29
02,29
30,19
09,28
20,19
15,26
17,27
06,20
14,26
13,17
17,28
24,23
23,26
29,27
19,19
10,25
23,17
21,16
18,26
04,28
29,20
26,15
13,25
21,15
13,26
01,30
02,16
25,25
20,17
02,28
13,18
15,27
20,26
28,27
07,24
14,25
26,28
23,18
14,17
17,23
01,21
20,20
18,25
20,21
21,29
09,26
09,21
24,20
01,16
07,16
02,17
23,20
26,16
28,24
18,16
16,23
16,17
14,19
26,17
25,24
29,15
07,22
24,28
24,24
23,28
08,23
04,15
30,26
01,17
18,15
29,23
06,27
09,20
28,16
04,29
14,15
18,20
17,25
07,29
30,15
18,18
23,30
28,25
10,28
08,18
07,19
30,20
19,18
17,15
01,25
06,30
19,29
13,15
24,17
10,23
14,22
17,26
24,18
28,22
07,15
04,27
20,30
17,16
01,27
10,15
15,15
02,21
21,22
19,28
08,24
10,21
06,25
19,26
09,19
07,27
16,26
20,18
07,18
29,25
28,18
14,20
04,16
19,17
06,24
19,24
04,17
17,18
14,18
14,27
19,21
25,29
06,17
04,18
30,18
17,21
08,19
28,20
19,27
18,27
15,21
18,28
25,26
24,19
13,20
21,26
26,25
04,20
10,29
26,21
23,25
25,21
01,26
13,24
04,19
04,23
02,19
17,20
08,28
08,22
04,25
06,16
25,27
02,30
06,28
10,16
10,22
28,21
15,23
19,25
26,20
08,29
23,27
20,15
23,22
20,27
24,15
19,30
15,29
08,16
10,27
15,18
04,24
25,28
06,15
30,25
24,16
07,17
23,15
01,23
01,18
02,25
28,17
21,20
19,20
23,24
18,17
02,18
09,24
01,32
25,20
07,21
08,21
24,22
17,19
18,21
21,17
25,15
06,22
26,23
14,23
07,23
06,26
25,16
10,17
15,20
14,24
30,27
30,17
28,19
24,27
06,23
30,28
30,22
29,21
16,22
20,16
20,25
01,29
19,16
21,18
06,18
02,22
18,19
08,15
07,28
20,29
29,22
08,27
28,26
26,22
17,17
21,21
20,24
23,29
20,22
01,19
23,19
29,19
14,28
25,18
25,23
02,20
06,29
07,20
09,16
04,21
25,17
28,15
15,19
26,56
24,49
19,31
18,56
30,47
29,58
04,46
13,42
01,59
26,55
24,31
09,36
30,41
15,52
02,32
17,55
18,54
26,30
25,32
06,45
23,36
17,41
13,46
07,32
16,38
19,33
28,54
30,34
15,51
