video,frame
16,25
07,34
12,35
13,26
13,24
16,15
02,22
21,32
08,26
18,33
08,25
18,24
15,27
18,22
09,15
13,18
21,35
16,19
10,20
19,29
21,25
07,28
07,23
09,18
12,17
22,22
22,27
15,31
18,34
15,32
22,30
06,22
07,20
09,19
10,16
09,30
21,19
13,30
09,29
01,33
01,20
13,33
14,24
12,24
15,15
10,28
14,26
06,16
19,25
07,26
06,23
13,16
15,16
21,24
12,27
08,24
16,23
12,25
06,34
13,31
12,31
12,18
07,29
21,31
15,35
08,21
08,19
21,23
07,15
22,16
09,34
19,32
07,25
06,30
04,16
19,24
02,20
14,31
04,22
22,20
16,30
12,30
18,29
21,30
19,18
07,21
06,18
14,18
09,21
19,17
09,20
18,21
04,21
08,20
04,18
10,33
01,29
22,18
01,23
22,32
12,23
10,18
16,26
01,26
10,26
06,32
22,31
10,22
16,18
18,27
21,26
04,31
15,21
10,15
01,32
15,30
06,35
10,31
01,16
10,21
01,31
01,28
07,30
08,32
13,32
10,17
14,16
08,29
09,28
02,24
04,17
13,27
09,35
13,22
21,21
16,17
22,24
01,21
01,17
08,33
10,23
12,22
21,22
08,35
04,15
08,28
12,21
12,28
06,20
16,28
19,21
18,26
10,25
08,16
16,21
19,23
07,31
08,34
12,36
14,28
19,27
04,24
08,18
15,22
07,33
14,17
10,34
13,19
21,20
15,23
15,19
19,26
10,27
01,25
18,18
09,23
02,16
22,34
14,15
15,18
15,24
22,26
16,24
07,19
18,31
10,24
09,22
21,33
10,29
02,30
09,17
02,26
12,34
13,34
13,17
02,27
10,32
09,16
09,24
13,15
06,17
04,20
02,28
09,25
22,23
22,21
21,16
16,32
12,32
15,26
18,25
07,24
13,25
08,27
08,30
22,29
19,30
08,22
04,25
09,31
14,23
01,24
08,31
02,29
02,33
18,17
12,16
07,16
06,31
18,23
16,22
18,19
02,25
04,30
07,32
22,35
21,29
19,15
13,23
04,34
07,17
21,27
13,29
15,25
14,19
22,19
13,28
10,19
06,27
08,23
09,33
02,34
06,24
04,19
02,31
15,34
22,28
15,20
01,22
01,18
02,21
06,25
14,29
13,21
15,28
12,29
02,15
07,27
01,30
16,31
21,34
06,33
16,20
12,19
19,33
14,27
19,19
04,26
18,30
09,26
06,21
04,29
16,29
08,15
19,22
09,27
19,16
21,15
22,17
16,27
04,27
09,36
04,32
21,28
10,30
13,35
14,22
01,27
13,20
22,33
04,23
02,18
12,33
06,28
06,26
14,25
21,18
07,18
19,28
