video,frame
19,32
19,27
02,18
21,18
21,22
15,15
02,26
12,37
01,32
02,31
13,20
22,22
07,25
14,23
13,26
13,21
22,33
19,18
14,17
08,27
07,15
12,17
10,27
07,20
04,31
14,20
02,25
06,19
10,26
04,30
07,30
02,29
10,31
15,34
01,28
01,16
12,19
21,21
06,26
10,22
08,28
07,26
13,18
01,15
21,17
12,31
13,34
21,15
22,32
22,25
15,19
19,33
15,23
08,29
07,33
06,18
19,29
12,24
02,23
04,32
04,26
09,34
18,23
01,31
18,32
19,34
16,30
19,31
18,15
02,22
07,23
21,19
18,33
22,34
15,20
14,30
22,23
14,25
02,32
04,22
12,27
21,30
12,32
16,16
18,18
16,24
04,18
16,29
07,34
12,29
21,26
13,31
09,23
08,20
21,20
06,28
08,18
12,25
22,20
18,25
19,28
16,25
19,21
08,15
02,21
16,32
18,21
09,30
14,15
16,31
08,34
06,33
04,34
09,22
09,15
08,21
04,29
07,27
08,22
21,24
13,35
10,34
10,32
06,32
14,24
12,36
07,22
21,29
10,25
06,16
08,35
10,28
18,28
01,30
19,30
07,19
01,17
09,21
13,19
01,26
16,23
06,15
18,19
09,19
18,22
04,25
21,23
13,25
18,20
13,23
16,19
18,31
13,17
16,21
21,33
10,21
15,30
14,26
04,19
01,24
12,34
12,35
07,28
12,28
08,23
13,27
02,19
10,19
10,24
06,34
16,26
06,27
06,22
15,35
15,31
01,29
22,18
19,25
14,16
18,27
04,21
02,24
02,28
09,20
09,27
18,26
21,32
13,30
07,21
08,30
01,27
19,17
15,22
15,18
10,29
18,30
22,30
04,33
10,23
13,29
09,26
04,28
01,21
15,17
14,19
02,15
15,25
19,16
09,29
18,29
02,17
01,19
13,15
22,19
07,16
12,33
19,26
10,17
06,31
12,26
04,24
14,18
06,17
18,24
14,31
08,16
06,30
21,27
16,20
04,20
21,31
19,19
08,19
01,25
16,17
02,27
08,17
06,21
15,28
12,23
12,20
02,30
12,30
09,18
12,15
21,34
22,24
15,26
01,18
04,15
10,18
18,16
08,31
18,34
07,24
04,23
15,27
01,23
10,15
19,15
14,27
09,32
01,33
13,32
09,36
09,37
07,31
16,27
15,29
02,16
22,17
22,15
14,22
14,21
22,21
06,35
06,25
12,18
02,20
13,33
04,27
15,32
07,18
22,29
10,30
15,16
13,24
08,26
04,16
10,33
04,17
22,26
08,24
02,33
22,16
09,35
19,23
21,16
09,31
09,28
02,34
22,28
08,33
15,21
19,20
08,25
22,31
13,22
22,35
16,18
21,25
13,16
06,23
18,17
06,29
07,17
09,16
21,28
09,33
07,32
16,22
22,27
09,17
19,24
10,20
06,24
15,24
10,16
19,22
16,15
12,21
07,29
16,28
21,35
13,28
12,16
06,20
01,20
01,22
12,22
15,33
09,24
08,32
09,25
14,29
14,28
22,63
02,54
12,48
22,49
10,57
07,48
01,51
15,45
19,60
07,68
01,58
19,47
02,55
01,61
19,64
02,65
02,45
06,40
22,45
02,40
12,68
09,49
02,67
04,49
07,66
10,60
21,42
13,56
19,52
18,57
13,38
13,55
06,62
22,37
16,65
04,52
04,44
06,56
08,55
04,66
18,40
04,40
09,72
15,61
21,71
22,41
07,45
10,55
21,57
02,52
21,59
12,73
07,53
06,43
07,46
21,58
14,57
21,70
14,45
01,36
07,44
01,39
06,37
02,50
09,47
04,48
09,53
19,37
10,48
09,66
21,36
08,44
12,69
01,45
18,50
15,38
07,38
06,36
13,68
02,51
02,38
06,46
09,67
18,44
13,39
04,68
01,62
07,50
07,62
02,44
04,67
04,41
15,68
15,50
08,67
19,57
16,42
10,36
19,58
02,47
07,55
01,59
08,63
04,57
12,72
07,37
15,66
18,36
09,71
01,50
09,57
22,61
16,60
02,35
22,38
07,60
08,56
04,62
19,68
18,62
22,43
10,50
19,53
13,49
16,61
10,66
10,54
21,44
09,63
10,37
16,46
14,62
12,43
15,63
16,38
14,38
13,42
10,41
09,70
08,65
01,66
18,68
10,63
04,59
10,39
10,68
09,51
15,60
02,53
09,44
16,62
07,57
12,54
10,42
16,34
12,59
01,43
16,51
21,68
04,55
18,65
09,68
12,47
22,57
21,63
08,39
02,41
13,59
07,52
08,59
06,48
22,53
19,35
09,69
12,64
08,46
09,58
14,35
09,73
06,49
09,62
08,58
01,53
12,53
14,59
08,36
10,35
15,64
07,61
06,50
01,38
01,34
16,50
16,48
14,32
15,55
19,51
14,33
14,39
02,37
13,50
16,55
18,64
06,65
10,59
06,51
01,42
14,48
06,68
04,56
10,53
12,74
19,39
12,71
18,58
18,48
14,52
18,47
19,65
08,68
10,51
08,62
09,42
13,60
04,58
07,54
10,40
22,67
19,48
04,36
02,69
21,52
19,43
19,62
13,54
18,61
16,49
07,64
12,65
15,40
18,35
12,38
13,53
06,66
02,64
13,71
06,52
15,49
08,64
22,59
12,45
06,47
16,44
01,37
16,57
16,58
10,62
19,46
04,61
06,39
22,55
10,61
21,41
10,45
16,33
09,54
19,38
06,70
07,51
14,54
10,56
12,63
06,44
13,44
13,37
09,43
22,39
16,39
02,48
07,39
12,40
09,52
08,52
21,40
21,60
15,62
21,50
09,74
13,51
22,54
21,49
09,56
12,70
13,61
16,35
13,43
21,47
15,41
12,60
01,41
04,50
06,58
15,36
14,50
19,42
14,60
12,58
13,41
08,38
02,62
04,45
10,43
14,58
22,51
15,44
22,42
08,51
02,42
07,63
22,36
06,53
01,40
21,51
18,45
02,57
09,59
18,59
18,52
15,67
01,64
18,60
14,61
06,59
12,39
19,61
09,55
13,70
14,55
18,53
15,53
06,60
21,64
19,69
22,52
07,56
16,64
21,56
15,58
04,64
15,37
07,43
22,50
16,59
22,65
15,46
09,38
16,53
13,64
12,67
06,38
12,55
22,60
22,44
10,49
09,40
14,53
21,66
08,61
19,49
01,46
21,54
14,34
08,50
08,43
09,45
12,51
21,37
22,69
08,54
18,56
13,62
06,67
14,56
19,45
15,48
19,67
07,35
01,60
02,60
19,44
15,52
16,40
21,69
15,47
01,65
09,60
14,41
16,45
15,70
18,51
08,37
04,35
15,57
08,41
04,37
22,58
19,40
01,54
08,45
08,47
09,61
06,57
18,66
04,47
22,68
16,43
15,65
18,54
04,60
14,40
06,61
16,41
07,65
22,70
13,45
08,49
02,39
07,47
12,42
22,64
19,59
12,44
15,56
02,56
12,61
06,55
22,46
15,51
08,70
12,49
02,68
15,43
21,62
16,54
13,57
04,53
06,42
19,66
13,36
09,39
13,69
21,67
21,61
01,52
18,43
19,54
14,37
04,54
08,69
06,64
01,44
13,52
07,49
14,46
16,47
02,49
04,39
21,38
02,43
02,66
12,41
10,47
18,67
09,48
13,47
14,42
01,49
07,41
01,55
08,60
13,40
13,65
14,43
06,69
21,48
10,67
21,43
06,54
19,50
13,48
10,58
09,41
14,36
09,46
10,52
19,36
15,54
13,67
04,46
08,53
10,44
02,61
04,43
06,41
07,58
22,62
22,40
12,56
18,55
16,63
01,63
22,56
18,83
15,82
04,102
08,84
06,104
09,95
13,76
22,104
21,84
22,74
22,78
19,103
13,90
08,104
15,74
16,92
18,91
16,80
10,99
12,96
06,95
15,93
15,90
19,98
01,98
10,81
06,82
18,96
01,78
22,100
10,100
15,84
22,88
14,67
22,77
21,72
18,97
09,106
04,87
14,65
06,75
06,103
08,94
08,85
10,78
21,79
07,100
22,96
18,92
18,78
18,71
16,67
12,91
06,97
12,93
12,92
15,91
22,86
19,95
02,102
08,88
16,84
16,79
15,89
19,94
04,82
08,90
13,87
14,74
10,73
19,79
04,90
22,79
10,76
16,97
22,85
08,82
01,88
12,104
19,83
19,101
09,77
21,104
01,82
08,79
14,70
22,102
09,81
22,98
12,94
07,84
09,86
04,80
10,79
21,85
06,84
16,71
13,82
04,89
16,91
01,68
07,101
02,98
16,81
13,83
07,85
16,90
07,80
04,77
10,89
13,79
04,79
04,75
22,80
10,104
12,106
09,98
07,97
22,95
10,70
14,78
07,92
15,83
16,78
21,93
04,76
01,94
08,102
14,90
14,92
12,107
08,78
08,87
18,73
01,99
16,72
22,92
15,72
04,97
15,77
21,77
21,99
21,101
04,94
09,79
15,79
04,71
14,86
13,88
22,89
19,92
07,103
21,90
08,77
10,92
07,89
10,77
16,86
15,100
08,99
01,85
02,92
02,76
15,73
12,89
02,82
15,105
15,94
15,87
13,100
07,94
06,79
14,64
21,100
08,80
21,86
09,88
07,95
18,90
04,86
16,75
04,91
16,83
07,93
21,89
07,75
07,73
06,93
18,79
21,87
10,102
14,81
06,100
10,101
09,92
04,74
10,88
02,88
09,84
15,95
15,86
14,71
08,74
16,89
04,83
08,76
08,101
10,80
13,72
06,92
08,75
12,100
18,75
13,81
02,77
07,82
06,98
06,73
06,89
14,91
10,91
19,100
22,103
08,89
08,98
09,99
02,100
09,105
09,89
10,87
06,91
08,100
08,91
07,90
09,80
14,79
12,108
16,73
09,75
16,77
14,69
22,90
10,75
18,74
16,88
13,106
09,83
01,93
12,79
10,72
01,92
09,110
10,98
22,71
14,84
19,99
13,80
22,93
12,101
02,97
16,95
14,75
04,96
19,71
19,81
21,74
19,85
08,92
14,87
04,78
04,70
19,73
14,80
19,80
18,87
09,85
19,78
13,86
22,83
13,94
18,70
13,91
12,88
07,83
10,84
07,96
12,105
02,93
13,95
04,81
13,103
01,84
13,102
02,73
19,77
01,95
08,83
10,96
13,105
15,99
16,74
07,70
01,69
13,75
10,85
14,76
19,97
02,94
18,76
06,78
18,82
21,92
07,69
12,111
06,83
21,91
15,104
06,85
01,97
16,87
09,111
13,74
08,71
18,102
22,94
12,85
10,90
19,104
21,96
02,85
15,81
04,95
02,74
22,75
22,99
16,82
02,103
15,96
18,99
22,105
13,101
14,82
02,101
19,93
06,105
06,101
13,77
14,88
21,97
16,68
06,86
21,75
02,80
22,72
12,78
12,90
07,78
12,109
09,91
18,69
09,109
08,73
15,97
02,96
07,77
06,81
09,100
19,84
15,75
19,82
13,84
13,96
12,83
16,98
09,104
10,82
22,97
08,106
14,68
18,93
15,71
21,81
06,77
15,103
21,73
01,86
19,91
12,98
01,90
07,71
08,103
04,98
19,88
19,76
04,72
15,80
18,72
16,94
04,92
06,96
16,76
01,100
10,86
19,96
01,71
08,72
18,98
10,103
15,102
13,98
09,93
18,88
01,87
01,89
14,72
13,93
18,86
09,107
08,86
06,71
18,85
15,101
18,80
14,77
07,91
04,93
07,87
09,101
13,92
12,99
04,69
10,83
06,72
07,72
18,77
07,102
04,85
19,72
22,101
01,67
02,89
04,103
04,99
21,88
02,72
09,76
22,84
13,78
18,100
13,97
16,70
16,69
09,94
07,76
21,80
14,94
06,94
18,103
14,85
01,80
06,87
16,93
06,99
22,81
12,77
01,73
07,98
16,96
09,90
01,81
22,87
07,99
18,95
18,89
15,76
12,75
01,79
12,86
13,99
04,101
02,79
21,78
14,93
19,90
07,79
02,83
21,102
02,81
10,74
01,76
06,90
10,71
09,96
09,78
06,88
09,97
18,101
22,82
02,70
09,87
21,98
21,83
16,66
08,97
06,102
18,84
06,80
12,95
19,86
19,75
02,95
21,103
10,131
22,127
13,113
12,142
16,107
07,110
16,130
07,135
13,130
01,108
06,116
12,147
01,127
06,137
02,111
09,128
04,131
19,106
12,137
15,109
16,106
06,126
12,127
14,107
18,112
16,108
10,130
15,138
13,120
09,113
22,132
09,121
16,121
12,131
06,117
18,116
19,128
12,135
18,108
18,107
15,126
16,111
22,119
01,109
02,113
14,109
04,107
13,132
13,112
10,127
04,112
19,108
10,129
22,139
12,140
07,124
01,119
19,114
14,124
21,121
04,137
01,132
18,136
14,115
10,132
04,127
04,106
06,128
21,132
01,120
12,132
19,131
13,141
18,109
15,136
13,139
18,132
22,114
18,129
14,97
01,128
16,123
19,126
04,123
13,140
04,105
09,120
02,124
08,115
16,114
09,114
18,118
13,133
06,122
02,126
07,115
06,106
07,120
21,139
01,131
01,102
16,100
08,122
04,128
12,144
06,112
04,108
09,138
02,136
10,135
21,135
01,125
13,115
07,127
15,116
01,112
19,115
16,115
16,120
18,130
06,120
02,106
16,102
15,137
08,128
22,116
04,111
21,111
09,129
18,119
02,110
13,129
21,127
19,105
13,137
16,129
08,116
09,144
14,122
06,136
21,112
12,143
15,112
22,129
08,125
12,113
01,114
13,125
02,108
12,123
07,112
13,122
19,116
