video,start,end,frames,mean_appearance,mean_temporal
01,37,42,6,3.0323018625644633,0.0
01,184,229,46,2.9065489205728694,0.06573900254983013
02,37,45,9,3.206974026602724,0.06424409696096788
02,173,255,83,2.9157942749899797,0.06391594194427438
03,37,64,28,3.0683647563408054,0.05591060417601366
03,260,408,149,3.0807496299231385,0.07450254432965192
04,37,53,17,3.079180098290826,0.0009407672201078602
04,144,190,47,2.887600942691662,0.09015537458389587
05,37,93,57,2.991621921206253,0.022180773644695763
05,186,289,104,2.9452570794689614,0.04376579548291336
06,230,232,3,3.109794720891422,0.18434685210248788
07,200,230,31,2.940386290782586,0.0737266235086457
08,224,234,11,2.98748790135821,0.024623387385437154
09,37,228,192,2.7267391729884625,0.09258279719645583
10,37,230,194,2.296738138186912,0.05841300879037067
11,47,53,7,1.466473128959821,0.04667008913987032
11,83,84,2,2.134697940399997,0.0
11,89,231,143,1.854473924440743,0.09242635835252644
12,68,69,2,2.1592177607092955,0.04467807313999783
12,120,120,1,1.455442731581332,0.0
12,193,193,1,1.380385375424271,0.1463847186192031
12,198,230,33,1.3381451781041105,1.125616666927097
