video,start,end,frames,mean_appearance,mean_temporal
01,37,42,6,2.8454726527900256,0.13810148780881426
01,184,229,46,2.760690543185745,0.019909860757182082
02,37,45,9,3.002673328449063,0.0
02,173,255,83,2.7460781453812078,0.012710690341700553
03,37,64,28,2.7798011153434175,0.16611973338214112
03,260,408,149,2.883409651218146,0.11844969080389187
04,37,53,17,2.904694937365908,0.0
04,144,190,47,2.7389403667641625,0.018186858026513444
05,37,93,57,2.716795997682182,0.04972161874214257
05,186,289,104,2.735022847869521,0.011058603436569938
06,230,232,3,2.99238357569708,0.10157002704046159
07,200,230,31,2.7030301888193597,0.009897110184543315
08,224,234,11,2.7229210806330344,0.0072703889981242335
09,37,228,192,2.5261392358139734,0.10421998846252095
10,37,230,194,2.1707980844892596,0.04031887354286233
11,83,84,2,2.229147024756501,0.0
11,90,159,70,1.8585111686895122,0.14788394366517923
11,163,178,16,1.6730024402411456,0.0
11,185,188,4,1.5724926937160424,0.0
11,192,231,40,1.8222742432212986,0.037709084270271045
12,68,69,2,2.3608115928093443,0.046853617987911766
12,152,156,5,1.135564572635626,0.654286540571194
12,164,167,4,1.0668144769981565,0.4986207802796891
12,193,193,1,1.2530067429433254,0.3160465024851266
12,198,206,9,1.8941291209663318,0.5392863398127159
13,151,151,1,1.1143937516187192,0.6420022759010301
13,162,168,7,1.331516197956131,0.47524494094405334
13,172,173,2,1.0329956931275937,0.6384343998186173
14,120,121,2,0.7014807050076306,1.0257307144853614
