split,video,component,frames,median,q95,q995,max
normal_calibration,03,appearance_score,515,0.10624781829472263,0.19870715515697449,0.9798068613468663,1.6072873850692169
normal_calibration,03,temporal_score,515,0.004114855353391941,0.25693673668315087,3.4879929216536625,4.262063806696432
normal_calibration,03,combined_score,515,0.06294628477605005,0.4600162728926654,1.8090244284017603,2.1894257270910185
normal_calibration,05,appearance_score,567,0.020896671488377094,0.09977076225379576,1.0178410085499245,1.418782590719324
normal_calibration,05,temporal_score,567,0.009291224116789652,0.1564018750620586,0.23249723912090442,0.2532166689013452
normal_calibration,05,combined_score,567,0.024675245134649585,0.10834105993939967,0.6072589562309794,0.7745570867581633
normal_calibration,11,appearance_score,565,0.0,0.043146795299228845,1.0798645960824154,1.4878142979527165
normal_calibration,11,temporal_score,565,0.0,0.11225484432279681,0.25553052959281786,0.2579040258691222
normal_calibration,11,combined_score,565,0.004649587764050143,0.0665982381461604,0.6414593246075229,0.7685525483345006
normal_calibration,12,appearance_score,555,0.0,0.04041221017641893,1.0273153539779036,1.588492167907318
normal_calibration,12,temporal_score,555,0.0,0.09032087622167241,0.14946677338785924,0.192281028320244
normal_calibration,12,combined_score,555,0.006353515409971971,0.05931165461751066,0.5166304313787027,0.7990527120910996
normal_calibration,22,appearance_score,566,0.0,0.16102794963936107,0.7237050898759887,1.3799013875883408
normal_calibration,22,temporal_score,566,0.0,0.09212306359528852,0.17944417050728134,0.21334431688282476
normal_calibration,22,combined_score,566,0.010165725983081887,0.10069481167107375,0.36185254493799435,0.6899506937941704
normal_calibration,27,appearance_score,554,0.0,0.05559959499229874,0.7057674762733103,1.3348415416072872
normal_calibration,27,temporal_score,554,0.0,0.09541614058969873,0.17214883014364188,0.2250925270946831
normal_calibration,27,combined_score,554,0.005094729025843929,0.06201292951931393,0.4248143914931888,0.7038779916641315
test_normal,01,appearance_score,548,0.059610854267207414,0.21208456175669033,0.5936365976697903,1.304267935726529
test_normal,01,temporal_score,548,0.008114415242776063,0.11287147626995735,0.2084280984189915,0.2532166689013452
test_normal,01,combined_score,548,0.04312647852485958,0.13303945427669325,0.29681829883489513,0.6521339678632645
test_normal,02,appearance_score,560,0.13378489795777332,0.5831482953060507,0.7127649160465185,1.4420508448160638
test_normal,02,temporal_score,560,0.006697076176607595,0.1314610807737163,0.22320559755502126,0.25084317262504086
test_normal,02,combined_score,560,0.07725006790858871,0.3262578718620935,0.435543638077049,0.7820087714569984
test_normal,03,appearance_score,269,0.0,0.09862351808120284,0.18680913656897,0.2556565589239993
test_normal,03,temporal_score,269,0.0007673111915021119,0.18990355633828404,0.2630031069145783,0.3235270234180005
test_normal,03,combined_score,269,0.006661294825708473,0.1365700902449714,0.17493810684059463,0.18176866594233448
test_normal,04,appearance_score,274,0.1261518581637882,0.18715035828494503,0.4704396240415659,1.6222053616780319
test_normal,04,temporal_score,274,0.0,0.1096577146033733,0.3583449018085195,0.37975542850304744
test_normal,04,combined_score,274,0.06922852768857439,0.1341256190976317,0.3865939320994895,1.0009803950905396
test_normal,05,appearance_score,268,0.5439668379363856,0.7349262578701384,0.8763018616985545,1.2820674276920028
test_normal,05,temporal_score,268,0.035658104023742254,0.1625163115748598,0.22683034779373784,0.2391545979980142
test_normal,05,combined_score,268,0.2929421126431025,0.39386775652435374,0.5341293871182675,0.7468689862469412
test_normal,06,appearance_score,284,0.5478307871726711,0.7966863350246597,1.2759794871314667,2.2664181557401477
