split,video,component,frames,median,q95,q995,max
normal_calibration,03,appearance_score,515,0.09222707966520348,0.2220900740492611,1.076694232426057,1.5461265267529989
normal_calibration,03,temporal_score,515,0.027083520954608246,0.5621834338249423,5.873457863215918,7.805611661503582
normal_calibration,03,combined_score,515,0.0716086260404751,0.5053480847593993,3.0384901230184584,4.005979990901312
normal_calibration,05,appearance_score,567,0.01342006552170193,0.09786531982589243,0.9623938427745262,1.3870750297235586
normal_calibration,05,temporal_score,567,0.01817898772367858,0.3610519591844746,0.5137929766485017,0.6193626917232566
normal_calibration,05,combined_score,567,0.03161714893311581,0.21203666536240126,0.7201482584012242,0.8398457777357553
normal_calibration,11,appearance_score,565,0.0,0.06078844142075704,1.1091376215100097,1.560999984031916
normal_calibration,11,temporal_score,565,0.0,0.2797326966577403,0.5621834338249421,0.5621834338249421
normal_calibration,11,combined_score,565,0.01378759596580447,0.18362534047388204,0.7153468083991154,0.8934959395051958
normal_calibration,12,appearance_score,555,0.0,0.0721171742692535,1.0204939944899911,1.6433427055629735
normal_calibration,12,temporal_score,555,0.0,0.1951475578480895,0.3512799605945802,0.41167832615913796
normal_calibration,12,combined_score,555,0.010241733964836106,0.1308934027083303,0.5325051595686469,0.8216713527814867
normal_calibration,22,appearance_score,566,0.0,0.1634731265310932,0.7604070902089007,1.492449425795415
normal_calibration,22,temporal_score,566,0.0,0.1987357940877345,0.4100546360492243,0.4687254693210888
normal_calibration,22,combined_score,566,0.018064606424461248,0.14958597301779186,0.4168891321070241,0.7462247128977075
normal_calibration,27,appearance_score,554,0.0,0.05921676083395733,0.6852206776126596,1.4495406958892163
normal_calibration,27,temporal_score,554,0.0,0.17007085973884978,0.372204160425165,0.4947520723847854
normal_calibration,27,combined_score,554,0.004954999636956829,0.11884429604496079,0.3426103388063298,0.7247703479446082
test_normal,01,appearance_score,548,0.05236043586387126,0.19368100258602314,0.6230423427572602,1.319946040688449
test_normal,01,temporal_score,548,0.0,0.21461862769340753,0.44173588194403485,0.5259047272194033
test_normal,01,combined_score,548,0.045794414447976314,0.15720234442985712,0.3115211713786301,0.6599730203442244
test_normal,02,appearance_score,560,0.12332207499455525,0.539278149675537,0.6269881315456552,1.2761185176189729
test_normal,02,temporal_score,560,0.014827677244580062,0.38593312748389624,0.5697234860587066,0.7855101841745515
test_normal,02,combined_score,560,0.08991611814968858,0.4117458204801975,0.5818027194266192,0.749511250406109
test_normal,03,appearance_score,269,0.0,0.04983831482850174,0.13672428639580536,0.1933041239964469
test_normal,03,temporal_score,269,0.015915421907309737,0.526877091679042,1.002094855298038,1.127423121884436
test_normal,03,combined_score,269,0.013334780723667361,0.2849230800152635,0.5662248495837519,0.6603636229404414
test_normal,04,appearance_score,274,0.07628262554563445,0.125832592181809,0.39459860365930144,1.4166203831704953
test_normal,04,temporal_score,274,0.005901124890922788,0.2921668952618598,0.41398262735255204,0.5155205089411973
test_normal,04,combined_score,274,0.04766624181241649,0.19656002713466847,0.3916041878509655,0.9111767730966278
test_normal,05,appearance_score,268,0.4131645424952338,0.5079802411483328,0.5918760520705582,1.1155399134897024
test_normal,05,temporal_score,268,0.13386745853303839,0.6056403744395884,0.9320961962626105,1.0658840776861116
test_normal,05,combined_score,268,0.2747640213034279,0.5319848662171524,0.6946722033410218,0.7797544681035761
test_normal,06,appearance_score,284,0.4232985281185477,0.6478005578497321,1.04015192444637,1.9166762226403335
test_normal,06,temporal_score,284,0.18984006850589555,0.7960225537470301,1.0241597337623871,1.159342042189965
test_normal,06,combined_score,284,0.299676135923754,0.6266234624985767,0.9842765365046569,1.4523063029358594
test_normal,07,appearance_score,387,0.45072213789019766,0.6364862410024283,0.6846405224518579,0.7135871843144054
test_normal,07,temporal_score,387,0.16758313925311671,0.7966633102183956,1.6383725490239311,1.9589268496118217
test_normal,07,combined_score,387,0.3319516860120426,0.6505177044596765,1.1233689291543552,1.2433454823997832
test_normal,08,appearance_score,555,0.4120364888370095,0.5298456342761172,1.2273232192557302,1.9365546551313357
test_normal,08,temporal_score,555,0.07158857181107521,0.5621834338249421,0.7945177668998467,0.9828103314604643
test_normal,08,combined_score,555,0.2513651229129893,0.5065453130488968,0.6956758090335918,0.982717468250247
test_normal,09,appearance_score,666,0.39463343961632985,0.5338766123672543,1.2136920932733222,1.9702226218589258
test_normal,09,temporal_score,666,0.08771097347202178,0.6206111759818961,1.0072984584192013,1.1852365305172983
test_normal,09,combined_score,666,0.24678570036059408,0.5566689263883893,0.9557059527740029,1.2627107949773801
test_normal,10,appearance_score,265,0.3896240200443462,0.5488147194335424,0.594381519588614,0.5978450981448452
test_normal,10,temporal_score,265,0.004077941529100565,0.20912001236594055,0.30783614337707865,0.33373063170441164
test_normal,10,combined_score,265,0.21305284186048262,0.3271464218809828,0.3721357769698115,0.40115985583017555
test_normal,11,appearance_score,315,0.47189162563345416,0.8949267456173188,1.575312818485827,1.8986909622729282
test_normal,11,temporal_score,315,0.011097637854571324,0.30056719058233466,0.535495992849953,0.6401311282796686
test_normal,11,combined_score,315,0.2603124440285274,0.5279472929841874,0.7876564092429135,0.9585935126819403
test_normal,15,appearance_score,380,0.4652368539496883,0.6794579462364589,1.283113408654195,1.632933639100579
test_normal,15,temporal_score,380,0.1422435328185121,0.6791014524473954,1.7451968256351988,2.192505703503274
test_normal,15,combined_score,380,0.32764229733689276,0.6255596204358681,1.0724341158491504,1.3028378772504587
test_abnormal,03,appearance_score,269,0.5887314061013674,0.7480642749300261,1.2682206196616503,1.8906805982234498
test_abnormal,03,temporal_score,269,0.7906362359454727,9.962744084727863,14.035356809975264,15.094962971542325
test_abnormal,03,combined_score,269,0.7068795121321485,5.305516221187391,7.303931883015757,7.8327332463918955
test_abnormal,04,appearance_score,269,0.8192977868231034,1.1202880422576151,1.5700620538962244,1.6557408421681863
test_abnormal,04,temporal_score,269,0.3286045799334904,1.6109894799237412,2.6444924118800364,2.88312227637215
test_abnormal,04,combined_score,269,0.5799879960104274,1.196300782512225,1.700735411043181,1.8416784132321282
test_abnormal,05,appearance_score,280,1.0119226044932779,1.35279352850145,2.373135258908327,2.5111958676138855
test_abnormal,05,temporal_score,280,0.40830940038185737,1.5482702107472321,2.5433041058838084,2.7792800935900903
test_abnormal,05,combined_score,280,0.7178447443814784,1.3676131114434766,1.82074227777609,1.9336968997742416
test_abnormal,06,appearance_score,285,1.112026240111785,1.8193675510671723,2.2646982569341607,2.43668536015665
test_abnormal,06,temporal_score,285,0.5621834338249421,8.29639148414836,12.318726801478054,12.748129640667784
test_abnormal,06,combined_score,285,0.993228649094656,4.601632021603559,6.634040695915451,6.850360208046766
test_abnormal,07,appearance_score,114,0.6065717552974288,2.200072947344706,2.5290535197671753,2.5708762346520615
test_abnormal,07,temporal_score,114,0.5690445924667763,4.911159665723311,6.838626781814962,6.891430531759639
test_abnormal,07,combined_score,114,0.635766660975886,2.935571826184719,3.6853873043014147,3.7020238838198853
test_abnormal,08,appearance_score,194,0.413917141636948,0.4655563689982626,0.4972612772947816,0.542190882998536
test_abnormal,08,temporal_score,194,0.5621834338249421,0.5621834338249423,0.9320293462060096,1.0554998594079057
