video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset,any_raw_threshold_crossing,max_score,max_appearance,max_temporal
03,65,380,False,False,,False,True,0.6753994064548251,0.8072390243693163,1.0631225306591086
04,261,378,False,False,,False,True,0.6967275570090089,0.6575264932098597,1.044790431317844
06,92,504,False,False,,False,True,0.7005231797607365,0.7768791241304246,1.0985590999859955
07,122,203,False,False,,False,False,0.5816364861530953,1.1384044952006172,0.6876745488705405
07,412,480,False,False,,False,False,0.36721584007862423,0.6061683439108613,0.5257667050600267
08,134,243,False,False,,False,False,0.27472091276354604,0.4221291758021595,0.14453688842817872
11,170,239,False,False,,False,False,0.4173646103386023,0.6600410585215624,0.35467260060778166
12,155,239,False,False,,False,False,0.15609307256988725,0.09159802691236373,0.3121861451397745
12,370,429,False,False,,False,True,0.751488228436938,0.8187467557439847,1.221625948671171
19,166,276,False,False,,False,True,0.8047073110578289,0.7782451726602639,1.1457988764346898
