video,frame,video_length,phase,appearance,temporal,appearance_score,temporal_score,combined_score,label
01,35,230,34,0.09929095208644867,4.0328407224958935,3.068520323911326,0.020518623382488936,1.5445194736469074,0
01,36,230,34,0.09804121404886246,4.666666666666666,3.0239206185708483,0.04395113410923676,1.5339358763400426,0
01,37,230,34,0.09679397940635681,5.382594417077176,2.97941025249955,0.07041894415292081,1.5249145983262353,0
01,38,230,34,0.09924907237291336,6.1444991789819365,3.06702575238734,0.09858652181408911,1.5828061371007145,0
01,39,230,42,0.0980755165219307,2.8735632183908035,3.025144779271156,0.0,1.512572389635578,0
01,40,230,42,0.09873532503843307,2.7799671592775033,3.048691526295021,0.0,1.5243457631475106,0
01,41,230,42,0.09804549068212509,2.8505747126436773,3.0240732398223633,0.0,1.5120366199111817,0
01,42,230,42,0.09506218880414963,3.0853858784893253,2.917607420028332,0.0,1.458803710014166,0
01,43,230,42,0.09771424531936646,3.4614121510673224,3.0122520059876563,0.0,1.5061260029938282,1
01,44,230,42,0.09726155549287796,3.4909688013136275,2.9960967540350034,0.0004856478907097326,1.4982912009628566,1
01,45,230,42,0.09742659330368042,3.60262725779967,3.001986498533814,0.004613654961743018,1.5033000767477784,1
01,46,230,48,0.09761766344308853,2.7914614121510692,3.00880526507582,0.0,1.50440263253791,1
01,47,230,48,0.09592509269714355,2.292282430213467,2.948402081155085,0.0,1.4742010405775425,1
01,48,230,48,0.09524955600500107,1.9573070607553384,2.9242940389013437,0.0,1.4621470194506718,1
01,49,230,57,0.09586793184280396,8.617405582922824,2.946362167842148,0.1900097372402088,1.5681859525411783,1
01,50,230,57,0.09718210250139236,7.604269293924466,2.9932612958012754,0.15255414366921552,1.5729077197352455,1
01,51,230,62,0.09852029383182526,11.188834154351396,3.041017655319437,0.2850753118466519,1.6630464835830445,1
01,52,230,62,0.09748410433530807,9.9376026272578,3.0040389087088086,0.23881735025654358,1.621428129482676,1
01,53,230,66,0.09695692360401154,12.331691297208538,2.985225281716695,0.3273266783384044,1.6562759800275497,1
01,54,230,66,0.09545141458511353,10.889983579638752,2.9314978151510056,0.274026822333004,1.6027623187420048,1
01,55,230,66,0.09721120446920395,9.530377668308702,2.9942998648054897,0.2237622656445398,1.6090310652250148,1
01,56,230,66,0.09438903629779816,8.282430213464696,2.8935844627928575,0.17762571602710892,1.5356050894099833,1
01,57,230,66,0.09520226716995239,7.198686371100163,2.922606430742166,0.1375597650435505,1.5300830978928581,1
01,58,230,68,0.09471090137958527,7.03448275862069,2.9050709402588226,0.13148916640967806,1.5182800533342504,1
01,59,230,68,0.09592971950769424,5.885057471264369,2.948567199268658,0.08899497597257065,1.5187810876206145,1
01,60,230,78,0.09573519974946976,13.28407224958949,2.9416253253408473,0.3625361504148648,1.6520807378778561,1
01,61,230,78,0.09451074153184891,11.651888341543515,2.8979277870846754,0.3021943999941724,1.600061093539424,1
01,62,230,78,0.0958825945854187,10.101806239737275,2.946885440704486,0.2448879488904161,1.5958866947974513,1
01,63,230,78,0.09831144660711288,8.633825944170773,3.0335644736099816,0.1906167971035961,1.6120906353567888,1
01,64,230,78,0.09479611366987228,7.247947454844008,2.908111931989801,0.1393809446337123,1.5237464383117565,1
01,65,230,78,0.09666337072849274,5.944170771756979,2.9747491888426434,0.09118039148076473,1.532964790161704,1
01,66,230,78,0.09627436846494675,4.722495894909688,2.960866770440432,0.04601513764475343,1.5034409540425928,1
01,67,230,78,0.09784296154975891,3.8752052545155986,3.0168455334113142,0.014690848693971373,1.5157681910526428,1
01,68,230,78,0.10116085410118103,3.192118226600985,3.1352519719563077,0.0,1.5676259859781538,1
01,69,230,85,0.09556721150875092,5.4515599343185555,2.9356302881319327,0.07296859557914728,1.50429944185554,1
01,70,230,85,0.09809499233961105,4.3546798029556655,3.02583981751412,0.032416996704879075,1.5291284071094995,1
01,71,230,85,0.09747456014156342,3.422003284072249,3.003698302745061,0.0,1.5018491513725305,1
01,72,230,85,0.09662220627069473,2.891625615763546,2.9732801428241373,0.0,1.4866400714120687,1
01,73,230,85,0.0973072499036789,2.5254515599343184,2.997727461588216,0.0,1.498863730794108,1
01,74,230,88,0.09637705236673355,2.9868637110016425,2.9645312758208937,0.0,1.4822656379104469,1
01,75,230,88,0.09696246683597565,2.507389162561576,2.9854231043841644,0.0,1.4927115521920822,1
01,76,230,88,0.0961582139134407,2.2742200328407205,2.9567215347067655,0.0,1.4783607673533827,1
01,77,230,96,0.0957556739449501,6.950738916256158,2.94235599293521,0.1283931611064031,1.5353745770208067,1
01,78,230,96,0.09484599530696869,5.6042692939244665,2.909892070106343,0.07861425230864869,1.4942531612074959,1
01,79,230,96,0.09549032151699066,4.435139573070607,2.932886296292841,0.035391590035476574,1.4841389431641587,1
01,80,230,96,0.09628578275442123,3.348111658456486,2.9612741149653825,0.0,1.4806370574826913,1
01,81,230,103,0.09509926289319992,8.665024630541874,2.918930492062375,0.19177021084403187,1.5553503514532034,1
01,82,230,103,0.09371183067560196,7.556650246305419,2.8694168610263295,0.15079367006539254,1.510105265545861,1
01,83,230,109,0.0958867222070694,11.998357963875206,2.94703274414236,0.3150033631116433,1.6310180536270016,1
01,84,230,115,0.09658226370811462,16.23645320197044,2.9718547028774926,0.4716855138518921,1.7217701083646924,1
01,85,230,115,0.0962345153093338,14.55665024630542,2.9594445211819727,0.4095832898273767,1.6845139055046747,1
01,86,230,115,0.09630545973777771,12.958949096880133,2.9619763322567625,0.3505163651197974,1.65624634868828,1
01,87,230,115,0.09449369460344315,11.443349753694584,2.897319429204071,0.29448473972915434,1.5959020844666125,1
01,88,230,115,0.0937948003411293,10.009852216748769,2.8723778196620007,0.2414884136554475,1.5569331166587241,1
01,89,230,115,0.09568409621715546,8.658456486042692,2.939801581152443,0.19152738689867688,1.56566448402556,1
01,90,230,117,0.09569072723388672,8.61904761904762,2.9400382238594966,0.19007044322654756,1.565054333543022,1
01,91,230,118,0.0950668454170227,7.995073891625613,2.9177736017046336,0.16700216841783197,1.5423878850612327,1
01,92,230,121,0.09726421535015106,8.70607553366174,2.996191677008507,0.19328786050249994,1.5947397687555036,1
01,93,230,121,0.09557928144931793,7.241379310344827,2.9360610310369064,0.13913812068835735,1.537599575862632,1
01,94,230,125,0.0964054986834526,8.998357963875206,2.9655464464450847,0.20409352607079298,1.5848199862579389,1
01,95,230,125,0.0969681665301323,7.318555008210181,2.9856265107559574,0.14199130204627744,1.5638089064011174,1
01,96,230,125,0.09609820693731308,5.753694581280787,2.9545800511532727,0.0841384970654726,1.5193592741093727,1
01,97,230,125,0.09464529156684875,4.382594417077176,2.902729506912404,0.033448998472637374,1.4680892526925207,1
01,98,230,125,0.09722685068845749,3.6387520525451555,2.994858235237863,0.0059491866611950045,1.5004037109495292,1
01,99,230,125,0.09550174325704575,3.1116584564860417,2.933293906708473,0.0,1.4666469533542366,1
01,100,230,131,0.09472641348838806,5.284072249589492,2.9056245246589185,0.06677658497259738,1.486200554815758,1
01,101,230,131,0.09819004684686661,3.702791461412151,3.029232050836129,0.008316720128405291,1.518774385482267,1
01,102,230,131,0.09556668251752853,2.619047619047619,2.9356114098935047,0.0,1.4678057049467523,1
01,103,230,131,0.09850650280714035,1.7356321839080455,3.0405254916669024,0.0,1.5202627458334512,1
01,104,230,131,0.09611831605434418,1.4170771756978642,2.955297690104213,0.0,1.4776488450521066,1
01,105,230,131,0.09756295382976532,1.5123152709359593,3.006852829797288,0.0,1.503426414898644,1
01,106,230,131,0.09489274770021439,1.8210180623973713,2.9115605341364112,0.0,1.4557802670682056,1
01,107,230,131,0.09673493355512619,2.428571428571427,2.977303068844046,0.0,1.488651534422023,1
01,108,230,131,0.09629848599433899,3.1444991789819365,2.9617274585783333,0.0,1.4808637292891667,1
01,109,230,137,0.09310002624988556,2.1592775041050913,2.8475832476671226,0.0,1.4237916238335613,1
01,110,230,137,0.09798923879861832,1.614121510673235,3.0220657651726404,0.0,1.5110328825863202,1
01,111,230,137,0.09408748894929886,1.446633825944171,2.882823069216931,0.0,1.4414115346084655,1
01,112,230,137,0.0915861576795578,1.655172413793102,2.793557451756137,0.0,1.3967787258780684,1
01,113,230,137,0.09315893799066544,2.098522167487683,2.849685645290349,0.0,1.4248428226451746,1
01,114,230,137,0.09303445369005203,2.699507389162561,2.845243143774114,0.0,1.422621571887057,1
01,115,230,137,0.09219490736722946,3.1921182266009858,2.81528204993569,0.0,1.407641024967845,1
01,116,230,137,0.09599971771240234,3.763546798029557,2.9510652422268238,0.010562841622938121,1.480814041924881,1
01,117,230,137,0.09525826573371887,4.334975369458128,2.924604865108698,0.03168852486881436,1.4781466949887563,1
01,118,230,137,0.09275677800178528,4.9064039408867,2.83533366394358,0.05281420811469064,1.4440739360291353,1
01,119,230,137,0.09391447901725769,5.477832512315271,2.8766488216882924,0.07393989136056688,1.4752943565244296,1
01,120,230,137,0.09469146281480789,6.0492610837438425,2.9043772314692693,0.09506557460644312,1.4997214030378563,1
01,121,230,137,0.09570728242397308,6.334975369458128,2.9406290329550844,0.10562841622938124,1.5231287245922327,1
01,122,230,137,0.09387155622243881,6.620689655172415,2.875117025468815,0.1161912578523194,1.495654141660567,1
01,123,230,137,0.09346720576286316,6.9064039408867,2.860686872261514,0.1267540994752575,1.4937204858683857,1
01,124,230,137,0.09286835789680481,7.192118226600986,2.8393156427984483,0.13731694109819564,1.488316291948322,1
01,125,230,137,0.0943383127450943,7.477832512315271,2.8917742790292396,0.14787978272113375,1.5198270308751867,1
01,126,230,142,0.09580090641975403,4.151067323481119,2.943970215266133,0.024889454398877253,1.4844298348325051,1
01,127,230,142,0.09513381868600845,4.280788177339903,2.9201636930458736,0.0296852273196365,1.4749244601827551,1
01,128,230,142,0.09564044326543808,4.492610837438424,2.938243727646122,0.037516299557331975,1.487880013601727,1
01,129,230,142,0.09460032731294632,4.786535303776684,2.901124856646036,0.04838267111196372,1.474753763879,1
01,130,230,142,0.0954630970954895,4.876847290640393,2.931914731740511,0.05172150036059353,1.4918181160505524,1
01,131,230,142,0.09473128616809845,5.0492610837438425,2.9057984171650006,0.05809562892615968,1.4819470230455802,1
01,132,230,142,0.09290197491645813,5.287356321839081,2.8405153415560047,0.06689799694527479,1.4537066692506397,1
01,133,230,145,0.09420747309923172,3.1609195402298864,2.887104972761188,0.0,1.443552486380594,1
01,134,230,145,0.09305518120527267,3.2331691297208556,2.8459828516516676,0.0,1.4229914258258338,1
01,135,230,145,0.09377259761095047,3.4696223316912986,2.8715854654293946,0.0,1.4357927327146973,1
01,136,230,151,0.09365101903676987,2.6453201970443354,2.867246661279172,0.0,1.433623330639586,1
01,137,230,145,0.09386229515075684,4.477832512315271,2.8747865233509864,0.03696994568028344,1.455878234515635,1
01,138,230,145,0.09502065181732178,4.858784893267652,2.916125079475722,0.05105373451086759,1.483589406993295,1
01,139,230,145,0.0933753103017807,5.239737274220033,2.857407376588708,0.06513752334145177,1.46127244996508,1
01,140,230,145,0.09201730042695999,5.620689655172415,2.8089437478562065,0.07922131217203596,1.4440825300141211,1
01,141,230,142,0.09412640333175659,8.858784893267652,2.884211816249448,0.19893351723200134,1.5415726667407248,1
01,142,230,142,0.09481760114431381,9.09688013136289,2.908878760716927,0.2077358852511165,1.5583073229840216,1
01,143,230,142,0.09447138011455536,9.334975369458128,2.8965230866112335,0.21653825327023157,1.5565306699407326,1
01,144,230,142,0.09545043855905533,9.573070607553367,2.931462983471653,0.2253406212893467,1.5784018023804998,1
01,145,230,142,0.09473581612110138,9.811165845648604,2.9059600786997066,0.23414298930846178,1.5700515340040841,1
01,146,230,142,0.09368252754211426,10.049261083743843,2.868371112973699,0.2429453573275769,1.555658235150638,1
01,147,230,142,0.09352587163448334,10.049261083743843,2.8627804954922316,0.2429453573275769,1.5528629264099043,1
01,148,230,145,0.09329728782176971,7.556650246305421,2.8546229693659395,0.15079367006539263,1.502708319715666,1
01,149,230,151,0.0937381237745285,5.236453201970443,2.8703551892433987,0.0650161113687743,1.4676856503060864,1
01,150,230,151,0.09440529346466064,5.008210180623973,2.8941646362611615,0.056577979267691515,1.4753713077644266,1
01,151,230,151,0.09401852637529373,4.779967159277502,2.880361985063575,0.04813984716660873,1.4642509161150918,1
01,152,230,151,0.09557955712080002,4.597701149425285,2.936070868992143,0.04140148268301026,1.4887361758375768,1
01,153,230,151,0.09329625219106674,4.497536945812804,2.85458601056113,0.03769841751634799,1.446142214038739,1
01,154,230,151,0.09314267337322235,4.3366174055829205,2.849105205931363,0.031749230855153,1.4404272183932578,1
01,155,230,151,0.09426660090684891,4.261083743842365,2.889215081214195,0.028956755483571753,1.4590859183488833,1
01,156,230,151,0.0974377989768982,4.346469622331692,3.0023863981196657,0.03211346677318545,1.5172499324464255,1
01,157,230,151,0.09526582807302475,4.22824302134647,2.924874744151012,0.027742635756797272,1.4763086899539046,1
01,158,230,151,0.09679201245307922,4.477832512315271,2.9793400573594804,0.03696994568028344,1.508155001519882,1
01,159,230,151,0.09703777730464935,4.763546798029557,2.9881107273986545,0.04753278730322156,1.517821757350938,1
01,160,230,151,0.09560900181531906,5.0492610837438425,2.9371216689677335,0.05809562892615968,1.4976086489469467,1
01,161,230,151,0.09505347162485123,5.334975369458128,2.9172963279302957,0.06865847054909781,1.4929773992396969,1
01,162,230,151,0.09694496542215347,5.763546798029557,2.9847985271719524,0.084502732983505,1.5346506300777287,1
01,163,230,151,0.09709977358579636,6.192118226600986,2.9903232037642633,0.1003469954179122,1.5453350995910877,1
01,164,230,151,0.09768307954072952,6.620689655172415,3.011139785264505,0.1161912578523194,1.563665521558412,1
01,165,230,151,0.095110222697258,7.0492610837438425,2.919321617255718,0.13203552028672655,1.5256785687712224,1
01,166,230,151,0.09469765424728394,7.477832512315271,2.90459818662608,0.14787978272113375,1.5262389846736069,1
01,167,230,151,0.09330745786428452,7.9064039408867,2.8549859101469823,0.16372404515554095,1.5093549776512616,1
01,168,230,151,0.09377556294202805,8.334975369458128,2.8716912899208635,0.17956830758994813,1.5256297987554057,1
01,169,230,151,0.09305942058563232,8.620689655172415,2.8461341434497727,0.19013114921288626,1.5181326463313294,1
01,170,230,151,0.09495941549539566,8.620689655172415,2.9139397239596856,0.19013114921288626,1.5520354365862858,1
01,171,230,151,0.09504725784063339,8.620689655172415,2.917074575101439,0.19013114921288626,1.5536028621571625,1
01,172,230,151,0.09193679690361023,8.620689655172415,2.8060707990363047,0.19013114921288626,1.4981009741245954,1
01,173,230,151,0.09176131337881088,8.620689655172415,2.799808275801215,0.19013114921288626,1.4949697125070505,1
01,174,230,151,0.09371327608823776,8.620689655172415,2.8694684438186537,0.19013114921288626,1.52979979651577,1
01,175,230,151,0.09345624595880508,8.620689655172415,2.8602957470681702,0.19013114921288626,1.5252134481405282,1
01,176,230,151,0.09192227572202682,8.620689655172415,2.805552578096926,0.19013114921288626,1.497841863654906,1
01,177,230,151,0.09310154616832733,8.620689655172415,2.8476374893662673,0.19013114921288626,1.5188843192895767,1
