video,frame
01,8
01,16
01,25
01,33
01,44
01,52
01,62
01,73
01,84
01,101
01,110
01,124
01,130
01,141
01,155
01,164
01,173
01,182
01,193
01,207
01,211
01,227
01,236
01,240
01,253
01,269
01,276
01,281
01,299
01,310
01,321
01,324
01,334
01,352
01,354
01,370
01,375
01,388
01,401
01,411
01,421
01,427
01,438
01,449
01,459
01,476
01,485
01,497
01,503
01,517
01,529
01,535
01,547
01,562
01,571
01,583
01,587
01,601
01,614
01,622
01,634
01,643
01,654
01,661
02,8
02,11
02,27
02,39
02,52
02,59
02,68
02,78
02,90
02,102
02,115
02,127
02,129
02,150
02,156
02,165
02,179
02,189
02,196
02,208
02,223
02,232
02,242
02,251
02,267
02,274
02,284
02,300
02,304
02,315
02,331
02,341
02,346
02,356
02,371
02,387
02,393
02,407
02,413
02,423
02,440
02,452
02,454
02,464
02,482
02,489
02,503
02,509
02,527
02,533
02,549
02,559
02,569
02,575
02,591
02,594
02,611
02,620
02,636
02,639
02,658
02,659
02,676
02,687
04,8
04,13
04,30
04,39
04,51
04,55
04,72
04,85
04,86
04,100
04,114
04,119
04,134
04,145
04,158
04,171
04,176
04,186
04,198
04,214
04,216
04,230
04,236
04,251
04,267
04,274
04,282
04,300
04,307
04,321
04,322
04,338
04,352
04,362
04,369
04,381
04,391
04,402
04,410
04,427
04,430
04,444
04,454
04,470
04,480
04,490
04,504
04,515
04,517
04,527
04,538
04,556
04,568
04,579
04,587
04,601
04,610
04,612
04,624
04,643
04,645
04,665
04,675
04,687
06,3
06,12
06,27
06,43
06,48
06,64
06,70
06,86
06,90
06,104
06,113
06,123
06,141
06,151
06,155
06,175
06,186
06,189
06,202
06,214
06,227
06,235
06,243
06,263
06,271
06,275
06,294
06,305
06,310
06,325
06,335
06,341
06,363
06,371
06,378
06,386
06,398
06,416
06,420
06,435
06,450
06,462
06,465
06,474
06,490
06,505
06,513
06,518
06,536
06,543
06,553
06,566
06,582
06,594
06,596
06,612
06,625
06,630
06,641
06,652
06,663
06,681
06,685
06,696
07,1
07,11
07,29
07,35
07,51
07,59
07,73
07,81
07,93
07,104
07,107
07,124
07,133
07,142
07,154
07,165
07,177
07,191
07,202
07,210
07,222
07,235
07,243
07,251
07,258
07,274
07,281
07,296
07,301
07,320
07,332
07,334
07,353
07,359
07,366
07,386
07,397
07,398
07,414
07,428
07,438
07,445
07,460
07,471
07,474
07,484
07,496
07,509
07,517
07,527
07,540
07,555
07,564
07,573
07,591
07,599
07,608
07,623
07,632
07,636
07,645
07,665
07,671
07,678
08,5
08,15
08,26
08,37
08,47
08,60
08,71
08,87
08,95
08,107
08,110
08,124
08,142
08,145
08,159
08,175
08,184
08,197
08,200
08,215
08,227
08,235
08,249
08,264
08,273
08,279
08,287
08,300
08,311
08,329
08,333
08,351
08,357
08,372
08,381
08,397
08,404
