video,frame
25,18
15,22
18,15
04,18
31,20
16,16
32,18
01,20
07,17
17,16
25,21
02,15
10,17
22,23
11,23
23,18
06,18
28,15
30,20
08,19
31,18
21,15
21,21
28,18
23,20
01,15
09,18
07,20
16,15
32,22
11,19
10,22
13,19
27,22
29,23
28,17
08,15
16,18
29,19
02,19
16,21
30,19
04,16
02,21
02,20
14,18
01,19
30,18
30,22
08,18
27,20
11,22
33,19
14,22
27,17
04,23
10,15
13,23
31,19
21,18
25,19
02,16
27,18
10,23
28,19
29,16
23,23
29,17
02,17
21,17
22,15
19,22
21,16
18,19
07,15
08,22
09,21
31,23
25,15
25,17
04,19
11,17
14,23
27,15
21,19
15,17
16,22
29,21
11,18
16,17
07,18
19,23
18,18
04,21
22,21
28,20
23,22
23,15
09,16
06,21
19,17
17,18
30,15
09,17
04,22
28,22
01,17
09,20
31,21
17,19
07,22
08,17
11,20
11,21
15,20
30,21
15,16
14,19
13,18
18,17
01,18
06,17
17,22
17,20
14,17
09,15
22,19
07,23
11,16
11,15
13,17
14,21
33,15
13,22
01,16
29,20
25,16
09,19
13,20
17,21
23,19
07,16
19,21
09,22
28,21
06,20
15,23
16,20
21,22
04,20
31,22
19,15
15,18
27,16
29,22
30,17
31,17
22,22
33,21
06,16
22,16
27,19
19,16
32,21
29,18
32,19
33,22
19,18
08,21
14,16
23,17
31,15
08,20
07,21
32,17
33,18
33,17
04,15
32,20
14,20
10,21
18,20
27,23
25,20
10,20
17,15
19,20
30,16
19,19
32,15
31,16
22,18
25,22
29,15
06,19
17,17
32,16
10,18
21,20
10,19
07,19
09,23
13,21
08,16
02,18
06,15
06,23
13,15
17,23
33,16
10,16
13,16
18,16
23,16
22,20
28,16
15,19
18,22
08,23
15,21
18,21
22,17
16,19
15,15
04,17
14,15
33,20
06,22
27,21
23,21
28,23
06,29
06,31
21,24
04,25
28,30
08,24
22,34
22,24
10,29
11,26
02,24
28,28
32,29
18,27
30,29
32,26
07,34
19,28
01,29
33,30
01,31
14,31
14,34
21,31
07,28
11,29
09,24
10,26
09,29
11,27
25,26
27,24
15,25
23,29
15,30
02,26
32,31
09,30
29,24
17,33
04,32
06,26
28,33
08,31
23,30
02,25
29,30
25,30
30,33
22,31
17,24
30,34
18,24
15,27
08,25
10,24
09,32
08,33
10,33
19,31
07,26
17,27
11,35
17,29
33,31
29,28
33,25
30,32
32,25
02,32
02,23
22,35
01,22
13,28
04,34
31,32
19,33
31,28
23,28
01,24
14,32
16,30
14,29
27,28
15,26
22,27
09,26
32,30
07,30
29,27
32,27
25,24
13,27
16,34
23,33
25,33
18,30
27,25
17,34
15,32
02,27
18,28
15,35
21,33
31,30
09,25
22,29
08,30
01,23
04,30
28,26
18,34
29,32
27,30
17,25
06,32
15,24
33,27
21,27
23,24
19,30
16,27
17,31
07,33
14,25
31,26
31,31
11,25
16,32
07,24
10,28
08,32
06,27
21,26
13,31
28,31
16,26
10,27
11,33
17,32
13,30
27,32
21,32
33,26
27,27
16,23
22,32
23,27
16,31
02,28
29,25
16,25
23,26
06,28
19,32
