video,frame
21,18
03,18
03,21
03,17
03,23
15,16
06,15
02,17
22,18
10,17
24,17
04,17
22,15
02,18
03,19
21,17
13,18
07,17
07,18
15,15
09,20
09,15
08,16
16,15
06,20
24,18
19,15
07,16
13,19
24,16
03,16
04,20
10,18
21,20
14,15
06,22
08,15
18,20
16,16
19,17
04,19
02,15
08,18
09,18
06,18
18,18
21,15
09,16
19,16
06,17
02,16
03,15
23,15
19,19
16,18
18,19
22,16
08,17
08,20
03,20
06,21
21,16
23,17
13,17
06,19
10,15
21,19
09,17
14,16
01,15
17,16
04,18
09,19
07,19
06,16
17,17
17,15
17,18
13,16
18,15
04,16
23,18
08,19
22,17
07,15
23,16
10,16
04,15
24,15
18,17
18,16
16,17
02,20
19,18
13,15
03,22
02,19
13,23
16,19
09,34
02,28
03,29
22,27
10,30
16,36
06,44
14,31
14,32
01,17
14,23
16,23
22,37
22,22
18,40
18,22
24,20
19,31
14,17
01,29
10,28
13,36
01,24
09,31
19,35
16,24
13,28
06,42
15,29
21,41
13,25
02,38
21,34
19,34
07,28
15,25
07,30
06,39
01,20
18,28
03,27
21,31
08,27
07,34
04,25
08,22
13,38
21,29
21,30
22,33
17,26
16,21
02,29
02,26
09,36
08,40
19,38
15,23
24,31
08,30
09,39
07,29
01,23
06,24
02,22
10,32
18,21
07,35
09,41
04,29
24,25
02,37
15,26
03,31
06,36
14,20
16,37
14,28
07,23
14,24
22,32
10,27
04,34
15,17
23,21
10,26
06,43
19,21
15,28
13,27
17,22
09,27
04,38
24,22
10,24
24,34
17,29
08,31
10,20
18,23
01,18
08,38
18,37
07,33
16,22
21,37
14,25
23,29
21,38
03,32
10,29
02,35
14,21
04,22
04,21
03,25
15,22
19,26
24,28
18,36
18,32
03,43
23,28
22,26
10,25
01,22
23,20
23,32
03,42
19,33
04,28
08,34
23,19
21,22
15,24
19,30
04,39
16,28
13,30
06,32
06,41
19,36
19,24
09,23
06,26
03,40
22,34
24,33
15,30
06,27
09,30
22,28
09,33
24,23
07,27
24,36
17,34
17,25
09,40
07,24
13,20
24,24
21,27
17,32
01,19
18,29
15,19
18,35
04,33
19,28
13,21
09,22
02,21
15,32
13,22
04,35
10,23
10,35
08,37
04,32
19,23
13,31
01,27
18,25
02,36
21,25
17,24
03,36
19,32
07,37
03,45
17,31
09,24
24,29
08,29
16,25
15,27
18,38
01,21
23,22
08,24
22,30
23,35
17,30
13,29
22,25
07,31
09,26
01,26
16,32
03,38
02,32
15,20
06,37
21,21
21,36
14,27
04,40
02,40
16,35
17,35
23,25
15,31
06,31
21,32
18,26
02,33
18,27
03,41
07,22
17,27
19,20
07,25
22,31
19,27
22,36
03,28
13,35
04,37
21,23
24,30
01,28
09,21
23,23
08,25
24,32
19,37
17,20
17,28
09,38
17,23
06,40
13,24
08,26
19,39
21,33
17,37
06,23
13,26
22,24
17,33
16,27
17,19
04,36
16,29
14,26
07,32
03,46
16,33
09,28
08,28
08,33
06,33
09,25
18,39
08,39
03,37
21,35
18,24
03,44
07,38
23,30
03,35
21,40
15,33
23,36
23,33
16,20
14,29
03,26
16,34
15,21
07,26
24,26
23,26
06,29
03,30
06,25
04,23
16,30
07,20
10,33
17,21
06,28
09,29
23,37
03,34
21,24
08,21
01,30
02,34
22,35
21,39
02,24
24,27
07,36
06,35
01,16
03,24
21,26
22,20
03,33
19,25
04,31
18,33
02,23
04,30
02,27
03,39
13,34
04,27
15,18
24,21
21,28
18,30
08,36
10,31
06,30
08,41
14,30
13,37
13,32
22,21
08,35
13,33
02,25
23,31
19,22
24,35
10,19
06,34
22,29
10,22
14,22
18,34
09,32
08,23
10,37
18,41
14,19
10,36
14,18
10,21
07,21
22,19
04,24
16,26
02,30
09,37
18,31
24,19
08,32
02,39
23,24
23,27
16,31
09,35
23,34
06,38
02,31
10,34
01,25
19,29
04,26
22,23
17,36
15,49
22,45
15,35
21,61
10,48
06,48
24,37
03,47
15,43
23,46
24,40
18,49
03,50
10,56
07,39
13,41
18,52
09,57
14,39
06,56
22,52
17,45
22,53
23,45
02,46
18,56
06,64
06,58
06,54
18,44
06,51
08,54
04,53
23,51
21,46
13,52
08,43
03,66
09,62
03,68
02,51
14,33
16,38
07,46
01,36
17,49
04,55
15,44
06,60
06,47
08,46
04,51
03,55
14,44
22,38
08,49
01,38
22,56
21,48
22,42
09,52
04,56
19,49
17,44
08,56
18,46
08,44
01,33
07,40
17,52
03,48
10,47
14,38
08,53
22,43
14,41
01,34
19,47
24,53
23,48
18,61
06,61
07,54
19,40
01,43
09,58
02,44
03,67
13,57
22,51
24,51
17,53
24,41
10,39
14,48
02,45
08,50
14,46
06,49
08,61
02,41
10,41
14,34
08,45
01,39
17,38
07,42
10,45
19,57
16,42
22,50
16,48
23,47
17,46
18,54
01,31
06,63
07,57
04,41
06,53
19,45
24,42
07,49
08,47
03,60
16,41
13,51
08,48
01,37
21,45
22,40
18,50
02,60
15,45
22,48
09,53
16,47
06,45
07,48
15,48
22,55
19,54
24,52
16,43
10,49
08,60
17,54
16,49
15,37
01,40
02,56
06,66
21,52
09,44
15,39
22,41
02,50
07,56
02,49
19,55
15,46
04,49
22,44
16,45
04,58
04,46
04,61
24,46
19,53
13,40
08,51
04,60
02,42
19,50
07,52
24,44
13,53
14,42
19,46
19,48
21,49
03,65
24,47
19,59
10,54
23,54
10,44
24,54
04,48
10,50
13,43
04,43
03,59
01,32
07,47
01,35
23,42
10,53
08,55
10,52
02,57
03,63
13,42
13,54
24,45
15,42
13,47
24,50
23,49
16,52
08,52
18,57
16,50
01,46
21,56
13,55
06,50
21,53
03,53
17,39
03,52
10,51
04,57
09,42
09,49
21,47
19,51
03,64
03,51
13,44
03,69
01,41
04,47
23,44
16,46
09,55
03,56
04,45
18,43
19,42
09,45
10,46
17,47
16,40
03,57
17,41
08,42
03,58
24,39
14,35
13,46
09,48
14,47
02,61
06,52
13,48
17,55
23,52
13,49
02,43
10,43
09,51
02,59
