video,frame
01,4
01,15
01,27
01,39
01,40
01,51
01,68
01,79
01,82
01,93
01,108
01,114
01,122
01,138
01,142
01,154
01,166
01,175
01,180
01,190
01,208
01,217
01,228
01,235
01,248
01,253
01,264
01,277
01,281
01,293
01,301
01,314
01,330
01,332
01,344
01,355
01,370
01,373
01,386
01,393
01,401
01,418
01,421
01,433
01,445
01,455
01,462
01,480
01,488
01,500
01,501
01,518
01,523
01,536
01,550
01,553
01,568
01,572
01,584
01,600
01,605
01,616
01,623
01,632
02,3
02,15
02,23
02,35
02,41
02,53
02,63
02,75
02,79
02,85
02,101
02,109
02,121
02,127
02,136
02,142
02,156
02,167
02,177
02,188
02,191
02,204
02,216
02,220
02,231
02,245
02,252
02,261
02,272
02,280
02,293
02,301
02,304
02,314
02,327
02,340
02,342
02,357
02,367
02,377
02,387
02,390
02,403
02,416
02,421
02,428
02,441
02,446
02,457
02,473
02,481
02,492
02,501
02,511
02,515
02,526
02,537
02,543
02,559
02,560
02,577
02,585
02,591
02,605
04,3
04,16
04,26
04,29
04,41
04,47
04,61
04,70
04,81
04,91
04,101
04,110
04,119
04,122
04,130
04,143
04,152
04,166
04,174
04,180
04,191
04,200
04,212
04,214
04,227
04,238
04,246
04,259
04,269
04,277
04,283
04,296
04,298
04,312
04,318
04,327
04,341
04,350
04,361
04,364
04,379
04,389
04,393
04,400
04,416
04,426
04,432
04,438
04,448
04,459
04,471
04,477
04,484
04,499
04,509
04,513
04,526
04,533
04,544
04,549
04,564
04,570
04,581
04,590
06,5
06,10
06,22
06,34
06,44
06,50
06,57
06,73
06,80
06,91
06,96
06,108
06,121
06,131
06,135
06,148
06,152
06,169
06,173
06,184
06,199
06,204
06,217
06,220
06,235
06,246
06,247
06,259
06,267
06,278
06,288
06,295
06,313
06,316
06,332
06,340
06,344
06,358
06,368
06,372
06,382
06,393
06,400
06,413
06,423
06,434
06,443
06,451
06,459
06,472
06,480
06,493
06,501
06,511
06,519
06,527
06,535
06,547
06,557
06,565
06,572
06,581
06,590
06,602
07,3
07,11
07,19
07,29
07,42
07,48
07,63
07,69
07,74
07,90
07,99
07,107
07,111
07,126
07,134
07,144
07,153
07,161
07,168
07,182
07,191
07,198
07,205
07,215
07,225
07,229
07,238
07,252
07,262
07,267
07,277
07,285
07,302
07,307
07,314
07,328
07,338
07,341
07,357
07,364
07,374
07,380
07,394
07,396
07,404
07,421
07,426
07,435
07,447
07,452
07,464
07,475
07,484
07,487
07,504
07,511
07,520
07,524
07,541
07,545
07,559
07,562
07,569
07,586
08,5
08,12
08,26
08,35
08,36
08,50
08,61
08,69
08,78
08,86
08,95
08,102
08,110
08,121
08,133
08,145
08,154
08,156
08,164
08,181
08,188
08,198
08,208
08,213
08,226
08,233
08,242
08,249
08,258
08,268
08,280
08,287
08,292
08,301
08,311
08,323
08,334
08,346
08,354
08,358
08,369
08,380
08,391
08,396
08,408
08,412
08,424
08,437
08,441
08,447
08,464
08,468
08,478
08,492
08,496
08,504
08,513
08,528
08,531
08,544
08,550
08,564
08,572
08,581
09,3
09,12
09,26
09,34
09,40
09,46
09,56
09,69
09,78
09,86
09,101
09,106
09,118
09,121
09,133
09,141
09,149
09,163
09,168
09,179
09,191
09,202
09,209
09,219
09,225
09,239
09,242
09,257
09,260
09,274
09,280
09,290
09,300
09,313
09,323
09,327
09,338
09,343
09,361
09,370
09,374
09,385
09,394
09,406
09,409
09,422
09,434
09,442
09,451
09,455
09,473
09,475
09,486
09,498
09,506
09,516
09,525
09,530
09,539
09,556
09,565
09,568
09,582
09,590
10,6
10,10
10,24
10,34
10,45
10,48
10,59
10,66
10,74
10,83
10,96
10,103
10,117
10,121
10,135
10,143
10,151
10,162
10,175
10,184
10,187
10,203
10,205
10,220
10,226
10,238
10,247
10,258
10,263
10,277
10,286
10,288
10,297
10,307
10,321
10,328
10,335
10,343
10,361
10,367
10,371
10,383
10,395
10,401
10,415
10,420
10,432
10,436
10,453
10,461
10,469
10,479
10,483
10,498
10,506
10,511
10,520
10,533
10,545
10,554
10,558
10,568
10,578
10,588
13,1
13,9
13,21
13,27
13,37
13,47
13,58
13,67
13,73
13,87
13,100
13,108
13,111
13,122
13,134
13,138
13,152
13,164
13,173
13,175
13,186
13,193
13,207
13,220
13,228
13,237
13,246
13,252
13,266
13,268
13,278
13,289
13,299
13,307
13,317
13,330
13,336
13,344
13,356
13,360
13,377
13,386
13,387
13,402
13,414
13,416
13,425
13,435
13,451
13,456
13,469
13,470
13,486
13,494
13,502
13,513
13,518
13,526
13,540
13,552
13,562
13,570
13,576
13,590
14,0
14,15
14,22
14,33
14,43
14,46
14,61
14,63
14,76
14,81
14,92
14,107
14,111
14,122
14,134
14,143
14,144
14,156
14,170
14,177
14,183
14,189
14,204
14,209
14,225
14,228
14,239
14,248
14,257
14,267
14,278
14,284
14,292
14,301
14,314
14,321
14,329
14,342
14,345
14,356
14,369
14,377
14,384
14,389
14,403
14,410
14,424
14,430
14,439
14,448
14,455
14,463
14,474
14,482
14,495
14,505
14,510
14,520
14,525
14,538
14,543
14,551
14,561
14,569
15,7
15,11
15,27
15,29
15,44
15,56
15,57
15,66
15,78
15,89
15,99
15,105
15,114
15,129
15,133
15,143
15,156
15,162
15,173
15,181
15,195
15,202
