video,frame
01,1
01,6
01,12
01,18
01,19
01,24
01,32
01,37
01,39
01,44
01,52
01,54
01,58
01,66
01,68
01,74
01,80
01,84
01,86
01,91
01,100
01,104
01,110
01,113
01,119
01,121
01,127
01,133
01,135
01,141
01,144
01,151
01,158
01,159
01,165
01,170
01,177
01,179
01,185
01,189
01,193
01,200
01,202
01,208
01,214
01,219
01,222
01,230
01,234
01,240
01,241
01,249
01,252
01,257
01,264
01,266
01,273
01,275
01,281
01,288
01,291
01,296
01,300
01,304
02,2
02,9
02,15
02,23
02,27
02,35
02,42
02,50
02,53
02,57
02,68
02,73
02,82
02,85
02,91
02,95
02,104
02,112
02,119
02,126
02,128
02,137
02,144
02,147
02,155
02,164
02,169
02,175
02,182
02,188
02,197
02,202
02,204
02,211
02,220
02,228
02,230
02,240
02,247
02,253
02,261
02,263
02,271
02,279
02,283
02,288
02,296
02,300
02,307
02,318
02,323
02,331
02,337
02,344
02,346
02,353
02,361
02,365
02,376
02,377
02,388
02,393
02,397
02,407
03,2
03,12
03,20
03,22
03,31
03,37
03,47
03,54
03,62
03,70
03,78
03,85
03,92
03,94
03,100
03,111
03,117
03,128
03,134
03,139
03,148
03,155
03,164
03,165
03,175
03,184
03,190
03,200
03,207
03,214
03,219
03,229
03,230
03,241
03,246
03,253
03,263
03,271
03,279
03,281
03,294
03,300
03,304
03,309
03,322
03,329
03,334
03,339
03,346
03,355
03,365
03,369
03,374
03,385
03,393
03,397
03,406
03,412
03,420
03,424
03,436
03,440
03,449
03,456
04,3
04,6
04,14
04,22
04,29
04,33
04,38
04,49
04,54
04,60
04,64
04,72
04,81
04,88
04,90
04,99
04,102
04,112
04,115
04,123
04,132
04,136
04,145
04,147
04,157
04,164
04,165
04,173
04,178
04,185
04,192
04,197
04,209
04,211
04,222
04,227
04,230
04,239
04,246
04,248
04,255
04,263
04,267
04,276
04,282
04,290
04,296
04,302
04,307
04,315
04,321
04,330
04,335
04,342
04,347
04,352
04,358
04,365
04,373
04,378
04,382
04,388
04,395
04,402
06,2
06,8
06,15
06,23
06,33
06,37
06,48
06,53
06,56
06,69
06,76
06,82
06,85
06,96
06,102
06,110
06,116
06,123
06,128
06,139
06,146
06,151
06,156
06,164
06,171
06,175
06,182
06,192
06,199
06,204
06,211
06,217
06,230
06,234
06,239
06,250
06,258
06,261
06,272
06,278
06,285
06,290
06,300
06,302
06,308
06,321
06,325
06,331
06,341
06,345
06,354
06,362
06,369
06,371
06,384
06,390
06,396
06,400
06,412
06,415
06,426
06,428
06,434
06,446
07,3
07,8
07,17
07,23
07,24
07,33
07,40
07,46
07,51
07,57
07,63
07,67
07,72
07,80
07,88
07,95
07,101
07,103
07,108
07,119
07,124
07,130
07,136
07,140
07,149
07,153
07,159
07,164
07,170
07,176
07,184
07,189
07,192
07,198
07,205
07,212
07,219
07,227
07,232
07,235
07,243
