scene,video,frame,prep_max_abs,prep_changed_fraction,eager_repeat_cls_max_abs,eager_repeat_cls_mean_abs,eager_repeat_cls_cosine_mean,eager_repeat_patch12_max_abs,eager_repeat_patch12_mean_abs,eager_repeat_patch12_cosine_mean,eager_split_cls_max_abs,eager_split_cls_mean_abs,eager_split_cls_cosine_mean,eager_split_patch12_max_abs,eager_split_patch12_mean_abs,eager_split_patch12_cosine_mean,whole_compile_cls_max_abs,whole_compile_cls_mean_abs,whole_compile_cls_cosine_mean,whole_compile_patch12_max_abs,whole_compile_patch12_mean_abs,whole_compile_patch12_cosine_mean,body_compile_same_input_cls_max_abs,body_compile_same_input_cls_mean_abs,body_compile_same_input_cls_cosine_mean,body_compile_same_input_patch12_max_abs,body_compile_same_input_patch12_mean_abs,body_compile_same_input_patch12_cosine_mean,prep_compile_only_cls_max_abs,prep_compile_only_cls_mean_abs,prep_compile_only_cls_cosine_mean,prep_compile_only_patch12_max_abs,prep_compile_only_patch12_mean_abs,prep_compile_only_patch12_cosine_mean
R02,02,137,0.001953125,6.823716830695048e-05,0.0,0.0,0.0,0.0,0.0,1.2325651610467503e-08,0.0,0.0,0.0,0.0,0.0,1.2325651610467503e-08,0.0023061856627464294,0.0004077725170645863,0.00010573863983154297,0.1580989509820938,0.0004638484970200807,0.0011525335721671581,0.001754341647028923,0.0004055426688864827,0.0001049041748046875,0.03002709150314331,0.0003565256192814559,9.222935477737337e-05,0.0016935020685195923,0.00036012488999404013,8.64267349243164e-05,0.017820365726947784,0.0003717396466527134,9.251578740077093e-05
R02,02,176,0.00390625,6.823716830695048e-05,0.0,0.0,0.0,0.0,0.0,9.75014291526577e-09,0.0,0.0,0.0,0.0,0.0,9.75014291526577e-09,0.0020383819937705994,0.00044845277443528175,0.00012171268463134766,0.1699305772781372,0.00048569473437964916,0.0011743257055059075,0.0023845843970775604,0.00041355102439410985,0.00010764598846435547,0.01766098104417324,0.0004200414114166051,0.00012724156840704381,0.0020537301898002625,0.00043253289186395705,0.00011479854583740234,0.06927165389060974,0.0004572055768221617,0.00035097423824481666
R02,02,372,0.0009765625,9.973125270335004e-05,0.0,0.0,0.0,0.0,0.0,1.4717196350488848e-08,0.0,0.0,0.0,0.0,0.0,1.4717196350488848e-08,0.0022045611403882504,0.0004607505688909441,0.00013327598571777344,0.4117812514305115,0.0005479376995936036,0.001903921365737915,0.0015077795833349228,0.0004191242333035916,0.00010794401168823242,0.18013566732406616,0.0004339128499850631,0.0006959427264519036,0.0015285611152648926,0.0003581313940230757,7.939338684082031e-05,0.04544573277235031,0.00040294229984283447,0.00012895226245746017
R02,02,567,0.00390625,9.448223863728344e-05,0.0,0.0,0.0,0.0,0.0,1.453323150713004e-08,0.0,0.0,0.0,0.0,0.0,1.453323150713004e-08,0.0017118677496910095,0.00038954170304350555,9.566545486450195e-05,0.2084585428237915,0.0004298596177250147,0.0005145017639733851,0.0017314478754997253,0.0003968357341364026,9.620189666748047e-05,0.14751018583774567,0.0004070770519319922,0.00026954454369843006,0.001643606461584568,0.00039170568925328553,9.429454803466797e-05,0.28250670433044434,0.00045875439536757767,0.0009739049710333347
R02,04,403,0.001953125,8.398421050515026e-05,0.0,0.0,1.1920928955078125e-07,0.0,0.0,9.934107758624577e-09,0.0,0.0,1.1920928955078125e-07,0.0,0.0,9.934107758624577e-09,0.0025652647018432617,0.0005341842770576477,0.0001717209815979004,0.253140389919281,0.0005898483213968575,0.0009779063984751701,0.0022338032722473145,0.0005035802605561912,0.00015616416931152344,0.07701855897903442,0.000461503368569538,0.00023497347137890756,0.001735646277666092,0.0004436330636963248,0.00011992454528808594,0.13368527591228485,0.000514295301400125,0.0004865826922468841
R03,02,423,0.0078125,7.348618237301707e-05,0.0,0.0,0.0,0.0,0.0,1.4717196350488848e-08,0.0,0.0,0.0,0.0,0.0,1.4717196350488848e-08,0.0013406090438365936,0.00028640960226766765,5.340576171875e-05,0.1606852412223816,0.00046653830213472247,0.0006745051359757781,0.00131881982088089,0.0002590537187643349,4.506111145019531e-05,0.09347856044769287,0.00038703365135006607,0.00021897477563470602,0.001307167112827301,0.0002627864305395633,4.5239925384521484e-05,0.01861165463924408,0.000382686237571761,0.00011889581219293177
R04,03,356,0.0078125,8.923322457121685e-05,0.0,0.0,0.0,0.0,0.0,1.2877547028722347e-08,0.0,0.0,0.0,0.0,0.0,1.2877547028722347e-08,0.002121366560459137,0.00041959554073400795,0.00011289119720458984,0.18643563985824585,0.00045675193541683257,0.0009415775421075523,0.002102307975292206,0.0003185501554980874,6.538629531860352e-05,0.07567784190177917,0.00039107550401240587,0.0002033973578363657,0.002137802541255951,0.0003641943621914834,8.535385131835938e-05,0.18804115056991577,0.0004583437694236636,0.0009582933271303773
R04,03,445,0.00390625,7.873519643908367e-05,0.0,0.0,0.0,0.0,0.0,1.2325651610467503e-08,0.0,0.0,0.0,0.0,0.0,1.2325651610467503e-08,0.0013902559876441956,0.00031292703351937234,6.16312026977539e-05,0.16804833710193634,0.00038492647581733763,0.00034610688453540206,0.001441720873117447,0.0003425820905249566,7.355213165283203e-05,0.034734271466732025,0.0003540591860655695,9.278437937609851e-05,0.0017845295369625092,0.000386102736229077,9.28640365600586e-05,0.15648911893367767,0.0003857567789964378,0.0003163097135256976
R01,01,0,0.0078125,5.2490133384708315e-05,0.0,0.0,0.0,0.0,0.0,1.2325651610467503e-08,0.0,0.0,0.0,0.0,0.0,1.2325651610467503e-08,0.001534298062324524,0.00041613055509515107,0.00010597705841064453,0.010189063847064972,0.00038709782529622316,0.00010061945067718625,0.0017065256834030151,0.00037199934013187885,8.7738037109375e-05,0.010131753981113434,0.00036535601248033345,8.996640099212527e-05,0.0017226524651050568,0.00040388014167547226,0.00010287761688232422,0.010893091559410095,0.0003761297557502985,9.495166887063533e-05
R01,02,151,0.0078125,4.199210525257513e-05,0.0,0.0,0.0,0.0,0.0,1.2877547028722347e-08,0.0,0.0,0.0,0.0,0.0,1.2877547028722347e-08,0.0013769865036010742,0.0002588996139820665,4.64320182800293e-05,0.02545393630862236,0.0003549835819285363,9.003980812849477e-05,0.001375831663608551,0.0002957238757517189,5.7756900787353516e-05,0.022212088108062744,0.00034811513614840806,8.596277621109039e-05,0.001109069213271141,0.00030143631738610566,5.65648078918457e-05,0.008855670690536499,0.00036987324710935354,9.240578219760209e-05
