name,count,device_type,self_cpu_us,self_device_us
aten::empty,732,DeviceType.CPU,1969.7390000004625,0
aten::to,3621,DeviceType.CPU,1831.5059999997407,0.0
aten::_to_copy,2466,DeviceType.CPU,3121.6710000010953,0.0
aten::empty_strided,2934,DeviceType.CPU,4462.877999999602,0
aten::copy_,2610,DeviceType.CPU,8866.8149999993,5523.806000000201
Activity Buffer Request,1,DeviceType.CPU,203.99399999999997,0
cudaStreamIsCapturing,1731,DeviceType.CPU,684.5960000006635,0
cudaMemcpyAsync,6915,DeviceType.CPU,26571.133999999933,0
cudaStreamSynchronize,6915,DeviceType.CPU,26943.280999998744,0
aten::lift_fresh,3,DeviceType.CPU,0.7829999999855772,0
aten::index,3,DeviceType.CPU,47.61599999999265,11.968999999997322
aten::as_strided,11232,DeviceType.CPU,2105.234000001517,0
aten::reshape,1197,DeviceType.CPU,540.8310000000017,0
aten::view,2397,DeviceType.CPU,1167.4259999997714,0
cudaLaunchKernel,5871,DeviceType.CPU,26480.261999999944,0
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",3,DeviceType.CUDA,0,11.968999999997322
aten::add,222,DeviceType.CPU,1202.145999999752,654.9129999999783
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",3,DeviceType.CUDA,0,3.585000000006062
aten::div,156,DeviceType.CPU,878.2479999998923,191.29700000007085
"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",3,DeviceType.CUDA,0,3.6149999999983606
aten::upsample_bilinear2d,3,DeviceType.CPU,30.07600000003498,12.254999999985102
"void at::native::(anonymous namespace)::upsample_bilinear2d_out_frame<float, float>(int, float, float, bool, torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, float const, 3ul, torch::headeronly::DefaultPtrTraits, long>, at::detail::IndexBoundsCheck<4ul, long>, float const, 4ul, torch::headeronly::DefaultPtrTraits, long>, torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, float, 3ul, torch::headeronly::DefaultPtrTraits, long>, at::detail::IndexBoundsCheck<4ul, long>, float, 4ul, torch::headeronly::DefaultPtrTraits, long>)",3,DeviceType.CUDA,0,12.254999999985102
aten::sub,147,DeviceType.CPU,687.2100000000951,218.8510000001698
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",3,DeviceType.CUDA,0,5.344999999985305
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > const&)::{lambda(int)#1})",9,DeviceType.CUDA,0,15.103999999998848
"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",6,DeviceType.CUDA,0,6.975999999976693
aten::conv2d,3,DeviceType.CPU,7.602999999967665,0.0
aten::convolution,3,DeviceType.CPU,8.726000000022282,0.0
aten::_convolution,3,DeviceType.CPU,28.07500000001062,0.0
aten::cudnn_convolution,3,DeviceType.CPU,103.54399999994405,160.8969999999823
cudaGetErrorString,3,DeviceType.CPU,1.1830000000193195,0
"void implicit_convolve_sgemm<__nv_bfloat16, __nv_bfloat16, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, __nv_bfloat16 const*, int, __nv_bfloat16*, __nv_bfloat16 const*, kernel_conv_params, unsigned long long, int, float, float, int, __nv_bfloat16 const*, __nv_bfloat16 const*, bool, bool, int, int)",3,DeviceType.CUDA,0,160.8969999999823
aten::add_,147,DeviceType.CPU,595.0190000001893,450.7819999999481
aten::flatten,147,DeviceType.CPU,130.94300000010753,0
aten::transpose,435,DeviceType.CPU,328.60999999995715,0
aten::expand,153,DeviceType.CPU,127.06599999993034,0
aten::cat,1014,DeviceType.CPU,4815.891999999541,1307.0059999996329
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::BFloat16> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::BFloat16> const&)::{lambda(int)#1})",147,DeviceType.CUDA,0,450.7819999999481
