repeat,index,ms
0,0,59.382332023233175
0,1,60.529135167598724
0,2,63.139858888462186
0,3,61.72555196098983
0,4,60.059058014303446
0,5,60.597093077376485
0,6,60.029874090105295
0,7,60.514196986332536
0,8,60.32267585396767
0,9,59.52617386355996
0,10,59.187985956668854
0,11,60.32317713834345
0,12,59.68352989293635
0,13,60.24643289856613
0,14,60.514737851917744
0,15,60.396144865080714
1,0,60.68648211658001
1,1,59.71533013507724
1,2,59.167187195271254
1,3,64.45476808585227
1,4,59.55783394165337
1,5,59.36703411862254
1,6,59.668711852282286
1,7,59.76621597073972
1,8,62.96200305223465
1,9,59.68529311940074
1,10,61.510095139965415
1,11,62.54655891098082
1,12,58.97615710273385
1,13,58.803782099857926
1,14,58.92915790900588
1,15,59.621513821184635
2,0,59.92011702619493
2,1,59.317349921911955
2,2,59.275350999087095
2,3,58.969052974134684
2,4,59.082025894895196
2,5,59.311669087037444
2,6,60.42733299545944
2,7,60.11460302397609
2,8,59.57824201323092
2,9,59.323811903595924
2,10,59.64861484244466
2,11,59.28936693817377
2,12,59.161876095458865
2,13,59.866113821044564
2,14,59.41041582264006
2,15,59.50838001444936
