name,count,device_type,self_cpu_us,self_device_us
TorchDynamo Cache Lookup,3,DeviceType.CPU,577.880000000001,0
Torch-Compiled Region: 0/0,3,DeviceType.CPU,1371.5140000000001,0.0
Pregraph bytecode,3,DeviceType.CPU,36.22899999999993,0
AOTDispatcher Runtime Wrapper Prologue,3,DeviceType.CPU,12.975000000000762,0
## Call CompiledFxGraph fyqreqwdcffn5h7xrfp3ni67qd2zijfxxzm4t7dmnbczdsokye6o ##,3,DeviceType.CPU,4778.8659999999845,0.0
Activity Buffer Request,1,DeviceType.CPU,1940.4789999999998,0
triton_poi_fused__to_copy__unsafe_index_add_arange_clamp_convolution_div_index_lift_fresh_mul_sub_view_0,3,DeviceType.CPU,34.82600000000184,5.759999999998854
cuLaunchKernel,519,DeviceType.CPU,2186.2489999999916,0
aten::convolution,3,DeviceType.CPU,5.941999999998643,0.0
aten::_convolution,3,DeviceType.CPU,21.83100000000104,0.0
aten::cudnn_convolution,3,DeviceType.CPU,63.198999999998705,161.15300000000025
cudaLaunchKernel,147,DeviceType.CPU,585.4100000000062,0
cudaGetErrorString,3,DeviceType.CPU,0.3999999999996362,0
triton_poi_fused__to_copy__unsafe_index_add_arange_clamp_convolution_div_index_lift_fresh_mul_sub_view_0,3,DeviceType.CUDA,0,5.759999999998854
"void implicit_convolve_sgemm<__nv_bfloat16, __nv_bfloat16, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, __nv_bfloat16 const*, int, __nv_bfloat16*, __nv_bfloat16 const*, kernel_conv_params, unsigned long long, int, float, float, int, __nv_bfloat16 const*, __nv_bfloat16 const*, bool, bool, int, int)",3,DeviceType.CUDA,0,161.15300000000025
triton_poi_fused__to_copy__unsafe_index_add_arange_clamp_floor_mul_permute_rsub_slice_sub_unsqueeze_view_1,3,DeviceType.CPU,24.325999999998203,64.0639999999994
triton_red_fused__to_copy_add_cat_clone_convolution_div_expand_native_layer_norm_permute_select_sub_transpose_unsqueeze_view_2,3,DeviceType.CPU,27.810999999999694,15.136000000000422
triton_poi_fused__to_copy__unsafe_index_add_arange_clamp_floor_mul_permute_rsub_slice_sub_unsqueeze_view_1,3,DeviceType.CUDA,0,64.0639999999994
