repeat,index,ms
0,0,2.869781106710434
0,1,2.8697808738797903
0,2,3.537982003763318
0,3,2.886011963710189
0,4,2.8620471712201834
0,5,2.8488219249993563
0,6,2.855665050446987
0,7,2.868700074031949
0,8,3.209151094779372
0,9,3.07044992223382
0,10,2.867808099836111
0,11,2.840084955096245
0,12,2.845555078238249
0,13,3.65277798846364
0,14,2.8615358751267195
0,15,2.8743010479956865
1,0,2.879558829590678
1,1,2.8760831337422132
1,2,2.8878850862383842
1,3,3.5063419491052628
1,4,2.8945980593562126
1,5,2.838481916114688
1,6,2.8384120669215918
1,7,2.859642030671239
1,8,3.617781912907958
1,9,2.908935071900487
1,10,2.867847913876176
1,11,2.913885051384568
1,12,2.892443910241127
1,13,2.8890669345855713
1,14,3.4300980623811483
1,15,2.8602529782801867
2,0,2.873488003388047
2,1,2.8701918199658394
2,2,2.8867139481008053
2,3,3.366106888279319
2,4,3.045693039894104
2,5,2.904816996306181
2,6,2.864049980416894
2,7,2.8742188587784767
2,8,2.9012300074100494
2,9,3.47039382904768
2,10,2.8746009338647127
2,11,2.855264116078615
2,12,2.862648107111454
2,13,2.8638001531362534
2,14,2.857519080862403
2,15,3.2444680109620094
