repeat,index,ms
0,0,45.179663924500346
0,1,44.10679102875292
0,2,44.68016303144395
0,3,44.72213191911578
0,4,43.906914070248604
0,5,45.080897863954306
0,6,44.85654504969716
0,7,44.00400794111192
0,8,43.890964007005095
0,9,44.83348201029003
0,10,43.87642699293792
0,11,44.594289967790246
0,12,44.765213038772345
0,13,43.94757002592087
0,14,44.30787987075746
0,15,44.84756803140044
1,0,43.94729994237423
1,1,43.83073002099991
1,2,45.08357308804989
1,3,43.918025912716985
1,4,44.52846711501479
1,5,44.699969002977014
1,6,43.91077090986073
1,7,44.40145706757903
1,8,43.89465181156993
1,9,43.93668984994292
1,10,44.48072612285614
1,11,44.34553091414273
1,12,44.01460709050298
1,13,45.37229798734188
1,14,45.13624310493469
1,15,44.14137708954513
2,0,43.97325892932713
2,1,44.798004906624556
2,2,44.02127885259688
2,3,44.43819588050246
2,4,44.813452987000346
2,5,43.86806208640337
2,6,44.37354416586459
2,7,44.65562617406249
2,8,43.881616089493036
2,9,45.04111292771995
2,10,44.64916395954788
2,11,43.868080945685506
2,12,43.985572876408696
2,13,44.34449994005263
2,14,44.014086946845055
2,15,44.32022385299206
