scene,video,frame,bf16_cls_cosine,bf16_cls_max_abs,same_eager_cls_cosine,same_eager_cls_max_abs,bf16_patch12_cosine,bf16_patch12_max_abs,same_eager_patch12_cosine,same_eager_patch12_max_abs
R01,01,0,2.384185791015625e-07,0.0,2.384185791015625e-07,0.0,1.9684250673890347e-08,0.0,1.9684250673890347e-08,0.0
R01,01,6,0.0,0.0,0.0,0.0,2.5939058900803502e-08,0.0,2.5939058900803502e-08,0.0
R01,01,13,0.0,0.0,0.0,0.0,2.4835268064293814e-08,0.0,2.4835268064293814e-08,0.0
R01,01,19,0.0,0.0,0.0,0.0,2.5387164370727078e-08,0.0,2.5387164370727078e-08,0.0
R01,01,26,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.4467338377576198e-08,0.0,2.4467338377576198e-08,0.0
R01,01,33,0.0,0.0,0.0,0.0,2.4835268064293814e-08,0.0,2.4835268064293814e-08,0.0
R01,01,39,0.0,0.0,0.0,0.0,2.7410777647673967e-08,0.0,2.7410777647673967e-08,0.0
R01,01,46,0.0,0.0,0.0,0.0,2.5019232907652622e-08,0.0,2.5019232907652622e-08,0.0
R01,01,53,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.6674918274238735e-08,0.0,2.6674918274238735e-08,0.0
R01,01,59,0.0,0.0,0.0,0.0,2.4835268064293814e-08,0.0,2.4835268064293814e-08,0.0
R01,01,66,0.0,0.0,0.0,0.0,2.3731479004140965e-08,0.0,2.3731479004140965e-08,0.0
R01,01,73,0.0,0.0,0.0,0.0,2.5571129214085886e-08,0.0,2.5571129214085886e-08,0.0
R01,01,79,0.0,0.0,0.0,0.0,2.2995619630705733e-08,0.0,2.2995619630705733e-08,0.0
R01,01,86,0.0,0.0,0.0,0.0,2.5387164370727078e-08,0.0,2.5387164370727078e-08,0.0
R01,01,93,0.0,0.0,0.0,0.0,2.317958447406454e-08,0.0,2.317958447406454e-08,0.0
R01,01,99,1.1920928955078125e-07,0.0,1.1920928955078125e-07,0.0,2.5755094057444694e-08,0.0,2.5755094057444694e-08,0.0
R01,01,106,1.1920928955078125e-07,0.0,1.1920928955078125e-07,0.0,2.225975848091366e-08,0.0,2.225975848091366e-08,0.0
R01,01,112,0.0,0.0,0.0,0.0,2.612302374416231e-08,0.0,2.612302374416231e-08,0.0
R01,01,119,0.0,0.0,0.0,0.0,1.8764424680739467e-08,0.0,1.8764424680739467e-08,0.0
R01,01,126,0.0,0.0,0.0,0.0,2.5387164370727078e-08,0.0,2.5387164370727078e-08,0.0
R01,01,132,0.0,0.0,0.0,0.0,2.428337353421739e-08,0.0,2.428337353421739e-08,0.0
R01,01,139,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.8330603640824847e-08,0.0,2.8330603640824847e-08,0.0
R01,01,146,0.0,0.0,0.0,0.0,2.3547514160782157e-08,0.0,2.3547514160782157e-08,0.0
R01,01,152,0.0,0.0,0.0,0.0,2.4835268064293814e-08,0.0,2.4835268064293814e-08,0.0
R01,01,159,0.0,0.0,0.0,0.0,2.7594742491032775e-08,0.0,2.7594742491032775e-08,0.0
R01,01,166,0.0,0.0,0.0,0.0,2.133993426411962e-08,0.0,2.133993426411962e-08,0.0
R01,01,172,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.317958447406454e-08,0.0,2.317958447406454e-08,0.0
R01,01,179,0.0,0.0,0.0,0.0,2.3915443847499773e-08,0.0,2.3915443847499773e-08,0.0
R01,01,186,0.0,0.0,0.0,0.0,2.5019232907652622e-08,0.0,2.5019232907652622e-08,0.0
R01,01,192,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,3.0354218694128576e-08,0.0,3.0354218694128576e-08,0.0
R01,01,199,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.336354931742335e-08,0.0,2.336354931742335e-08,0.0
R01,01,206,0.0,0.0,0.0,0.0,2.2627689943988116e-08,0.0,2.2627689943988116e-08,0.0
R01,02,0,0.0,0.0,0.0,0.0,2.5939058900803502e-08,0.0,2.5939058900803502e-08,0.0
R01,02,6,0.0,0.0,0.0,0.0,2.722681280431516e-08,0.0,2.722681280431516e-08,0.0
R01,02,13,0.0,0.0,0.0,0.0,2.0788039734043195e-08,0.0,2.0788039734043195e-08,0.0
R01,02,20,0.0,0.0,0.0,0.0,2.5387164370727078e-08,0.0,2.5387164370727078e-08,0.0
R01,02,27,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.630698858752112e-08,0.0,2.630698858752112e-08,0.0
R01,02,34,0.0,0.0,0.0,0.0,2.8698533327542464e-08,0.0,2.8698533327542464e-08,0.0
R01,02,41,0.0,0.0,0.0,0.0,2.1155969420760812e-08,0.0,2.1155969420760812e-08,0.0
R01,02,48,0.0,0.0,0.0,0.0,2.225975848091366e-08,0.0,2.225975848091366e-08,0.0
R01,02,54,0.0,0.0,0.0,0.0,2.428337353421739e-08,0.0,2.428337353421739e-08,0.0
R01,02,61,0.0,0.0,0.0,0.0,2.5571129214085886e-08,0.0,2.5571129214085886e-08,0.0
R01,02,68,0.0,0.0,0.0,0.0,2.2995619630705733e-08,0.0,2.2995619630705733e-08,0.0
R01,02,75,0.0,0.0,0.0,0.0,2.409940869085858e-08,0.0,2.409940869085858e-08,0.0
R01,02,82,0.0,0.0,0.0,0.0,2.5939058900803502e-08,0.0,2.5939058900803502e-08,0.0
R01,02,89,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.0788039734043195e-08,0.0,2.0788039734043195e-08,0.0
R01,02,96,0.0,0.0,0.0,0.0,2.5939058900803502e-08,0.0,2.5939058900803502e-08,0.0
R01,02,103,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.4651303220935006e-08,0.0,2.4651303220935006e-08,0.0
R01,02,109,0.0,0.0,0.0,0.0,2.7594742491032775e-08,0.0,2.7594742491032775e-08,0.0
R01,02,116,0.0,0.0,0.0,0.0,2.630698858752112e-08,0.0,2.630698858752112e-08,0.0
R01,02,123,0.0,0.0,0.0,0.0,2.722681280431516e-08,0.0,2.722681280431516e-08,0.0
R01,02,130,1.7881393432617188e-07,0.0,1.7881393432617188e-07,0.0,2.5755094057444694e-08,0.0,2.5755094057444694e-08,0.0
R01,02,137,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.225975848091366e-08,0.0,2.225975848091366e-08,0.0
R01,02,144,0.0,0.0,0.0,0.0,2.5019232907652622e-08,0.0,2.5019232907652622e-08,0.0
R01,02,151,0.0,0.0,0.0,0.0,2.5019232907652622e-08,0.0,2.5019232907652622e-08,0.0
R01,02,158,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.7778707334391584e-08,0.0,2.7778707334391584e-08,0.0
R01,02,164,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,2.4651303220935006e-08,0.0,2.4651303220935006e-08,0.0
