name,count,device_type,self_cpu_us,self_device_us,device_total_us
aten::lift_fresh,5,DeviceType.CPU,2.844999999999743,0,0
aten::to,10,DeviceType.CPU,23.124999999997726,0.0,60.064000000001215
aten::_to_copy,10,DeviceType.CPU,42.25900000000229,0.0,60.064000000001215
aten::empty_strided,10,DeviceType.CPU,44.20400000000035,0,0
aten::copy_,10,DeviceType.CPU,57.35699999999815,52.128000000001066,60.064000000001215
Activity Buffer Request,1,DeviceType.CPU,2030.0929999999998,7.936000000000149,7.936000000000149
cudaStreamIsCapturing,10,DeviceType.CPU,9.327000000002045,0,0
cudaMemcpyAsync,5,DeviceType.CPU,100.41999999999916,0,0
cudaStreamSynchronize,5,DeviceType.CPU,54.43399999999974,0,0
Memcpy HtoD (Pageable -> Device),5,DeviceType.CUDA,0,39.74400000000014,39.74400000000014
aten::permute,5,DeviceType.CPU,12.38399999999865,0,0
aten::as_strided,10,DeviceType.CPU,8.034999999998035,0,0
aten::unsqueeze,5,DeviceType.CPU,6.562000000001717,0,0
cudaLaunchKernel,20,DeviceType.CPU,149.84300000000167,0,0
aten::div,5,DeviceType.CPU,40.93599999999833,5.951999999999771,5.951999999999771
aten::sub,5,DeviceType.CPU,30.44900000000098,5.984000000000833,5.984000000000833
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",5,DeviceType.CUDA,0,12.384000000000924,12.384000000000924
"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",5,DeviceType.CUDA,0,5.951999999999771,5.951999999999771
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",5,DeviceType.CUDA,0,5.984000000000833,5.984000000000833
TorchDynamo Cache Lookup,5,DeviceType.CPU,238.06900000000132,0,0
Torch-Compiled Region: 0/0,5,DeviceType.CPU,163.19700000000103,4367.262999999995,4412.638999999995
Pregraph bytecode,5,DeviceType.CPU,73.6880000000001,0,0
AOTDispatcher Runtime Wrapper Prologue,5,DeviceType.CPU,23.244000000000142,0,0
## Call CompiledFxGraph f5y5wcatehvifwcarrdxy63abwo6q4svlltc5jizxdyig4syaabm ##,5,DeviceType.CPU,404.47499999999854,0.0,45.37599999999884
aten::_foreach_copy_,5,DeviceType.CPU,30.60899999999856,45.37599999999884,45.37599999999884
## Call CompiledFxGraph f5y5wcatehvifwcarrdxy63abwo6q4svlltc5jizxdyig4syaabm ##,5,DeviceType.CUDA,0,4988.905999999999,4988.905999999999
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<float, 2, 1, 1>, at::native::Copy<float, float> >(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<float, 2, 1, 1>, at::native::Copy<float, float>)",5,DeviceType.CUDA,0,45.37599999999884,45.37599999999884
cudaGraphLaunch,5,DeviceType.CPU,498.40200000000004,0,0
triton_poi_fused__to_copy__unsafe_index_add_arange_clamp_convolution_div_index_lift_fresh_mul_sub_view_0,5,DeviceType.CUDA,0,8.832000000000335,8.832000000000335
triton_poi_fused__to_copy__unsafe_index_add_arange_clamp_floor_mul_permute_rsub_slice_sub_unsqueeze_view_1,5,DeviceType.CUDA,0,107.74400000000105,107.74400000000105
"void implicit_convolve_sgemm<__nv_bfloat16, __nv_bfloat16, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, __nv_bfloat16 const*, int, __nv_bfloat16*, __nv_bfloat16 const*, kernel_conv_params, unsigned long long, int, float, float, int, __nv_bfloat16 const*, __nv_bfloat16 const*, bool, bool, int, int)",5,DeviceType.CUDA,0,267.68300000000045,267.68300000000045
cudaDeviceSynchronize,6,DeviceType.CPU,4274.190999999999,0,0
triton_red_fused__to_copy_add_cat_clone_convolution_div_expand_native_layer_norm_permute_select_sub_transpose_unsqueeze_view_2,5,DeviceType.CUDA,0,24.86499999999978,24.86499999999978
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_tn_align8>(cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_tn_align8::Params),120,DeviceType.CUDA,0,1177.4510000000037,1177.4510000000037
"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<64, 64, 256, 4, cutlass::bfloat16_t> >, false, false, false, false, true, false, true, false>(pytorch_flash::Flash_fwd_params)",60,DeviceType.CUDA,0,377.7950000000001,377.7950000000001
"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<64, 64, 256, 4, cutlass::bfloat16_t> >, 8, 1, true>(pytorch_flash::Flash_fwd_params)",60,DeviceType.CUDA,0,182.46600000000217,182.46600000000217
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8::Params),120,DeviceType.CUDA,0,1815.178999999991,1815.178999999991
triton_per_fused_add_mul_native_layer_norm_view_3,60,DeviceType.CUDA,0,133.69700000000103,133.69700000000103
triton_poi_fused_gelu_view_4,60,DeviceType.CUDA,0,114.49399999999832,114.49399999999832
triton_per_fused_add_mul_native_layer_norm_view_5,55,DeviceType.CUDA,0,133.4389999999994,133.4389999999994
triton_per_fused_add_mul_native_layer_norm_view_6,5,DeviceType.CUDA,0,11.26399999999876,11.26399999999876
triton_per_fused__to_copy_clamp_min_div_expand_linalg_vector_norm_select_7,5,DeviceType.CUDA,0,5.537000000000262,5.537000000000262
triton_per_fused__to_copy_clamp_min_div_expand_linalg_vector_norm_slice_8,5,DeviceType.CUDA,0,6.8169999999995525,6.8169999999995525
