name,count,device_type,self_cpu_us,self_device_us,device_total_us
aten::lift_fresh,5,DeviceType.CPU,2.8360000000016043,0,0
aten::to,10,DeviceType.CPU,21.734999999999218,0.0,61.05700000000161
aten::_to_copy,10,DeviceType.CPU,37.158000000003085,0.0,61.05700000000161
aten::empty_strided,10,DeviceType.CPU,44.50399999999894,0,0
aten::copy_,10,DeviceType.CPU,59.05999999999949,53.121000000001914,61.05700000000161
Activity Buffer Request,1,DeviceType.CPU,2014.717,7.935999999999694,7.935999999999694
cudaStreamIsCapturing,10,DeviceType.CPU,9.156000000000404,0,0
cudaMemcpyAsync,5,DeviceType.CPU,98.14599999999837,0,0
cudaStreamSynchronize,5,DeviceType.CPU,54.15300000000161,0,0
Memcpy HtoD (Pageable -> Device),5,DeviceType.CUDA,0,40.03300000000036,40.03300000000036
aten::permute,5,DeviceType.CPU,11.189000000001215,0,0
aten::as_strided,10,DeviceType.CPU,8.33699999999908,0,0
aten::unsqueeze,5,DeviceType.CPU,6.059999999999945,0,0
cudaLaunchKernel,20,DeviceType.CPU,144.99399999999878,0,0
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",5,DeviceType.CUDA,0,13.088000000001557,13.088000000001557
aten::div,5,DeviceType.CPU,40.866999999998825,5.889000000001488,5.889000000001488
"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",5,DeviceType.CUDA,0,5.889000000001488,5.889000000001488
aten::sub,5,DeviceType.CPU,30.11799999999812,5.88799999999992,5.88799999999992
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",5,DeviceType.CUDA,0,5.88799999999992,5.88799999999992
TorchDynamo Cache Lookup,5,DeviceType.CPU,274.2390000000005,0,0
Torch-Compiled Region: 0/0,5,DeviceType.CPU,159.59099999999944,4387.557999999988,4433.15799999999
