name,count,device_type,self_cpu_us,self_device_us
TorchDynamo Cache Lookup,3,DeviceType.CPU,34.474000000000146,0
Torch-Compiled Region: 2/8,3,DeviceType.CPU,62.275000000001,0.0
Pregraph bytecode,3,DeviceType.CPU,6.552999999999784,0
AOTDispatcher Runtime Wrapper Prologue,3,DeviceType.CPU,12.023000000000295,0
## Call CompiledFxGraph fsnjrzyjimcg4r4jdr7i2e4fbrgxjfetktgbmcz55cyhph4hn57z ##,3,DeviceType.CPU,123.19299999999976,0.0
Activity Buffer Request,1,DeviceType.CPU,1951.78,0
triton_poi_fused___rshift____to_copy_add_bitwise_and_mul_stack_sub_unsqueeze_view_0,3,DeviceType.CPU,30.978999999999814,0
cuLaunchKernel,6,DeviceType.CPU,224.55100000000039,0
triton_tem_fused__unsafe_view_add_mm_t_view_1,3,DeviceType.CPU,20.167999999999665,4.800000000000182
cudaDeviceSynchronize,4,DeviceType.CPU,15.679000000000087,0
triton_tem_fused__unsafe_view_add_mm_t_view_1,1,DeviceType.CUDA,0,4.800000000000182
