layer,M,N,K,kind,regime,repeat,us,calls_per_event
fc2,64,768,3072,predequant_gemm,warm,0,14.22099955379963,32
fc2,64,768,3072,packed_int4,warm,0,18.998999148607254,32
fc2,64,768,3072,native_int4,warm,0,19.550999626517296,32
fc2,64,768,3072,bf16,warm,0,13.148999772965908,32
fc2,64,768,3072,fused_int4,warm,0,43.60099881887436,32
fc2,64,768,3072,dequant_only,warm,0,4.749000072479248,32
fc2,64,768,3072,fused_int4,warm,1,43.505001813173294,32
fc2,64,768,3072,predequant_gemm,warm,1,13.491000048816204,32
fc2,64,768,3072,packed_int4,warm,1,17.395999282598495,32
fc2,64,768,3072,dequant_only,warm,1,4.182000178843737,32
fc2,64,768,3072,native_int4,warm,1,18.498999997973442,32
fc2,64,768,3072,bf16,warm,1,12.59899977594614,32
fc2,64,768,3072,bf16,warm,2,12.466000393033028,32
fc2,64,768,3072,dequant_only,warm,2,4.172000102698803,32
fc2,64,768,3072,fused_int4,warm,2,43.30800101161003,32
fc2,64,768,3072,packed_int4,warm,2,17.268000170588493,32
fc2,64,768,3072,predequant_gemm,warm,2,13.327999971807003,32
fc2,64,768,3072,native_int4,warm,2,17.95399934053421,32
fc2,64,768,3072,native_int4,warm,3,17.93299987912178,32
fc2,64,768,3072,bf16,warm,3,12.454000301659107,32
fc2,64,768,3072,packed_int4,warm,3,17.20600016415119,32
fc2,64,768,3072,dequant_only,warm,3,4.139000084251165,32
fc2,64,768,3072,fused_int4,warm,3,43.23599860072136,32
fc2,64,768,3072,predequant_gemm,warm,3,13.411000370979309,32
fc2,64,768,3072,dequant_only,warm,4,4.126999992877245,32
fc2,64,768,3072,fused_int4,warm,4,43.1860014796257,32
fc2,64,768,3072,bf16,warm,4,12.455999851226807,32
fc2,64,768,3072,packed_int4,warm,4,17.131999135017395,32
fc2,64,768,3072,native_int4,warm,4,18.23499985039234,32
fc2,64,768,3072,predequant_gemm,warm,4,13.326999731361866,32
fc2,64,768,3072,fused_int4,warm,5,43.237000703811646,32
fc2,64,768,3072,dequant_only,warm,5,4.139999859035015,32
fc2,64,768,3072,native_int4,warm,5,18.324000760912895,32
fc2,64,768,3072,predequant_gemm,warm,5,13.327999971807003,32
fc2,64,768,3072,packed_int4,warm,5,17.116999253630638,32
fc2,64,768,3072,bf16,warm,5,12.361000292003155,32
fc2,64,768,3072,fused_int4,warm,6,43.29900071024895,32
fc2,64,768,3072,dequant_only,warm,6,4.114000126719475,32
fc2,64,768,3072,native_int4,warm,6,18.271999433636665,32
fc2,64,768,3072,bf16,warm,6,12.432999908924103,32
fc2,64,768,3072,predequant_gemm,warm,6,13.263000175356865,32
fc2,64,768,3072,packed_int4,warm,6,17.108000814914703,32
fc2,64,768,3072,native_int4,eviction_attempt,0,23.552000522613525,1
fc2,64,768,3072,dequant_only,eviction_attempt,0,8.191999979317188,1
fc2,64,768,3072,bf16,eviction_attempt,0,18.432000651955605,1
fc2,64,768,3072,packed_int4,eviction_attempt,0,22.52800017595291,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,0,18.432000651955605,1
fc2,64,768,3072,fused_int4,eviction_attempt,0,55.296000093221664,1
fc2,64,768,3072,bf16,eviction_attempt,1,16.00000075995922,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,1,18.432000651955605,1
fc2,64,768,3072,dequant_only,eviction_attempt,1,8.191999979317188,1
fc2,64,768,3072,packed_int4,eviction_attempt,1,22.52800017595291,1
fc2,64,768,3072,native_int4,eviction_attempt,1,24.57600086927414,1
fc2,64,768,3072,fused_int4,eviction_attempt,1,51.19999870657921,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,2,18.432000651955605,1
fc2,64,768,3072,native_int4,eviction_attempt,2,24.57600086927414,1
fc2,64,768,3072,packed_int4,eviction_attempt,2,22.52800017595291,1
fc2,64,768,3072,bf16,eviction_attempt,2,16.383999958634377,1
fc2,64,768,3072,dequant_only,eviction_attempt,2,8.191999979317188,1
fc2,64,768,3072,fused_int4,eviction_attempt,2,51.19999870657921,1
fc2,64,768,3072,dequant_only,eviction_attempt,3,8.191999979317188,1
fc2,64,768,3072,packed_int4,eviction_attempt,3,22.52800017595291,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,3,18.432000651955605,1
fc2,64,768,3072,bf16,eviction_attempt,3,16.383999958634377,1
fc2,64,768,3072,fused_int4,eviction_attempt,3,51.19999870657921,1
fc2,64,768,3072,native_int4,eviction_attempt,3,22.52800017595291,1
fc2,64,768,3072,native_int4,eviction_attempt,4,24.57600086927414,1
fc2,64,768,3072,packed_int4,eviction_attempt,4,22.52800017595291,1
fc2,64,768,3072,dequant_only,eviction_attempt,4,6.144000217318535,1
fc2,64,768,3072,bf16,eviction_attempt,4,16.383999958634377,1
fc2,64,768,3072,fused_int4,eviction_attempt,4,51.19999870657921,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,4,18.432000651955605,1
fc2,64,768,3072,bf16,eviction_attempt,5,16.383999958634377,1
fc2,64,768,3072,packed_int4,eviction_attempt,5,22.52800017595291,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,5,18.432000651955605,1
fc2,64,768,3072,native_int4,eviction_attempt,5,22.52800017595291,1
fc2,64,768,3072,dequant_only,eviction_attempt,5,8.191999979317188,1
fc2,64,768,3072,fused_int4,eviction_attempt,5,49.15200173854828,1
fc2,64,768,3072,native_int4,eviction_attempt,6,24.57600086927414,1
fc2,64,768,3072,bf16,eviction_attempt,6,16.383999958634377,1
fc2,64,768,3072,fused_int4,eviction_attempt,6,49.15200173854828,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,6,18.432000651955605,1
fc2,64,768,3072,packed_int4,eviction_attempt,6,22.52800017595291,1
fc2,64,768,3072,dequant_only,eviction_attempt,6,8.191999979317188,1
fc2,64,768,3072,bf16,eviction_attempt,7,16.383999958634377,1
fc2,64,768,3072,native_int4,eviction_attempt,7,22.52800017595291,1
fc2,64,768,3072,dequant_only,eviction_attempt,7,8.191999979317188,1
fc2,64,768,3072,fused_int4,eviction_attempt,7,51.19999870657921,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,7,18.432000651955605,1
fc2,64,768,3072,packed_int4,eviction_attempt,7,22.52800017595291,1
fc2,64,768,3072,fused_int4,eviction_attempt,8,49.15200173854828,1
fc2,64,768,3072,packed_int4,eviction_attempt,8,22.52800017595291,1
fc2,64,768,3072,bf16,eviction_attempt,8,16.383999958634377,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,8,18.432000651955605,1
fc2,64,768,3072,native_int4,eviction_attempt,8,24.57600086927414,1
fc2,64,768,3072,dequant_only,eviction_attempt,8,8.191999979317188,1
fc2,64,768,3072,packed_int4,eviction_attempt,9,22.52800017595291,1
fc2,64,768,3072,dequant_only,eviction_attempt,9,8.191999979317188,1
fc2,64,768,3072,fused_int4,eviction_attempt,9,49.15200173854828,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,9,18.432000651955605,1
fc2,64,768,3072,bf16,eviction_attempt,9,16.383999958634377,1
fc2,64,768,3072,native_int4,eviction_attempt,9,24.57600086927414,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,10,18.432000651955605,1
fc2,64,768,3072,fused_int4,eviction_attempt,10,49.15200173854828,1
fc2,64,768,3072,packed_int4,eviction_attempt,10,22.52800017595291,1
fc2,64,768,3072,bf16,eviction_attempt,10,16.383999958634377,1
fc2,64,768,3072,dequant_only,eviction_attempt,10,6.144000217318535,1
fc2,64,768,3072,native_int4,eviction_attempt,10,24.57600086927414,1
fc2,64,768,3072,predequant_gemm,eviction_attempt,11,18.432000651955605,1
fc2,64,768,3072,fused_int4,eviction_attempt,11,49.15200173854828,1
fc2,64,768,3072,packed_int4,eviction_attempt,11,22.52800017595291,1
fc2,64,768,3072,bf16,eviction_attempt,11,18.432000651955605,1
fc2,64,768,3072,dequant_only,eviction_attempt,11,8.191999979317188,1
