layer,M,N,K,kind,regime,repeat,us,calls_per_event
proj,1,768,768,predequant_gemm,warm,0,5.841000005602837,32
proj,1,768,768,packed_int4,warm,0,8.441999554634094,32
proj,1,768,768,native_int4,warm,0,5.429000128060579,32
proj,1,768,768,bf16,warm,0,4.846999887377024,32
proj,1,768,768,fused_int4,warm,0,14.666999690234661,32
proj,1,768,768,dequant_only,warm,0,2.6420000940561295,32
proj,1,768,768,fused_int4,warm,1,14.390000142157078,32
proj,1,768,768,predequant_gemm,warm,1,4.989000037312508,32
proj,1,768,768,packed_int4,warm,1,6.907000206410885,32
proj,1,768,768,dequant_only,warm,1,2.0749999675899744,32
proj,1,768,768,native_int4,warm,1,4.160999786108732,32
proj,1,768,768,bf16,warm,1,4.155999980866909,32
proj,1,768,768,bf16,warm,2,4.126000218093395,32
proj,1,768,768,dequant_only,warm,2,2.041999949142337,32
proj,1,768,768,fused_int4,warm,2,14.414000324904919,32
proj,1,768,768,packed_int4,warm,2,6.823000032454729,32
proj,1,768,768,predequant_gemm,warm,2,4.9600000493228436,32
proj,1,768,768,native_int4,warm,2,4.031999967992306,32
proj,1,768,768,native_int4,warm,3,3.9750002324581146,32
proj,1,768,768,bf16,warm,3,4.1519999504089355,32
proj,1,768,768,packed_int4,warm,3,6.738000083714724,32
proj,1,768,768,dequant_only,warm,3,2.0550000481307507,32
proj,1,768,768,fused_int4,warm,3,14.341999776661396,32
proj,1,768,768,predequant_gemm,warm,3,4.964999854564667,32
proj,1,768,768,dequant_only,warm,4,2.0550000481307507,32
proj,1,768,768,fused_int4,warm,4,14.283999800682068,32
proj,1,768,768,bf16,warm,4,4.129999782890081,32
proj,1,768,768,packed_int4,warm,4,6.756000220775604,32
proj,1,768,768,native_int4,warm,4,3.988000098615885,32
proj,1,768,768,predequant_gemm,warm,4,4.947000183165073,32
proj,1,768,768,fused_int4,warm,5,14.379999600350857,32
proj,1,768,768,dequant_only,warm,5,2.0729999523609877,32
proj,1,768,768,native_int4,warm,5,3.963000141084194,32
proj,1,768,768,predequant_gemm,warm,5,4.9310000613331795,32
proj,1,768,768,packed_int4,warm,5,6.73400005325675,32
proj,1,768,768,bf16,warm,5,4.114000126719475,32
proj,1,768,768,fused_int4,warm,6,14.361999928951263,32
proj,1,768,768,dequant_only,warm,6,2.03999993391335,32
