layer,M,N,K,kind,scene,relative_l2,cosine,max_abs,pass
proj,16,768,768,bf16,R01,0.0,1.862645149230957e-08,0.0,True
proj,16,768,768,bf16,R02,0.0,1.1175870895385742e-08,0.0,True
proj,16,768,768,bf16,R03,0.0,2.9802322387695312e-08,0.0,True
proj,16,768,768,bf16,R04,0.0,1.862645149230957e-08,0.0,True
proj,16,768,768,native_int4,R01,0.0,1.862645149230957e-08,0.0,True
proj,16,768,768,native_int4,R02,0.0,1.1175870895385742e-08,0.0,True
proj,16,768,768,native_int4,R03,0.0,2.2351741790771484e-08,0.0,True
proj,16,768,768,native_int4,R04,0.0,2.2351741790771484e-08,0.0,True
proj,16,768,768,packed_int4,R01,0.0,1.862645149230957e-08,0.0,True
proj,16,768,768,packed_int4,R02,0.0,1.1175870895385742e-08,0.0,True
proj,16,768,768,packed_int4,R03,0.0,2.2351741790771484e-08,0.0,True
proj,16,768,768,packed_int4,R04,0.0,2.2351741790771484e-08,0.0,True
proj,16,768,768,dequant_only,R01,0.0,1.9480165036611652e-08,0.0,True
proj,16,768,768,dequant_only,R02,0.0,1.9480165036611652e-08,0.0,True
proj,16,768,768,dequant_only,R03,0.0,1.9480165036611652e-08,0.0,True
proj,16,768,768,dequant_only,R04,0.0,1.9480165036611652e-08,0.0,True
proj,16,768,768,predequant_gemm,R01,0.0,1.862645149230957e-08,0.0,True
proj,16,768,768,predequant_gemm,R02,0.0,1.1175870895385742e-08,0.0,True
proj,16,768,768,predequant_gemm,R03,0.0,2.2351741790771484e-08,0.0,True
proj,16,768,768,predequant_gemm,R04,0.0,2.2351741790771484e-08,0.0,True
proj,16,768,768,fused_int4,R01,0.0,1.862645149230957e-08,0.0,True
proj,16,768,768,fused_int4,R02,0.0,1.1175870895385742e-08,0.0,True
proj,16,768,768,fused_int4,R03,0.0,2.2351741790771484e-08,0.0,True
proj,16,768,768,fused_int4,R04,0.0,2.2351741790771484e-08,0.0,True
