layer,M,N,K,kind,scene,relative_l2,cosine,max_abs,pass
qkv,16,2304,768,bf16,R01,0.0,0.0,0.0,True
qkv,16,2304,768,bf16,R02,0.0,2.60770320892334e-08,0.0,True
qkv,16,2304,768,bf16,R03,0.0,2.2351741790771484e-08,0.0,True
qkv,16,2304,768,bf16,R04,0.0,7.450580596923828e-09,0.0,True
qkv,16,2304,768,native_int4,R01,0.0,2.2351741790771484e-08,0.0,True
qkv,16,2304,768,native_int4,R02,0.0,1.862645149230957e-08,0.0,True
qkv,16,2304,768,native_int4,R03,0.0,2.60770320892334e-08,0.0,True
qkv,16,2304,768,native_int4,R04,0.0,1.862645149230957e-08,0.0,True
qkv,16,2304,768,packed_int4,R01,0.0,1.4901161193847656e-08,0.0,True
qkv,16,2304,768,packed_int4,R02,0.0,1.1175870895385742e-08,0.0,True
qkv,16,2304,768,packed_int4,R03,0.0,2.2351741790771484e-08,0.0,True
qkv,16,2304,768,packed_int4,R04,0.0,1.1175870895385742e-08,0.0,True
qkv,16,2304,768,dequant_only,R01,0.0,2.4990489677634287e-08,0.0,True
qkv,16,2304,768,dequant_only,R02,0.0,2.4990489677634287e-08,0.0,True
qkv,16,2304,768,dequant_only,R03,0.0,2.4990489677634287e-08,0.0,True
qkv,16,2304,768,dequant_only,R04,0.0,2.4990489677634287e-08,0.0,True
qkv,16,2304,768,predequant_gemm,R01,0.0,1.4901161193847656e-08,0.0,True
qkv,16,2304,768,predequant_gemm,R02,0.0,1.1175870895385742e-08,0.0,True
qkv,16,2304,768,predequant_gemm,R03,0.0,2.2351741790771484e-08,0.0,True
qkv,16,2304,768,predequant_gemm,R04,0.0,1.1175870895385742e-08,0.0,True
qkv,16,2304,768,fused_int4,R01,1.0160656529478729e-06,1.4901161193847656e-08,0.000244140625,True
qkv,16,2304,768,fused_int4,R02,0.0,1.1175870895385742e-08,0.0,True
qkv,16,2304,768,fused_int4,R03,0.0,2.2351741790771484e-08,0.0,True
qkv,16,2304,768,fused_int4,R04,6.720079545630142e-05,7.450580596923828e-09,0.015625,True
