layer,M,N,K,kind,regime,repeat,us,calls_per_event
qkv,64,2304,768,predequant_gemm,warm,0,7.265999913215637,32
qkv,64,2304,768,packed_int4,warm,0,11.043000034987926,32
qkv,64,2304,768,native_int4,warm,0,16.27800054848194,32
qkv,64,2304,768,bf16,warm,0,5.830999929457903,32
qkv,64,2304,768,fused_int4,warm,0,14.643000438809395,32
qkv,64,2304,768,dequant_only,warm,0,4.296000115573406,32
qkv,64,2304,768,fused_int4,warm,1,14.23299964517355,32
qkv,64,2304,768,predequant_gemm,warm,1,6.258000154048204,32
qkv,64,2304,768,packed_int4,warm,1,9.802999906241894,32
qkv,64,2304,768,dequant_only,warm,1,3.7589999847114086,32
qkv,64,2304,768,native_int4,warm,1,14.996999874711037,32
qkv,64,2304,768,bf16,warm,1,5.3159999661147594,32
qkv,64,2304,768,bf16,warm,2,5.167999770492315,32
qkv,64,2304,768,dequant_only,warm,2,3.7040000315755606,32
qkv,64,2304,768,fused_int4,warm,2,14.23799991607666,32
qkv,64,2304,768,packed_int4,warm,2,9.708000347018242,32
qkv,64,2304,768,predequant_gemm,warm,2,6.250999867916107,32
qkv,64,2304,768,native_int4,warm,2,14.907999895513058,32
qkv,64,2304,768,native_int4,warm,3,14.821000397205353,32
qkv,64,2304,768,bf16,warm,3,5.179000087082386,32
qkv,64,2304,768,packed_int4,warm,3,9.56599973142147,32
qkv,64,2304,768,dequant_only,warm,3,3.6909999325871468,32
qkv,64,2304,768,fused_int4,warm,3,14.286000281572342,32
qkv,64,2304,768,predequant_gemm,warm,3,6.225000135600567,32
qkv,64,2304,768,dequant_only,warm,4,3.7120000924915075,32
qkv,64,2304,768,fused_int4,warm,4,14.291999861598015,32
qkv,64,2304,768,bf16,warm,4,5.319999996572733,32
qkv,64,2304,768,packed_int4,warm,4,9.51599981635809,32
qkv,64,2304,768,native_int4,warm,4,14.844000339508057,32
qkv,64,2304,768,predequant_gemm,warm,4,6.22300012037158,32
qkv,64,2304,768,fused_int4,warm,5,14.302999712526798,32
qkv,64,2304,768,dequant_only,warm,5,3.67900007404387,32
qkv,64,2304,768,native_int4,warm,5,14.758000150322914,32
qkv,64,2304,768,predequant_gemm,warm,5,6.165000144392252,32
qkv,64,2304,768,packed_int4,warm,5,9.448999539017677,32
qkv,64,2304,768,bf16,warm,5,5.127000156790018,32
qkv,64,2304,768,fused_int4,warm,6,14.297000132501125,32
qkv,64,2304,768,dequant_only,warm,6,3.725999966263771,32
qkv,64,2304,768,native_int4,warm,6,14.708999544382095,32
qkv,64,2304,768,bf16,warm,6,5.156000144779682,32
qkv,64,2304,768,predequant_gemm,warm,6,6.155000068247318,32
qkv,64,2304,768,packed_int4,warm,6,9.471000172197819,32
qkv,64,2304,768,native_int4,eviction_attempt,0,19.45599913597107,1
qkv,64,2304,768,dequant_only,eviction_attempt,0,6.144000217318535,1
qkv,64,2304,768,bf16,eviction_attempt,0,12.28800043463707,1
qkv,64,2304,768,packed_int4,eviction_attempt,0,14.336000196635723,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,0,12.28800043463707,1
qkv,64,2304,768,fused_int4,eviction_attempt,0,18.432000651955605,1
qkv,64,2304,768,bf16,eviction_attempt,1,11.872000060975552,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,1,13.952000066637993,1
qkv,64,2304,768,dequant_only,eviction_attempt,1,5.727999843657017,1
qkv,64,2304,768,packed_int4,eviction_attempt,1,14.336000196635723,1
qkv,64,2304,768,native_int4,eviction_attempt,1,20.479999482631683,1
qkv,64,2304,768,fused_int4,eviction_attempt,1,18.432000651955605,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,2,14.336000196635723,1
qkv,64,2304,768,native_int4,eviction_attempt,2,20.479999482631683,1
qkv,64,2304,768,packed_int4,eviction_attempt,2,14.336000196635723,1
qkv,64,2304,768,bf16,eviction_attempt,2,12.28800043463707,1
qkv,64,2304,768,dequant_only,eviction_attempt,2,6.175999995321035,1
qkv,64,2304,768,fused_int4,eviction_attempt,2,18.432000651955605,1
qkv,64,2304,768,dequant_only,eviction_attempt,3,6.144000217318535,1
qkv,64,2304,768,packed_int4,eviction_attempt,3,14.336000196635723,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,3,14.336000196635723,1
qkv,64,2304,768,bf16,eviction_attempt,3,12.28800043463707,1
qkv,64,2304,768,fused_int4,eviction_attempt,3,18.432000651955605,1
qkv,64,2304,768,native_int4,eviction_attempt,3,20.479999482631683,1
qkv,64,2304,768,native_int4,eviction_attempt,4,20.479999482631683,1
qkv,64,2304,768,packed_int4,eviction_attempt,4,14.336000196635723,1
qkv,64,2304,768,dequant_only,eviction_attempt,4,6.144000217318535,1
qkv,64,2304,768,bf16,eviction_attempt,4,12.28800043463707,1
qkv,64,2304,768,fused_int4,eviction_attempt,4,18.432000651955605,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,4,12.28800043463707,1
qkv,64,2304,768,bf16,eviction_attempt,5,12.28800043463707,1
qkv,64,2304,768,packed_int4,eviction_attempt,5,16.383999958634377,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,5,14.336000196635723,1
qkv,64,2304,768,native_int4,eviction_attempt,5,20.479999482631683,1
qkv,64,2304,768,dequant_only,eviction_attempt,5,6.144000217318535,1
qkv,64,2304,768,fused_int4,eviction_attempt,5,18.432000651955605,1
qkv,64,2304,768,native_int4,eviction_attempt,6,20.479999482631683,1
qkv,64,2304,768,bf16,eviction_attempt,6,12.28800043463707,1
qkv,64,2304,768,fused_int4,eviction_attempt,6,18.432000651955605,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,6,12.256000190973282,1
qkv,64,2304,768,packed_int4,eviction_attempt,6,14.336000196635723,1
qkv,64,2304,768,dequant_only,eviction_attempt,6,6.175999995321035,1
qkv,64,2304,768,bf16,eviction_attempt,7,12.28800043463707,1
qkv,64,2304,768,native_int4,eviction_attempt,7,20.479999482631683,1
qkv,64,2304,768,dequant_only,eviction_attempt,7,6.144000217318535,1
qkv,64,2304,768,fused_int4,eviction_attempt,7,18.432000651955605,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,7,12.28800043463707,1
qkv,64,2304,768,packed_int4,eviction_attempt,7,14.336000196635723,1
qkv,64,2304,768,fused_int4,eviction_attempt,8,18.432000651955605,1
qkv,64,2304,768,packed_int4,eviction_attempt,8,14.336000196635723,1
qkv,64,2304,768,bf16,eviction_attempt,8,12.28800043463707,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,8,12.28800043463707,1
qkv,64,2304,768,native_int4,eviction_attempt,8,20.479999482631683,1
qkv,64,2304,768,dequant_only,eviction_attempt,8,6.144000217318535,1
qkv,64,2304,768,packed_int4,eviction_attempt,9,14.336000196635723,1
qkv,64,2304,768,dequant_only,eviction_attempt,9,6.144000217318535,1
qkv,64,2304,768,fused_int4,eviction_attempt,9,18.432000651955605,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,9,14.336000196635723,1
qkv,64,2304,768,bf16,eviction_attempt,9,12.28800043463707,1
qkv,64,2304,768,native_int4,eviction_attempt,9,20.479999482631683,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,10,14.336000196635723,1
qkv,64,2304,768,fused_int4,eviction_attempt,10,18.432000651955605,1
qkv,64,2304,768,packed_int4,eviction_attempt,10,14.336000196635723,1
qkv,64,2304,768,bf16,eviction_attempt,10,12.28800043463707,1
qkv,64,2304,768,dequant_only,eviction_attempt,10,6.144000217318535,1
qkv,64,2304,768,native_int4,eviction_attempt,10,20.479999482631683,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,11,14.336000196635723,1
qkv,64,2304,768,fused_int4,eviction_attempt,11,18.432000651955605,1
qkv,64,2304,768,packed_int4,eviction_attempt,11,14.336000196635723,1
qkv,64,2304,768,bf16,eviction_attempt,11,12.28800043463707,1
qkv,64,2304,768,dequant_only,eviction_attempt,11,6.144000217318535,1
qkv,64,2304,768,native_int4,eviction_attempt,11,20.479999482631683,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,12,14.336000196635723,1
qkv,64,2304,768,bf16,eviction_attempt,12,12.256000190973282,1
qkv,64,2304,768,packed_int4,eviction_attempt,12,14.336000196635723,1
qkv,64,2304,768,native_int4,eviction_attempt,12,20.479999482631683,1
qkv,64,2304,768,fused_int4,eviction_attempt,12,18.432000651955605,1
qkv,64,2304,768,dequant_only,eviction_attempt,12,6.144000217318535,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,13,14.336000196635723,1
