layer,M,kind,regime,kernels,kernel_duration_sum_us,duration_weighted_dram_GB_per_s,duration_weighted_dram_pct,duration_weighted_tensor_pct,duration_weighted_sm_pct
qkv,1,bf16,warm,1,5.632,0.4090909999999999,0.024204000000000003,2.314436,3.0316700000000005
qkv,1,bf16,eviction_attempt,1,5.632,0.18181799999999998,0.010785,2.313871,3.030929
qkv,1,packed_int4,warm,2,9.952,0.25723475241157556,0.015189144694533762,1.3046082057877812,21.6987227266881
qkv,1,packed_int4,eviction_attempt,2,9.792,0.13071915359477126,0.007695349673202615,1.3262960196078433,21.90961495424837
qkv,1,fused_int4,warm,1,15.072,0.050955,0.002989,1.696972,8.42741
qkv,1,fused_int4,eviction_attempt,1,15.136,0.067653,0.003967,1.697927,8.432151
qkv,325,bf16,warm,1,10.432,0.07362,0.004322,30.682159,30.682159
qkv,325,bf16,eviction_attempt,1,10.304,0.049689,0.00293,30.984978999999996,30.984978999999996
qkv,325,packed_int4,warm,3,16.512,0.20155031589147288,0.011939732558139534,19.43695415503876,31.927777507751934
qkv,325,packed_int4,eviction_attempt,3,16.768,32.229007582061065,1.899667564885496,19.015081288167938,31.114602889312973
qkv,325,fused_int4,warm,1,30.592,0.025105,0.00147,9.784815,48.615983
qkv,325,fused_int4,eviction_attempt,1,30.848,0.016598,0.000973,9.695537,48.172403
proj,1,bf16,warm,1,4.864,0.210526,0.01245,0.890186,1.166051
proj,1,bf16,eviction_attempt,1,4.864,0.210526,0.012538,0.8950579999999999,1.172433
proj,1,packed_int4,warm,3,9.152,0.16783212937062938,0.009966227272727274,0.47147872027972026,8.552003573426575
proj,1,packed_int4,eviction_attempt,3,9.184,0.13937297212543553,0.008258310104529619,0.47129426829268295,8.436538637630663
proj,1,fused_int4,warm,1,15.008,0.06823,0.004005,0.5677310000000001,2.819435
proj,1,fused_int4,eviction_attempt,1,15.072,0.050955,0.002991,0.568724,2.824366
proj,325,bf16,warm,1,6.368,0.160804,0.009484,16.611641,16.611641
proj,325,bf16,eviction_attempt,1,6.4,0.08,0.004721,16.572994,16.572994
proj,325,packed_int4,warm,2,9.024000000000001,10.723403975177304,0.6372413404255317,11.885475882978723,26.385007411347516
proj,325,packed_int4,eviction_attempt,2,8.832,0.231884,0.013731952898550726,12.044643387681159,26.87173233333333
proj,325,fused_int4,warm,1,15.488,0.049587,0.002906,6.107468,30.345036
proj,325,fused_int4,eviction_attempt,1,15.616,0.196721,0.011542,6.099377,30.304833
fc1,1,bf16,warm,1,5.76,0.17777800000000002,0.010417,2.990717,4.0694
fc1,1,bf16,eviction_attempt,1,5.824,0.17582400000000004,0.010408,2.975065,4.048103
fc1,1,packed_int4,warm,2,10.719999999999999,0.2865671432835821,0.016960119402985075,1.620355217910448,26.853336719402986
fc1,1,packed_int4,eviction_attempt,2,10.719999999999999,0.28656704776119407,0.016824322388059705,1.6171379701492536,26.67886429552239
fc1,1,fused_int4,warm,1,15.2,0.033684,0.001975,2.257503,11.211087
fc1,1,fused_int4,eviction_attempt,1,15.168,0.033755,0.00198,2.262981,11.238295
fc1,325,bf16,warm,1,10.88,0.141176,0.0083,40.564868,40.564868
fc1,325,bf16,eviction_attempt,1,10.72,0.047761,0.002806,40.839523,40.839523
fc1,325,packed_int4,warm,3,17.984,1.6797152829181494,0.09853302491103201,24.599295325622776,39.84047801067615
fc1,325,packed_int4,eviction_attempt,3,17.984,0.5124557330960853,0.030213850533807825,24.496530854092523,39.632139113879
fc1,325,fused_int4,warm,1,30.848,0.091286,0.005348,13.067412,64.925608
fc1,325,fused_int4,eviction_attempt,1,30.784,0.199584,0.01168,13.110626,65.14032
fc2,1,bf16,warm,1,10.208,0.075235,0.004422,1.684441,1.775462
fc2,1,bf16,eviction_attempt,1,10.272,0.04984399999999999,0.002926,1.669177,1.759373
fc2,1,packed_int4,warm,3,16.416,3.58674465497076,0.21783566276803118,1.0457553840155946,15.742350727095516
fc2,1,packed_int4,eviction_attempt,3,16.416,0.10916184795321637,0.006436877192982455,1.047485567251462,15.67587738596491
fc2,1,fused_int4,warm,1,45.504,0.028129,0.001647,0.751482,3.698213
fc2,1,fused_int4,eviction_attempt,1,45.696,0.011203999999999999,0.000656,0.748654,3.6842919999999997
fc2,325,bf16,warm,1,16.448,0.18677,0.010965,25.409801,25.409801
fc2,325,bf16,eviction_attempt,1,16.576,0.046332,0.002722,25.425523,25.425523
fc2,325,packed_int4,warm,4,22.592,0.8498580736543909,0.05009535694050992,19.545300220963174,33.17819137393768
fc2,325,packed_int4,eviction_attempt,4,22.272,0.9885054683908047,0.05825537931034482,19.861856961206897,33.79379637931034
fc2,325,fused_int4,warm,1,44.288,34.953757,2.046667,8.61404,42.396719
fc2,325,fused_int4,eviction_attempt,1,44.16,0.255072,0.014944000000000002,8.614441,42.398691
