layer,M,kind,regime,median_us,mean_us,min_us,max_us,rounds
qkv,1,bf16,warm,4.819000139832497,4.924714232661894,4.8050000332295895,5.5669997818768024,7
qkv,1,bf16,eviction_attempt,10.239999741315842,10.300952142902783,9.855999611318111,12.28800043463707,21
qkv,1,native_int4,warm,5.239999853074551,5.527142834450517,5.2189999260008335,7.2559998370707035,7
qkv,1,native_int4,eviction_attempt,10.239999741315842,10.531047447806312,10.208000428974628,13.311999849975109,21
qkv,1,packed_int4,warm,8.321000263094902,8.522142922239643,8.28699953854084,9.689000435173512,7
qkv,1,packed_int4,eviction_attempt,12.28800043463707,12.678095627398719,12.28800043463707,14.336000196635723,21
qkv,1,dequant_only,warm,3.69199994020164,3.8197143003344536,3.6520001012831926,4.5380000956356525,7
qkv,1,dequant_only,eviction_attempt,6.144000217318535,6.543238203795183,6.144000217318535,8.191999979317188,21
qkv,1,predequant_gemm,warm,4.778000060468912,4.888714291155338,4.769999999552965,5.518000107258558,7
qkv,1,predequant_gemm,eviction_attempt,10.239999741315842,10.238476008886384,8.191999979317188,11.264000087976456,21
qkv,1,fused_int4,warm,14.48999997228384,14.545571325080735,14.38899990171194,15.081999823451042,7
qkv,1,fused_int4,eviction_attempt,18.432000651955605,19.27009579681215,16.383999958634377,26.240000501275063,21
qkv,16,bf16,warm,3.5600000992417336,3.64814286253282,3.524000057950616,4.242999944835901,7
qkv,16,bf16,eviction_attempt,10.239999741315842,10.142476031822818,8.191999979317188,12.28800043463707,21
qkv,16,native_int4,warm,6.959000136703253,7.194285746663809,6.901000160723925,8.376999758183956,7
qkv,16,native_int4,eviction_attempt,12.28800043463707,12.365714691224552,11.90400030463934,14.336000196635723,21
qkv,16,packed_int4,warm,8.40499997138977,8.588142826088838,8.27299989759922,9.908000007271767,7
qkv,16,packed_int4,eviction_attempt,12.28800043463707,12.853333682176613,12.28800043463707,14.336000196635723,21
qkv,16,dequant_only,warm,3.7070000544190407,3.7930000107735395,3.667999990284443,4.317000042647123,7
qkv,16,dequant_only,eviction_attempt,6.175999995321035,6.448761981335425,6.111999973654747,8.191999979317188,21
qkv,16,predequant_gemm,warm,4.954999778419733,5.062571394124201,4.883000161498785,5.801000166684389,7
qkv,16,predequant_gemm,eviction_attempt,10.239999741315842,10.317714086600713,9.855999611318111,12.28800043463707,21
qkv,16,fused_int4,warm,14.554999768733978,14.614571418081011,14.530000276863575,14.853999949991703,7
