scene,video,frame,input_bf16_sha256,fp32_cls_max_abs,fp32_cls_mean_abs,fp32_cls_cosine_mean,bf16_eager_cls_max_abs,bf16_eager_cls_mean_abs,bf16_eager_cls_cosine_mean,same_eager_cls_max_abs,same_eager_cls_mean_abs,same_eager_cls_cosine_mean,fp32_patch12_max_abs,fp32_patch12_mean_abs,fp32_patch12_cosine_mean,bf16_eager_patch12_max_abs,bf16_eager_patch12_mean_abs,bf16_eager_patch12_cosine_mean,same_eager_patch12_max_abs,same_eager_patch12_mean_abs,same_eager_patch12_cosine_mean
R01,01,0,f1e792111f1802b3ca869d55ad33c2b169dd4663baba4de8139325acfb92439e,0.05664258450269699,0.015350890345871449,0.1413329839706421,0.05620560422539711,0.015350095927715302,0.1406673789024353,0.0,0.0,0.0,0.2530069053173065,0.013495368883013725,0.11406900733709335,0.18220412731170654,0.013466882519423962,0.11354726552963257,0.0,0.0,1.1957721923749887e-08
R01,01,6,7d0ff0efc65197d9928bf40f304552aa24675a8d105aef8bd5eb6a7f81ec5dc1,0.05821162834763527,0.01594066061079502,0.14948618412017822,0.059443723410367966,0.015925763174891472,0.14861375093460083,0.0,0.0,0.0,0.32539093494415283,0.014010277576744556,0.12411978095769882,0.3421590328216553,0.01399281807243824,0.12395503371953964,0.0,0.0,1.4349266663771232e-08
R01,01,13,3c94e295229a408cb2987e83972ca881d37fdb8805654edef87c0f1ce36ba712,0.06015516072511673,0.01653866097331047,0.16157633066177368,0.060691408812999725,0.016541076824069023,0.16141211986541748,0.0,0.0,0.0,0.16905732452869415,0.014075782150030136,0.12421663105487823,0.16874152421951294,0.014083072543144226,0.12437489628791809,0.0,0.0,1.1405827393673462e-08
R01,01,19,9dc04669c52a21ec101231073ffb97e436802664f4beeed9d6dcf98f2565cd18,0.06301876157522202,0.01577071100473404,0.14753687381744385,0.06393087655305862,0.015789607539772987,0.1478360891342163,0.0,0.0,0.0,0.16792438924312592,0.013836666010320187,0.12057685852050781,0.1683904379606247,0.013820681720972061,0.12034381926059723,0.0,0.0,1.2877547028722347e-08
R01,01,26,e96738dea924e16c6f359a0833ff06b8933938eb53035f87b14aef551f81a427,0.06950693577528,0.01641901023685932,0.16024458408355713,0.07079655677080154,0.01643439568579197,0.16058766841888428,0.0,0.0,0.0,0.2600908577442169,0.014337635599076748,0.1301211267709732,0.2589843273162842,0.014335335232317448,0.130083829164505,0.0,0.0,1.1405827393673462e-08
R01,01,33,1b0cf3ffb129c6f680b78d09aebeaabd4ba443115b02316fc20c683c7f164cfc,0.0657767802476883,0.01621636562049389,0.1562267541885376,0.06696031987667084,0.01619609259068966,0.155925452709198,0.0,0.0,5.960464477539063e-08,0.20807702839374542,0.01398899033665657,0.12375308573246002,0.24162384867668152,0.01398832444101572,0.12388750910758972,0.0,0.0,1.655684656043377e-08
R01,01,39,8f296e203d6b81e79bcd0538db1a8d7ecacac5a3ddac8c604440cbeb55a3a3bd,0.06757833063602448,0.016323687508702278,0.15918099880218506,0.06797294318675995,0.016290947794914246,0.1585148572921753,0.0,0.0,5.960464477539063e-08,0.23402684926986694,0.013957670889794827,0.12254956364631653,0.29536113142967224,0.013933383859694004,0.12232831120491028,0.0,0.0,1.0486002288701002e-08
R01,01,46,cef7c7d33f2655b2213dd1b108cc0b13aafc93a2cb6348478b468afa5f92670c,0.06126924231648445,0.016291117295622826,0.1578834056854248,0.06139213219285011,0.016222095116972923,0.15649467706680298,0.0,0.0,0.0,0.1490717977285385,0.014160002581775188,0.1256939172744751,0.15659798681735992,0.01412377692759037,0.12498190253973007,0.0,0.0,1.4165301820412424e-08
R01,01,53,97beebf05d3b5924059cf409d44ce009b01335bedfb44b9f4971c21a51d0733f,0.07029974460601807,0.016451070085167885,0.16188925504684448,0.07136373966932297,0.016413500532507896,0.16134560108184814,0.0,0.0,0.0,0.34931838512420654,0.014040108770132065,0.12575773894786835,0.35109907388687134,0.014014201238751411,0.1251969337463379,0.0,0.0,1.1405827393673462e-08
R01,01,59,e9a8881b1cfc03e8231875140e3b5a4a2a892abac27443326a3f142b17560194,0.07452398538589478,0.01651564985513687,0.16256988048553467,0.07490013539791107,0.016498787328600883,0.1622423529624939,0.0,0.0,0.0,0.15692001581192017,0.013930032961070538,0.12179084867238998,0.1560918390750885,0.01391598116606474,0.12150289118289948,0.0,0.0,1.1405827393673462e-08
