name,count,device_type,self_cpu_us,self_device_us
TorchDynamo Cache Lookup,3,DeviceType.CPU,697.7820000000004,0
Torch-Compiled Region: 0/0,3,DeviceType.CPU,1969.985000000002,0.0
Pregraph bytecode,3,DeviceType.CPU,42.18999999999977,0
AOTDispatcher Runtime Wrapper Prologue,3,DeviceType.CPU,15.088999999999317,0
## Call CompiledFxGraph fok7sn4vxxizdp5bjtatfjbkn7bozcetetoaxfoqes2o3bp4f5gr ##,3,DeviceType.CPU,268.25499999999874,3142.703000000003
aten::_foreach_copy_,3,DeviceType.CPU,26.190999999999804,36.80100000000084
Activity Buffer Request,1,DeviceType.CPU,2160.8540000000003,14.94399999999996
cudaLaunchKernel,3,DeviceType.CPU,39.24299999999948,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Copy<c10::BFloat16, c10::BFloat16> >(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Copy<c10::BFloat16, c10::BFloat16>)",3,DeviceType.CUDA,0,36.80100000000084
cudaStreamIsCapturing,3,DeviceType.CPU,1.8330000000009932,0
cudaGraphLaunch,3,DeviceType.CPU,575.9020000000005,0
"void implicit_convolve_sgemm<__nv_bfloat16, __nv_bfloat16, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, __nv_bfloat16 const*, int, __nv_bfloat16*, __nv_bfloat16 const*, kernel_conv_params, unsigned long long, int, float, float, int, __nv_bfloat16 const*, __nv_bfloat16 const*, bool, bool, int, int)",3,DeviceType.CUDA,0,153.53699999999935
cudaDeviceSynchronize,4,DeviceType.CPU,3095.792000000002,14.5600000000004
triton_poi_fused__to_copy__unsafe_index_add_arange_clamp_floor_mul_permute_rsub_slice_sub_unsqueeze_view_0,3,DeviceType.CUDA,0,62.7519999999995
triton_red_fused__to_copy_add_cat_clone_convolution_expand_native_layer_norm_permute_select_transpose_unsqueeze_view_1,3,DeviceType.CUDA,0,15.263999999999214
triton_poi_fused__to_copy_t_2,36,DeviceType.CUDA,0,73.76200000000381
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align8::Params),36,DeviceType.CUDA,0,564.3859999999963
triton_poi_fused__scaled_dot_product_flash_attention_add_mul_transpose_unbind_view_3,36,DeviceType.CUDA,0,64.77100000000064
triton_poi_fused__scaled_dot_product_flash_attention_add_mul_transpose_unbind_view_4,36,DeviceType.CUDA,0,62.6549999999952
triton_poi_fused__scaled_dot_product_flash_attention_add_mul_transpose_unbind_view_5,36,DeviceType.CUDA,0,62.77899999999818
"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<64, 64, 256, 4, cutlass::bfloat16_t> >, false, false, false, false, true, false, true, false>(pytorch_flash::Flash_fwd_params)",36,DeviceType.CUDA,0,224.86700000000064
"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<64, 64, 256, 4, cutlass::bfloat16_t> >, 8, 1, true>(pytorch_flash::Flash_fwd_params)",36,DeviceType.CUDA,0,108.19300000000476
triton_poi_fused__to_copy_t_6,36,DeviceType.CUDA,0,50.111999999999625
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8::Params),36,DeviceType.CUDA,0,267.26099999999815
triton_per_fused_add_mul_native_layer_norm_view_7,69,DeviceType.CUDA,0,170.24600000000146
triton_poi_fused__to_copy_t_8,72,DeviceType.CUDA,0,169.5380000000032
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_128x128_32x4_tn_align8>(cutlass_80_tensorop_s16816gemm_bf16_128x128_32x4_tn_align8::Params),36,DeviceType.CUDA,0,364.28800000000456
"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",72,DeviceType.CUDA,0,261.28299999999854
triton_poi_fused_add_gelu_mul_view_9,36,DeviceType.CUDA,0,105.24899999999707
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_128x64_32x6_tn_align8>(cutlass_80_tensorop_s16816gemm_bf16_128x64_32x6_tn_align8::Params),36,DeviceType.CUDA,0,347.84000000000196
triton_per_fused_add_mul_native_layer_norm_view_10,3,DeviceType.CUDA,0,6.7520000000004075
triton_per_fused__to_copy_clamp_min_div_expand_linalg_vector_norm_select_11,3,DeviceType.CUDA,0,3.264000000001033
triton_per_fused__to_copy_clamp_min_div_expand_linalg_vector_norm_slice_12,3,DeviceType.CUDA,0,3.9039999999995416
