scene,video,frame,layer,bf16_fp32_max_abs,bf16_fp32_mean_abs,bf16_fp32_cosine_mean,compile_fp32_max_abs,compile_fp32_mean_abs,compile_fp32_cosine_mean,compile_bf16_max_abs,compile_bf16_mean_abs,compile_bf16_cosine_mean
R01,01,0,0,0.0027579069137573242,0.00014719858882017434,1.5564331988571212e-05,0.0027579069137573242,0.0001471985742682591,1.5563780834781937e-05,2.554996171966195e-06,6.888566383977945e-10,1.7973093235923443e-08
R01,01,0,1,0.009679794311523438,0.000314952660119161,7.613475463585928e-05,0.009678959846496582,0.00031495539587922394,7.612375338794664e-05,0.0015364475548267365,2.035263150901301e-06,1.408503607081002e-07
R01,01,0,2,0.009016379714012146,0.0005315453163348138,0.00020791769202332944,0.009013518691062927,0.0005316552123986185,0.00020808586850762367,0.006405815482139587,6.148943793959916e-05,6.251151717151515e-06
R01,01,0,3,0.008034142665565014,0.0005111334030516446,0.00019477678870316595,0.008195891045033932,0.0005118654225952923,0.0001945128751685843,0.0035791918635368347,0.0001255422248505056,1.3989301805850118e-05
R01,01,0,4,0.010421819984912872,0.0006023299647495151,0.00027594916173256934,0.010393038392066956,0.0006008658674545586,0.0002729223342612386,0.0033269431442022324,0.00019204028649255633,2.7272333682049066e-05
R01,01,0,5,0.010599592700600624,0.000661645841319114,0.0003238665231037885,0.010432485491037369,0.0006592204445041716,0.00031941451015882194,0.004050344228744507,0.00024552526883780956,4.149418600718491e-05
R01,01,0,6,0.012844294309616089,0.0006601787754334509,0.0003139468317385763,0.012951359152793884,0.000656040501780808,0.00030980806332081556,0.005351930856704712,0.00027690373826771975,5.167960989638232e-05
R01,01,0,7,0.02163437008857727,0.0006533944397233427,0.0003068364458158612,0.0194513201713562,0.0006459512514993548,0.00029900166555307806,0.006615042686462402,0.00030860299011692405,6.293278420343995e-05
R01,01,0,8,0.040533892810344696,0.000679715711157769,0.00035382655914872885,0.04296237975358963,0.0006792792701162398,0.00035376823507249355,0.007193863391876221,0.00034354132367298007,7.771547097945586e-05
R01,01,0,9,0.03313315287232399,0.0007281121797859669,0.0004180253599770367,0.03260548412799835,0.0007145499694161117,0.0004082296509295702,0.0074393898248672485,0.0003877280396409333,0.00010010609548771754
R01,01,0,10,0.04353698343038559,0.000737312133423984,0.000416184397181496,0.041453324258327484,0.0007150901365093887,0.00039315829053521156,0.00571335107088089,0.0003938259033020586,0.00010328622738597915
R01,01,0,11,0.055586665868759155,0.0007773187244310975,0.0005097644170746207,0.04803378880023956,0.000759813585318625,0.0004770014784298837,0.011230438947677612,0.00041802829946391284,0.0001206636443384923
R01,01,0,12,0.3137150704860687,0.0006485835183411837,0.0005317945033311844,0.32775139808654785,0.0006350975600071251,0.0005336422473192215,0.014036323875188828,0.0003359042457304895,7.745358016109094e-05
R01,01,0,13,0.07080277800559998,0.0006936510908417404,0.0003884374164044857,0.07367769628763199,0.0006763027049601078,0.00037240542587824166,0.010104812681674957,0.00036622918560169637,8.888042793842033e-05
R02,01,0,0,0.0026787519454956055,0.00011768298281822354,1.1069040738220792e-05,0.002678811550140381,0.00011768288823077455,1.1066290426242631e-05,2.844538539648056e-05,8.762006675766543e-10,1.155413098530289e-08
R02,01,0,1,0.008478343486785889,0.00027294899336993694,6.48766290396452e-05,0.008478403091430664,0.0002728808904066682,6.481941090896726e-05,0.0030684471130371094,1.2943373803864233e-06,1.0123619631485781e-07
R02,01,0,2,0.0069897230714559555,0.00045087808393873274,0.0001586980069987476,0.006995167583227158,0.0004511465085670352,0.0001587445876793936,0.0040354132652282715,5.6518758356105536e-05,5.558820703299716e-06
R02,01,0,3,0.006520707160234451,0.00041904233512468636,0.00013323398889042437,0.00757049024105072,0.0004197928647045046,0.00013358372962102294,0.003443211317062378,0.00011823966633528471,1.230716679856414e-05
