repeat,scene,video,frame,preprocess_ms,model_ms,total_ms,gpu_ms
0,R01,01,0,0.9174111764878035,3.3877468667924404,4.305158043280244,3.3553919792175293
0,R01,01,166,0.5492600612342358,3.2852948643267155,3.8345549255609512,3.2672319412231445
0,R01,02,130,0.5257171578705311,3.273801878094673,3.7995190359652042,3.2559359073638916
0,R01,04,89,0.6050649099051952,3.2592560164630413,3.8643209263682365,3.242079973220825
0,R02,01,124,0.5236428696662188,3.2662879675626755,3.7899308372288942,3.2495360374450684
0,R02,01,641,0.5163690075278282,3.252563066780567,3.7689320743083954,3.236095905303955
0,R02,02,489,0.5159180145710707,3.2571719493716955,3.773089963942766,3.2407679557800293
0,R02,04,345,0.5158481653779745,3.7113840226083994,4.227232187986374,3.6942079067230225
0,R03,01,258,0.6406819447875023,3.2594960648566484,3.9001780096441507,3.242719888687134
0,R03,02,111,0.5889050662517548,3.2629629131406546,3.8518679793924093,3.2466559410095215
0,R03,02,691,0.5850379820913076,3.2552580814808607,3.8402960635721684,3.2386879920959473
0,R03,04,531,0.5779550410807133,3.70858795940876,4.286543000489473,3.691648006439209
0,R04,01,178,0.5763319786638021,3.2649459317326546,3.8412779103964567,3.2487680912017822
0,R04,02,144,0.5285311490297318,3.255358897149563,3.7838900461792946,3.238464117050171
0,R04,03,74,0.5283020436763763,3.273030975833535,3.8013330195099115,3.2564799785614014
0,R04,03,460,0.528812175616622,3.724117996171117,4.252930171787739,3.706752061843872
1,R01,01,0,0.5617239512503147,3.254347015172243,3.816070966422558,3.2372798919677734
1,R01,01,166,0.5129619967192411,3.2517218496650457,3.764683846384287,3.2354559898376465
1,R01,02,130,0.5097370594739914,3.2640451099723577,3.773782169446349,3.2471039295196533
1,R01,04,89,0.505989883095026,3.260107012465596,3.766096895560622,3.2435200214385986
1,R02,01,124,0.5820619408041239,3.263954073190689,3.846016013994813,3.247488021850586
1,R02,01,641,0.5031139589846134,3.262090962380171,3.7652049213647842,3.2458560466766357
1,R02,02,489,0.5068208556622267,3.2606490422040224,3.767469897866249,3.244256019592285
1,R02,04,345,0.5008389707654715,3.2660290598869324,3.766868030652404,3.248703956604004
1,R03,01,258,0.577182974666357,3.6923890002071857,4.269571974873543,3.6757121086120605
1,R03,02,111,0.6315349601209164,3.253455040976405,3.8849900010973215,3.2371840476989746
1,R03,02,691,0.578245148062706,3.2627820037305355,3.8410271517932415,3.245919942855835
1,R03,04,531,0.5689880345016718,3.2756158616393805,3.8446038961410522,3.2588798999786377
1,R04,01,178,0.5183429457247257,3.7224050611257553,4.240748006850481,3.7059199810028076
1,R04,02,144,0.5696190055459738,3.262863028794527,3.832482034340501,3.2462399005889893
1,R04,03,74,0.5180018488317728,3.270135959610343,3.788137808442116,3.2535359859466553
1,R04,03,460,0.5257870070636272,3.2522620167583227,3.77804902382195,3.2353599071502686
2,R01,01,0,0.5031840410083532,3.694722894579172,4.197906935587525,3.6769919395446777
2,R01,01,166,0.5569050554186106,3.2537248916924,3.8106299471110106,3.236959934234619
2,R01,02,130,0.5067009478807449,3.2624821178615093,3.7691830657422543,3.246367931365967
2,R01,04,89,0.5106180906295776,3.2545968424528837,3.7652149330824614,3.2378880977630615
2,R02,01,124,0.5214079283177853,3.2670411746948957,3.788449103012681,3.2503039836883545
2,R02,01,641,0.5787760019302368,3.263504011556506,3.842280013486743,3.247040033340454
2,R02,02,489,0.5002280231565237,3.277079900726676,3.7773079238831997,3.2604479789733887
2,R02,04,345,0.5004489794373512,3.2558899838477373,3.7563389632850885,3.238976001739502
2,R03,01,258,0.5747179966419935,3.258825046941638,3.8335430435836315,3.242176055908203
2,R03,02,111,0.7475619204342365,3.707277122884989,4.454839043319225,3.6844799518585205
2,R03,02,691,0.6265160627663136,3.2629119232296944,3.889427985996008,3.245919942855835
2,R03,04,531,0.570239033550024,3.262521931901574,3.832760965451598,3.2458560466766357
2,R04,01,178,0.5137838888913393,3.2535551581531763,3.7673390470445156,3.2369279861450195
2,R04,02,144,0.6888830102980137,3.734616795554757,4.423499805852771,3.712480068206787
2,R04,03,74,0.5755499005317688,3.26172006316483,3.837269963696599,3.2448959350585938
2,R04,03,460,0.5252659320831299,3.2597770914435387,3.7850430235266685,3.242784023284912
