scene,video,frame,input_bf16_sha256,fp32_cls_max_abs,fp32_cls_mean_abs,fp32_cls_cosine_mean,bf16_eager_cls_max_abs,bf16_eager_cls_mean_abs,bf16_eager_cls_cosine_mean,same_eager_cls_max_abs,same_eager_cls_mean_abs,same_eager_cls_cosine_mean,fp32_patch12_max_abs,fp32_patch12_mean_abs,fp32_patch12_cosine_mean,bf16_eager_patch12_max_abs,bf16_eager_patch12_mean_abs,bf16_eager_patch12_cosine_mean,same_eager_patch12_max_abs,same_eager_patch12_mean_abs,same_eager_patch12_cosine_mean
R01,01,0,f1e792111f1802b3ca869d55ad33c2b169dd4663baba4de8139325acfb92439e,0.002954542636871338,0.0005523820291273296,0.00018221139907836914,0.0,0.0,0.0,0.0,0.0,0.0,0.07080277800559998,0.0006940871244296432,0.00038907391717657447,0.0,0.0,1.2325651610467503e-08,0.0,0.0,1.2325651610467503e-08
R01,01,166,69a9e24b1f876dbdf270d48fdf157bed2e7925671e756195042ffc90c365dbdb,0.0017411932349205017,0.0004764942859765142,0.0001372694969177246,0.0,0.0,0.0,0.0,0.0,0.0,0.08547506481409073,0.0006515884306281805,0.0003448408388067037,0.0,0.0,1.2141686767108695e-08,0.0,0.0,1.2141686767108695e-08
R01,02,130,4c956c29e4a35c79f8ceb372d6b9b06ace9a55789ab603441895073b3a5b5a9b,0.002235032618045807,0.0004889165284112096,0.00015032291412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.08994297683238983,0.0005768926348537207,0.00028975214809179306,0.0,0.0,1.4165301820412424e-08,0.0,0.0,1.4165301820412424e-08
R01,04,89,c524075a1b6753f158072b143a2abc080c6a696c9a7d52105b4678a99ce39424,0.001749332994222641,0.0004563351394608617,0.00012731552124023438,0.0,0.0,0.0,0.0,0.0,0.0,0.23996005952358246,0.0007432074053213,0.0027568405494093895,0.0,0.0,1.2325651610467503e-08,0.0,0.0,1.2325651610467503e-08
R02,01,124,a2f9758507de0e99e6450df0563a85078141a564e9b1368e5fc167df56f16b06,0.0028203530237078667,0.0005903900600969791,0.00021117925643920898,0.0,0.0,0.0,0.0,0.0,0.0,0.12784777581691742,0.0005407036514952779,0.0003241751401219517,0.0,0.0,1.3981336088875196e-08,0.0,0.0,1.3981336088875196e-08
R02,01,641,d456f74c76ee4d80175a18f9e38afa4449fb1bd1bce76f1d81831aca4f07f7ca,0.0024152607657015324,0.0005658941227011383,0.00019299983978271484,0.0,0.0,0.0,0.0,0.0,0.0,0.031167924404144287,0.0005548346671275795,0.000220083340536803,0.0,0.0,1.066996713205981e-08,0.0,0.0,1.066996713205981e-08
R02,02,489,c669773675a78ce2ed13175ed137d4d6fcc5b0d6eb2555924aefea81c3196689,0.0025434005074203014,0.0005440273089334369,0.00017654895782470703,0.0,0.0,0.0,0.0,0.0,0.0,0.018192587420344353,0.0005686320946551859,0.00023264999617822468,0.0,0.0,1.3797371245516388e-08,0.0,0.0,1.3797371245516388e-08
R02,04,345,d8a4d130293253a711f4e05276bda8683210d52da8bcfb59069edda31a55da52,0.002864319598302245,0.0006125412764959037,0.00023502111434936523,0.0,0.0,0.0,0.0,0.0,0.0,0.0157006848603487,0.000594079727306962,0.00025688056484796107,0.0,0.0,1.0853931975418618e-08,0.0,0.0,1.0853931975418618e-08
R03,01,258,786bc05c22be952e5e1b93510c87a4f2c06fed6167e69728bc61e043251370f6,0.0015537366271018982,0.0003451175580266863,7.176399230957031e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.013419218361377716,0.0005612383247353137,0.00023321089975070208,0.0,0.0,1.1405827393673462e-08,0.0,0.0,1.1405827393673462e-08
R03,02,111,adbac011eb8fb9763717956336ca29c46cb0d9a39f6884d1c5de636ae72a8538,0.0015108287334442139,0.0003921589523088187,9.387731552124023e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.042803674936294556,0.0005824900581501424,0.0002584080211818218,0.0,0.0,1.1773757080391078e-08,0.0,0.0,1.1773757080391078e-08
R03,02,691,454f8f03e6a533f224b2ff876976c6a85a021be11cc6b594b5c4633dec2539cf,0.0018283016979694366,0.0004544890543911606,0.00012499094009399414,0.0,0.0,0.0,0.0,0.0,0.0,0.014672592282295227,0.0006141997291706502,0.00027021177811548114,0.0,0.0,1.158979223703227e-08,0.0,0.0,1.158979223703227e-08
R03,04,531,8d76756d0caf6e6ba873c1fd0e63aa5b1697fb105d0186614fafc202c9167c34,0.0020768120884895325,0.00041343181510455906,0.00010776519775390625,0.0,0.0,0.0,0.0,0.0,0.0,0.025412023067474365,0.0005954003427177668,0.00027521635638549924,0.0,0.0,1.4165301820412424e-08,0.0,0.0,1.4165301820412424e-08
R04,01,178,ea293b8f5df36803d12ed4ca9f36606e5738eba957e9f940efa609a7c5f1751b,0.002304229885339737,0.0005660325405187905,0.0001963973045349121,0.0,0.0,1.1920928955078125e-07,0.0,0.0,1.1920928955078125e-07,0.19633625447750092,0.0007578122895210981,0.0018374606734141707,0.0,0.0,1.655684656043377e-08,0.0,0.0,1.655684656043377e-08
R04,02,144,11c5e96103cea1dad9a3c0fb8ce3ca12ef3d51420c9bd8ffcc54d387fff41145,0.0024498440325260162,0.0005743033834733069,0.00019866228103637695,0.0,0.0,0.0,0.0,0.0,0.0,0.016333594918251038,0.0005386298871599138,0.00019979476928710938,0.0,0.0,1.2325651610467503e-08,0.0,0.0,1.2325651610467503e-08
R04,03,74,43876752c5c94a11e49bd698649604f5ec4c16988728c70eb9524a142803caed,0.0024813953787088394,0.0005141712608747184,0.0001627206802368164,0.0,0.0,0.0,0.0,0.0,0.0,0.026981845498085022,0.000579677929636091,0.00033956821425817907,0.0,0.0,1.0853931975418618e-08,0.0,0.0,1.0853931975418618e-08
R04,03,460,dc25003b5b3b5fd5e65ea8d72bc4781885b07dd6729fdbce6d871f467ff0cb0a,0.0024176035076379776,0.0005249159876257181,0.0001679062843322754,0.0,0.0,0.0,0.0,0.0,0.0,0.2583102285861969,0.0006200540228746831,0.0010556768393144011,0.0,0.0,1.2325651610467503e-08,0.0,0.0,1.2325651610467503e-08
