name,count,device_type,self_cpu_us,self_device_us
TorchDynamo Cache Lookup,3,DeviceType.CPU,548.41,0
Torch-Compiled Region: 0/0,3,DeviceType.CPU,1245.411000000001,0.0
Pregraph bytecode,3,DeviceType.CPU,38.621999999999446,0
AOTDispatcher Runtime Wrapper Prologue,3,DeviceType.CPU,14.417000000001053,0
## Call CompiledFxGraph fyqfzevqyivfverfvb535iotpdsvl3b56cgjzcyifwihfgprbgtj ##,3,DeviceType.CPU,257.26299999999674,8175.818000000016
aten::_foreach_copy_,3,DeviceType.CPU,29.225000000001273,36.383999999999105
Activity Buffer Request,1,DeviceType.CPU,1944.063,14.271999999999935
cudaLaunchKernel,3,DeviceType.CPU,39.04300000000012,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Copy<c10::BFloat16, c10::BFloat16> >(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Copy<c10::BFloat16, c10::BFloat16>)",3,DeviceType.CUDA,0,36.383999999999105
cudaStreamIsCapturing,3,DeviceType.CPU,1.9540000000001783,0
cudaGraphLaunch,3,DeviceType.CPU,447.1399999999999,0
"void implicit_convolve_sgemm<__nv_bfloat16, __nv_bfloat16, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, __nv_bfloat16 const*, int, __nv_bfloat16*, __nv_bfloat16 const*, kernel_conv_params, unsigned long long, int, float, float, int, __nv_bfloat16 const*, __nv_bfloat16 const*, bool, bool, int, int)",3,DeviceType.CUDA,0,149.2150000000006
cudaDeviceSynchronize,4,DeviceType.CPU,8132.088999999998,7.2959999999984575
triton_poi_fused__to_copy__unsafe_index_add_arange_clamp_floor_mul_permute_rsub_slice_sub_unsqueeze_view_0,3,DeviceType.CUDA,0,62.4320000000007
triton_red_fused__to_copy_add_cat_clone_convolution_expand_native_layer_norm_permute_select_transpose_unsqueeze_view_1,3,DeviceType.CUDA,0,13.856000000000222
triton_poi_fused_constant_pad_nd_native_layer_norm_view_2,36,DeviceType.CUDA,0,66.27199999999766
"void at::native::tinygemm_m16n8k16_chunk_kernel<at::native::ALayout_RM<(at::native::KReductionType)0>, at::native::BLayout_TC_int4<8, 128>, at::native::ALayout_RM<(at::native::KReductionType)0>, 8, 8>(void const*, void const*, void const*, void*, int, int, int, int, int, int)",144,DeviceType.CUDA,0,7018.511000000004
triton_poi_fused__scaled_dot_product_flash_attention_add_transpose_unbind_view_3,36,DeviceType.CUDA,0,58.24000000000024
triton_poi_fused__scaled_dot_product_flash_attention_add_transpose_unbind_view_4,36,DeviceType.CUDA,0,59.93600000000333
triton_poi_fused__scaled_dot_product_flash_attention_add_transpose_unbind_view_5,36,DeviceType.CUDA,0,59.90500000000293
"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<64, 64, 256, 4, cutlass::bfloat16_t> >, false, false, false, false, true, false, true, false>(pytorch_flash::Flash_fwd_params)",36,DeviceType.CUDA,0,224.8000000000029
"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<64, 64, 256, 4, cutlass::bfloat16_t> >, 8, 1, true>(pytorch_flash::Flash_fwd_params)",36,DeviceType.CUDA,0,107.13499999999794
triton_poi_fused_constant_pad_nd_transpose_view_6,36,DeviceType.CUDA,0,34.20699999999897
triton_per_fused_add_mul_native_layer_norm_view_7,36,DeviceType.CUDA,0,80.22400000000334
triton_poi_fused_constant_pad_nd_native_layer_norm_view_8,36,DeviceType.CUDA,0,63.199000000000524
triton_poi_fused_add_gelu_view_9,36,DeviceType.CUDA,0,84.15899999999692
triton_per_fused_add_mul_native_layer_norm_view_10,33,DeviceType.CUDA,0,77.50300000000425
triton_per_fused_add_mul_native_layer_norm_view_11,3,DeviceType.CUDA,0,8.76799999999912
triton_per_fused__to_copy_clamp_min_div_expand_linalg_vector_norm_select_12,3,DeviceType.CUDA,0,3.2640000000019427
triton_per_fused__to_copy_clamp_min_div_expand_linalg_vector_norm_slice_13,3,DeviceType.CUDA,0,4.192000000000007
