scene,video,frame,input_bf16_sha256,fp32_cls_max_abs,fp32_cls_mean_abs,fp32_cls_cosine_mean,bf16_eager_cls_max_abs,bf16_eager_cls_mean_abs,bf16_eager_cls_cosine_mean,same_eager_cls_max_abs,same_eager_cls_mean_abs,same_eager_cls_cosine_mean,fp32_patch12_max_abs,fp32_patch12_mean_abs,fp32_patch12_cosine_mean,bf16_eager_patch12_max_abs,bf16_eager_patch12_mean_abs,bf16_eager_patch12_cosine_mean,same_eager_patch12_max_abs,same_eager_patch12_mean_abs,same_eager_patch12_cosine_mean
R01,01,0,f1e792111f1802b3ca869d55ad33c2b169dd4663baba4de8139325acfb92439e,0.05664258450269699,0.015350890345871449,0.1413329839706421,0.05620560422539711,0.015350095927715302,0.1406673789024353,0.0,0.0,0.0,0.2530069053173065,0.013495368883013725,0.11406900733709335,0.18220412731170654,0.013466882519423962,0.11354726552963257,0.0,0.0,1.1957721923749887e-08
R01,01,166,69a9e24b1f876dbdf270d48fdf157bed2e7925671e756195042ffc90c365dbdb,0.07212062180042267,0.016695350408554077,0.17004728317260742,0.07322655618190765,0.016723519191145897,0.1703552007675171,0.0,0.0,0.0,0.3221450746059418,0.014407615177333355,0.1327119767665863,0.3208978474140167,0.014435604214668274,0.13341575860977173,0.0,0.0,1.1773757080391078e-08
R01,02,130,4c956c29e4a35c79f8ceb372d6b9b06ace9a55789ab603441895073b3a5b5a9b,0.06846994906663895,0.016817666590213776,0.17099249362945557,0.06925195455551147,0.016829494386911392,0.17135417461395264,0.0,0.0,0.0,0.38132330775260925,0.014528192579746246,0.13403169810771942,0.38588598370552063,0.01454151701182127,0.1344633251428604,0.0,0.0,1.361340640215758e-08
R01,04,89,c524075a1b6753f158072b143a2abc080c6a696c9a7d52105b4678a99ce39424,0.06964512169361115,0.01685316674411297,0.17332369089126587,0.07026880979537964,0.016866613179445267,0.17344284057617188,0.0,0.0,0.0,0.32811951637268066,0.014132228679955006,0.1262793242931366,0.32195577025413513,0.014040790498256683,0.12378717213869095,0.0,0.0,1.0302037445342194e-08
R02,01,124,a2f9758507de0e99e6450df0563a85078141a564e9b1368e5fc167df56f16b06,0.08034207671880722,0.01741020753979683,0.1851683259010315,0.08014530688524246,0.017362715676426888,0.1843189001083374,0.0,0.0,0.0,0.2844579815864563,0.014146260917186737,0.12637069821357727,0.3134848475456238,0.014115448109805584,0.12594445049762726,0.0,0.0,1.5269090880565273e-08
R02,01,641,d456f74c76ee4d80175a18f9e38afa4449fb1bd1bce76f1d81831aca4f07f7ca,0.06505978852510452,0.016728445887565613,0.17194360494613647,0.06505870819091797,0.016772620379924774,0.17261111736297607,0.0,0.0,5.960464477539063e-08,0.2503458857536316,0.01407681405544281,0.12421072274446487,0.24868014454841614,0.014085983857512474,0.12433990091085434,0.0,0.0,1.3429441558798771e-08
R02,02,489,c669773675a78ce2ed13175ed137d4d6fcc5b0d6eb2555924aefea81c3196689,0.07500414550304413,0.017668841406702995,0.19186115264892578,0.07511333376169205,0.01765325851738453,0.19189667701721191,0.0,0.0,0.0,0.3867063522338867,0.01487246248871088,0.14142794907093048,0.38534197211265564,0.014882205985486507,0.14155550301074982,0.0,0.0,1.0486002288701002e-08
R02,04,345,d8a4d130293253a711f4e05276bda8683210d52da8bcfb59069edda31a55da52,0.06324640661478043,0.016450509428977966,0.16871309280395508,0.062356818467378616,0.016474232077598572,0.16953682899475098,0.0,0.0,0.0,0.24961774051189423,0.014612564817070961,0.13438962399959564,0.25167644023895264,0.014627331867814064,0.13457269966602325,0.0,0.0,9.382212340369733e-09
R03,01,258,786bc05c22be952e5e1b93510c87a4f2c06fed6167e69728bc61e043251370f6,0.05159445106983185,0.012058417312800884,0.08912444114685059,0.053148187696933746,0.01206967607140541,0.08939105272293091,0.0,0.0,0.0,0.25593334436416626,0.015000998973846436,0.14341998100280762,0.2555904984474182,0.015017924830317497,0.14370688796043396,0.0,0.0,1.545305572392408e-08
R03,02,111,adbac011eb8fb9763717956336ca29c46cb0d9a39f6884d1c5de636ae72a8538,0.05193575471639633,0.013090003281831741,0.10343527793884277,0.05221500247716904,0.013102960772812366,0.10371381044387817,0.0,0.0,0.0,0.3372713029384613,0.014556195586919785,0.13311287760734558,0.29446762800216675,0.014566890895366669,0.1331646889448166,0.0,0.0,9.934107758624577e-09
R03,02,691,454f8f03e6a533f224b2ff876976c6a85a021be11cc6b594b5c4633dec2539cf,0.06676562130451202,0.014777948148548603,0.13790422677993774,0.0664995014667511,0.01474428828805685,0.13694828748703003,0.0,0.0,1.1920928955078125e-07,0.224514439702034,0.014149767346680164,0.12441624701023102,0.2209116369485855,0.01412185002118349,0.12403330206871033,0.0,0.0,1.3429441558798771e-08
R03,04,531,8d76756d0caf6e6ba873c1fd0e63aa5b1697fb105d0186614fafc202c9167c34,0.05778924375772476,0.012862399220466614,0.1036912202835083,0.05648575723171234,0.01283989381045103,0.10331958532333374,0.0,0.0,0.0,0.18505772948265076,0.014585517346858978,0.1355201154947281,0.1596457064151764,0.014581678435206413,0.1353594809770584,0.0,0.0,8.278423280216884e-09
R04,01,178,ea293b8f5df36803d12ed4ca9f36606e5738eba957e9f940efa609a7c5f1751b,0.07190059125423431,0.0183610487729311,0.20535558462142944,0.07186396420001984,0.018316151574254036,0.2043556571006775,0.0,0.0,0.0,0.30237340927124023,0.015355291776359081,0.14758528769016266,0.408973753452301,0.015349050983786583,0.1477585732936859,0.0,0.0,1.4717196350488848e-08
R04,02,144,11c5e96103cea1dad9a3c0fb8ce3ca12ef3d51420c9bd8ffcc54d387fff41145,0.0663100928068161,0.017310405150055885,0.17931652069091797,0.06586960703134537,0.01725425384938717,0.1787421703338623,0.0,0.0,0.0,0.22771313786506653,0.014922714792191982,0.13878600299358368,0.23040425777435303,0.014943697489798069,0.1391180008649826,0.0,0.0,1.3061511872081155e-08
R04,03,74,43876752c5c94a11e49bd698649604f5ec4c16988728c70eb9524a142803caed,0.07205182313919067,0.015303903259336948,0.14196109771728516,0.07257075607776642,0.015302528627216816,0.14172637462615967,0.0,0.0,0.0,0.16111965477466583,0.014507545158267021,0.1307332068681717,0.16979844868183136,0.014535035938024521,0.13140487670898438,0.0,0.0,1.3429441558798771e-08
R04,03,460,dc25003b5b3b5fd5e65ea8d72bc4781885b07dd6729fdbce6d871f467ff0cb0a,0.08973497152328491,0.017081333324313164,0.1789708137512207,0.09049350023269653,0.017092080786824226,0.1797444224357605,0.0,0.0,1.7881393432617188e-07,0.2447909116744995,0.014757567085325718,0.1366456151008606,0.31072908639907837,0.014771631918847561,0.13684052228927612,0.0,0.0,1.3429441558798771e-08
