repeat,scene,video,frame,preprocess_ms,model_ms,total_ms,gpu_ms
0,R01,01,0,1.0530080180615187,5.132562946528196,6.185570964589715,5.100639820098877
0,R01,01,166,0.5777562037110329,5.054154898971319,5.631911102682352,5.036159992218018
0,R01,02,130,0.558359082788229,5.567529937252402,6.125889020040631,5.54640007019043
0,R01,04,89,0.6106779910624027,5.085804034024477,5.69648202508688,5.066624164581299
0,R02,01,124,0.5469471216201782,5.053394008427858,5.600341130048037,5.0371198654174805
0,R02,01,641,0.5256170406937599,5.5643238592892885,6.089940899983048,5.544384002685547
0,R02,02,489,0.5853089969605207,5.076998146250844,5.662307143211365,5.060512065887451
0,R02,04,345,0.5280820187181234,5.039979005232453,5.568061023950577,5.023744106292725
0,R03,01,258,0.6014800164848566,5.563532002270222,6.165012018755078,5.543935775756836
0,R03,02,111,0.6518848240375519,5.076768109574914,5.728652933612466,5.060287952423096
0,R03,02,691,0.5917111411690712,5.038765957579017,5.630477098748088,5.022751808166504
0,R03,04,531,0.5816929042339325,5.829783156514168,6.4114760607481,5.809760093688965
0,R04,01,178,0.5496728699654341,5.083209136500955,5.632882006466389,5.0668158531188965
0,R04,02,144,0.531448982656002,5.036480957642198,5.5679299402982,5.016448020935059
0,R04,03,74,0.6751490291208029,5.074973916634917,5.75012294575572,5.057439804077148
0,R04,03,460,0.5431498866528273,5.041470983996987,5.584620870649815,5.025216102600098
1,R01,01,0,0.5094869993627071,5.047142039984465,5.556629039347172,5.027616024017334
1,R01,01,166,0.7571431342512369,5.220758030191064,5.977901164442301,5.041215896606445
1,R01,02,130,0.5261690821498632,5.025450838729739,5.551619920879602,5.009376049041748
1,R01,04,89,0.512041850015521,5.048525054007769,5.56056690402329,5.022208213806152
1,R02,01,124,0.6074619013816118,5.074052140116692,5.681514041498303,5.057439804077148
1,R02,01,641,0.5126229953020811,5.033065099269152,5.545688094571233,5.017216205596924
1,R02,02,489,0.5088259931653738,5.034588044509292,5.5434140376746655,5.017536163330078
1,R02,04,345,0.6128509994596243,5.074032116681337,5.686883116140962,5.057983875274658
1,R03,01,258,0.5864119157195091,5.031401989981532,5.617813905701041,5.015135765075684
1,R03,02,111,0.5774048622697592,5.554495146498084,6.131900008767843,5.538656234741211
1,R03,02,691,0.6283309776335955,5.078039830550551,5.706370808184147,5.062143802642822
1,R03,04,531,0.5733571015298367,5.026543978601694,5.599901080131531,5.010496139526367
1,R04,01,178,0.5246850196272135,5.551940994337201,6.076626013964415,5.535935878753662
1,R04,02,144,0.5728260148316622,5.077308975160122,5.650134989991784,5.06166410446167
1,R04,03,74,0.5310080014169216,5.038195056840777,5.569203058257699,5.022655963897705
1,R04,03,460,0.5280319601297379,5.551830166950822,6.07986212708056,5.534495830535889
2,R01,01,0,0.5654019769281149,5.08658611215651,5.651988089084625,5.070623874664307
2,R01,01,166,0.513473991304636,5.03931799903512,5.552791990339756,5.018080234527588
2,R01,02,130,0.5472691264003515,5.83225698210299,6.379526108503342,5.807807922363281
2,R01,04,89,0.6454130634665489,5.086085060611367,5.731498124077916,5.064544200897217
2,R02,01,124,0.5502840504050255,5.031933076679707,5.582217127084732,5.012447834014893
2,R02,01,641,0.5651919636875391,5.832006921991706,6.397198885679245,5.807519912719727
2,R02,02,489,0.6136430893093348,5.100341979414225,5.713985068723559,5.0739521980285645
2,R02,04,345,0.5945570301264524,5.064473953098059,5.659030983224511,5.034560203552246
2,R03,01,258,1.2513010296970606,5.094239953905344,6.345540983602405,5.064576148986816
2,R03,02,111,0.6963689811527729,5.0525211263448,5.748890107497573,5.030432224273682
2,R03,02,691,0.6319270469248295,5.569373024627566,6.201300071552396,5.54691219329834
2,R03,04,531,0.6630360148847103,5.093428073450923,5.756464088335633,5.075295925140381
2,R04,01,178,0.5494318902492523,5.0457799807190895,5.595211870968342,5.029056072235107
2,R04,02,144,0.5457049701362848,5.56408311240375,6.109788082540035,5.543776035308838
2,R04,03,74,0.6037638522684574,5.078331101685762,5.68209495395422,5.061503887176514
2,R04,03,460,0.5424690898507833,5.032463930547237,5.574933020398021,5.01635217666626
