scene,video,frame,input_bf16_sha256,fp32_cls_max_abs,fp32_cls_mean_abs,fp32_cls_cosine_mean,bf16_eager_cls_max_abs,bf16_eager_cls_mean_abs,bf16_eager_cls_cosine_mean,same_eager_cls_max_abs,same_eager_cls_mean_abs,same_eager_cls_cosine_mean,fp32_patch12_max_abs,fp32_patch12_mean_abs,fp32_patch12_cosine_mean,bf16_eager_patch12_max_abs,bf16_eager_patch12_mean_abs,bf16_eager_patch12_cosine_mean,same_eager_patch12_max_abs,same_eager_patch12_mean_abs,same_eager_patch12_cosine_mean
R01,01,0,f1e792111f1802b3ca869d55ad33c2b169dd4663baba4de8139325acfb92439e,0.05741310119628906,0.015390745364129543,0.1424049735069275,0.05697612091898918,0.015386481769382954,0.1416962742805481,0.002109672874212265,0.00045138943823985755,0.0001327991485595703,0.2741019129753113,0.013512241654098034,0.11451250314712524,0.2032991200685501,0.0134839853271842,0.11398958414793015,0.053617410361766815,0.0004659310507122427,0.00018244098464492708
R01,01,166,69a9e24b1f876dbdf270d48fdf157bed2e7925671e756195042ffc90c365dbdb,0.07121121883392334,0.016693802550435066,0.17012226581573486,0.07231715321540833,0.016723010689020157,0.1704431176185608,0.0017506545409560204,0.00042567282798700035,0.00011366605758666992,0.3230191171169281,0.014395625330507755,0.1324956864118576,0.32177188992500305,0.014423971064388752,0.1332017332315445,0.009237304329872131,0.0004880721098743379,0.00015611780690960586
R01,02,130,4c956c29e4a35c79f8ceb372d6b9b06ace9a55789ab603441895073b3a5b5a9b,0.06777941435575485,0.01679755002260208,0.1706554889678955,0.06957869231700897,0.016806161031126976,0.1709810495376587,0.002825438976287842,0.0005382255185395479,0.0001850128173828125,0.38051846623420715,0.01446775533258915,0.13268771767616272,0.38508114218711853,0.014480330049991608,0.13310439884662628,0.151299387216568,0.0005849920562468469,0.0012768120504915714
R01,04,89,c524075a1b6753f158072b143a2abc080c6a696c9a7d52105b4678a99ce39424,0.06873736530542374,0.016835717484354973,0.17308473587036133,0.06936104595661163,0.016850367188453674,0.17321115732192993,0.002059139311313629,0.0004760779847856611,0.00014007091522216797,0.330606609582901,0.014091835357248783,0.12561574578285217,0.32444286346435547,0.014000903815031052,0.12310826033353806,0.043382659554481506,0.0005361700896173716,0.00023335550213232636
R02,01,124,a2f9758507de0e99e6450df0563a85078141a564e9b1368e5fc167df56f16b06,0.07993625104427338,0.017442984506487846,0.1862086057662964,0.07973948121070862,0.017389217391610146,0.18534618616104126,0.002561541274189949,0.0004855919105466455,0.00014704465866088867,0.26083970069885254,0.01414031907916069,0.12627765536308289,0.31349438428878784,0.01410895586013794,0.12584999203681946,0.006096363067626953,0.00046896690037101507,0.00014064359129406512
R02,01,641,d456f74c76ee4d80175a18f9e38afa4449fb1bd1bce76f1d81831aca4f07f7ca,0.06509587913751602,0.016778765246272087,0.17308425903320312,0.06509479880332947,0.016819337382912636,0.17377883195877075,0.0025721192359924316,0.0004988901200704277,0.00015932321548461914,0.2572239339351654,0.014078489504754543,0.12431609630584717,0.25555819272994995,0.014088858850300312,0.12446370720863342,0.02099764719605446,0.0005030225147493184,0.00016722653526812792
R02,02,489,c669773675a78ce2ed13175ed137d4d6fcc5b0d6eb2555924aefea81c3196689,0.07464590668678284,0.017694193869829178,0.19261175394058228,0.07475510239601135,0.01768471486866474,0.1926480531692505,0.002041444182395935,0.0004783718613907695,0.00014340877532958984,0.3797241151332855,0.014891599304974079,0.14173714816570282,0.37835973501205444,0.0149020841345191,0.141877219080925,0.0821954756975174,0.000537653046194464,0.0002455025096423924
R02,04,345,d8a4d130293253a711f4e05276bda8683210d52da8bcfb59069edda31a55da52,0.06362133473157883,0.01645522192120552,0.1689944863319397,0.06261861324310303,0.016481641680002213,0.1698131561279297,0.0015458794077858329,0.0004197358211968094,0.00010770559310913086,0.2402433604001999,0.014608781784772873,0.13441544771194458,0.2423020601272583,0.014622844755649567,0.134593203663826,0.016197415068745613,0.0004899512859992683,0.00015951067325659096
R03,01,258,786bc05c22be952e5e1b93510c87a4f2c06fed6167e69728bc61e043251370f6,0.05159216746687889,0.012081019580364227,0.08934366703033447,0.05314590409398079,0.012094546109437943,0.08960318565368652,0.001971594989299774,0.00034534954465925694,7.784366607666016e-05,0.23762880265712738,0.015001721680164337,0.14331549406051636,0.23728595674037933,0.015019181184470654,0.143613800406456,0.023183420300483704,0.00048250178224407136,0.00017525936709716916
R03,02,111,adbac011eb8fb9763717956336ca29c46cb0d9a39f6884d1c5de636ae72a8538,0.051442865282297134,0.013047573156654835,0.10282588005065918,0.05187753587961197,0.013062321580946445,0.10310649871826172,0.0019716620445251465,0.0004187115700915456,0.00011307001113891602,0.3641119599342346,0.01455578114837408,0.1331787258386612,0.32130831480026245,0.014565868303179741,0.13320264220237732,0.021856538951396942,0.0004855557344853878,0.0001542222307762131
