name,count,device_type,self_cpu_us,self_device_us
TorchDynamo Cache Lookup,3,DeviceType.CPU,154.78000000000065,0
Torch-Compiled Region: 0/0,3,DeviceType.CPU,99.99900000000025,0.0
Pregraph bytecode,3,DeviceType.CPU,54.13199999999998,0
AOTDispatcher Runtime Wrapper Prologue,3,DeviceType.CPU,15.107000000000028,0
## Call CompiledFxGraph fsvfxkkgi2qrscawzwysqiqib3ifl6gze6lohl3b3z4zfrxfwb24 ##,3,DeviceType.CPU,309.71199999999953,2866.776000000001
aten::_foreach_copy_,3,DeviceType.CPU,28.60300000000052,27.711999999999534
Activity Buffer Request,1,DeviceType.CPU,1962.529,13.152000000000044
cudaLaunchKernel,3,DeviceType.CPU,44.17299999999932,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Copy<c10::BFloat16, c10::BFloat16> >(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Copy<c10::BFloat16, c10::BFloat16>)",3,DeviceType.CUDA,0,27.711999999999534
cudaStreamIsCapturing,3,DeviceType.CPU,2.255000000000109,0
cudaGraphLaunch,3,DeviceType.CPU,560.9650000000006,0
"void implicit_convolve_sgemm<__nv_bfloat16, __nv_bfloat16, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, __nv_bfloat16 const*, int, __nv_bfloat16*, __nv_bfloat16 const*, kernel_conv_params, unsigned long long, int, float, float, int, __nv_bfloat16 const*, __nv_bfloat16 const*, bool, bool, int, int)",3,DeviceType.CUDA,0,128.57600000000002
triton_poi_fused__to_copy__unsafe_index_add_arange_clamp_floor_mul_permute_rsub_slice_sub_unsqueeze_view_0,3,DeviceType.CUDA,0,62.879999999999654
cudaDeviceSynchronize,4,DeviceType.CPU,2876.076,7.359999999999673
triton_red_fused__to_copy_add_cat_clone_convolution_expand_native_layer_norm_permute_select_transpose_unsqueeze_view_1,3,DeviceType.CUDA,0,15.00800000000072
triton_poi_fused___rshift____to_copy_add_bitwise_and_mul_stack_sub_unsqueeze_view_2,36,DeviceType.CUDA,0,143.71199999999862
triton_tem_fused_mm_native_layer_norm_t_view_3,36,DeviceType.CUDA,0,342.68899999999894
triton_poi_fused__scaled_dot_product_flash_attention__unsafe_view_add_transpose_unbind_view_4,36,DeviceType.CUDA,0,56.82800000000179
triton_poi_fused__scaled_dot_product_flash_attention__unsafe_view_add_transpose_unbind_view_5,36,DeviceType.CUDA,0,59.1370000000029
triton_poi_fused__scaled_dot_product_flash_attention__unsafe_view_add_transpose_unbind_view_6,36,DeviceType.CUDA,0,57.88599999999951
"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<64, 64, 256, 4, cutlass::bfloat16_t> >, false, false, false, false, true, false, true, false>(pytorch_flash::Flash_fwd_params)",36,DeviceType.CUDA,0,225.8239999999987
"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<64, 64, 256, 4, cutlass::bfloat16_t> >, 8, 1, true>(pytorch_flash::Flash_fwd_params)",36,DeviceType.CUDA,0,108.0319999999997
triton_poi_fused___rshift____to_copy_add_bitwise_and_mul_stack_sub_unsqueeze_view_7,36,DeviceType.CUDA,0,70.43099999999868
triton_tem_fused_mm_t_transpose_view_8,36,DeviceType.CUDA,0,190.94499999999925
triton_per_fused__unsafe_view_add_mul_native_layer_norm_9,36,DeviceType.CUDA,0,78.49400000000287
triton_poi_fused___rshift____to_copy_add_bitwise_and_mul_stack_sub_unsqueeze_view_10,36,DeviceType.CUDA,0,153.75800000000436
triton_tem_fused_mm_native_layer_norm_t_view_11,36,DeviceType.CUDA,0,403.3869999999997
triton_poi_fused___rshift____to_copy_add_bitwise_and_mul_stack_sub_unsqueeze_view_12,36,DeviceType.CUDA,0,139.55099999999993
triton_poi_fused__unsafe_view_add_gelu_13,36,DeviceType.CUDA,0,81.73000000000047
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_128x64_32x6_tn_align8>(cutlass_80_tensorop_s16816gemm_bf16_128x64_32x6_tn_align8::Params),36,DeviceType.CUDA,0,345.3129999999969
"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",36,DeviceType.CUDA,0,102.21000000000004
triton_per_fused__unsafe_view_add_mul_native_layer_norm_14,33,DeviceType.CUDA,0,84.2889999999984
triton_per_fused__unsafe_view_add_mul_native_layer_norm_15,3,DeviceType.CUDA,0,8.704000000000178
triton_per_fused__to_copy_clamp_min_div_expand_linalg_vector_norm_select_16,3,DeviceType.CUDA,0,3.3600000000001273
triton_per_fused__to_copy_clamp_min_div_expand_linalg_vector_norm_slice_17,3,DeviceType.CUDA,0,4.031999999999698
