name,count,device_type,self_cpu_us,self_device_us
aten::conv2d,3,DeviceType.CPU,5.962000000002263,0.0
aten::convolution,3,DeviceType.CPU,4.8989999999994325,0.0
aten::_convolution,3,DeviceType.CPU,33.90199999999754,0.0
aten::cudnn_convolution,3,DeviceType.CPU,60.83600000000138,180.60699999999815
Activity Buffer Request,1,DeviceType.CPU,1967.9679999999998,61.3119999999999
cudaLaunchKernel,2034,DeviceType.CPU,8164.978000000143,0
cudaGetErrorString,3,DeviceType.CPU,0.2600000000002183,0
"void implicit_convolve_sgemm<__nv_bfloat16, __nv_bfloat16, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, __nv_bfloat16 const*, int, __nv_bfloat16*, __nv_bfloat16 const*, kernel_conv_params, unsigned long long, int, float, float, int, __nv_bfloat16 const*, __nv_bfloat16 const*, bool, bool, int, int)",3,DeviceType.CUDA,0,180.60699999999815
aten::reshape,618,DeviceType.CPU,247.75700000001643,0
aten::view,810,DeviceType.CPU,325.13199999999733,0
aten::add_,3,DeviceType.CPU,21.24999999999727,6.911999999999807
aten::flatten,3,DeviceType.CPU,2.665999999999258,0
aten::transpose,435,DeviceType.CPU,243.83399999997573,0
aten::as_strided,1149,DeviceType.CPU,400.77400000007447,0
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::BFloat16> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::BFloat16> const&)::{lambda(int)#1})",147,DeviceType.CUDA,0,876.9279999999803
aten::expand,9,DeviceType.CPU,7.930999999992309,0
aten::cat,150,DeviceType.CPU,884.0859999999925,548.8579999999843
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 3, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",3,DeviceType.CUDA,0,12.0949999999998
aten::to,588,DeviceType.CPU,275.8200000000538,0.0
aten::_to_copy,588,DeviceType.CPU,852.1139999999259,0.0
aten::empty_strided,624,DeviceType.CPU,1467.8430000000003,0
aten::copy_,588,DeviceType.CPU,1883.1639999999643,1904.94000000001
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",441,DeviceType.CUDA,0,1575.1160000000004
aten::select,114,DeviceType.CPU,98.09099999999899,0
aten::slice,6,DeviceType.CPU,4.919000000008509,0
aten::permute,6,DeviceType.CPU,4.6370000000047185,0
aten::upsample_bicubic2d,3,DeviceType.CPU,29.12399999999934,6604.109000000003
aten::zero_,3,DeviceType.CPU,4.718999999995049,0.0
aten::fill_,3,DeviceType.CPU,11.521999999998116,2.8149999999996
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",3,DeviceType.CUDA,0,2.8149999999996
"void at::native::(anonymous namespace)::upsample_bicubic2d_out_frame<float, float>(int, float, float, bool, torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, float const, 3ul, torch::headeronly::DefaultPtrTraits, long>, at::detail::IndexBoundsCheck<4ul, long>, float const, 4ul, torch::headeronly::DefaultPtrTraits, long>, torch::headeronly::detail::GenericPackedTensorAccessor<torch::headeronly::detail::TensorAccessor<c10::ArrayRef<long>, float, 3ul, torch::headeronly::DefaultPtrTraits, long>, at::detail::IndexBoundsCheck<4ul, long>, float, 4ul, torch::headeronly::DefaultPtrTraits, long>)",3,DeviceType.CUDA,0,6604.109000000003
aten::unsqueeze,579,DeviceType.CPU,369.7219999999802,0
aten::add,363,DeviceType.CPU,1881.3909999999496,1711.745999999981
aten::layer_norm,75,DeviceType.CPU,115.57199999997829,0.0
