name,count,device_type,self_cpu_us,self_device_us,device_total_us
aten::lift_fresh,10,DeviceType.CPU,3.486999999995305,0,0
aten::to,765,DeviceType.CPU,227.91800000002308,0.0,116.35500000001093
aten::_to_copy,40,DeviceType.CPU,116.76400000000348,0.0,116.35500000001093
aten::empty_strided,160,DeviceType.CPU,632.022000000024,0,0
aten::copy_,280,DeviceType.CPU,1302.6300000000329,632.1339999999983,640.0699999999983
Activity Buffer Request,1,DeviceType.CPU,211.94099999999997,7.9360000000000355,7.9360000000000355
cudaStreamIsCapturing,10,DeviceType.CPU,9.688000000007264,0,0
cudaMemcpyAsync,70,DeviceType.CPU,877.1949999999877,0,0
cudaStreamSynchronize,10,DeviceType.CPU,93.08699999999249,0,0
Memcpy HtoD (Pageable -> Device),10,DeviceType.CUDA,0,41.7600000000009,41.7600000000009
aten::permute,15,DeviceType.CPU,25.61799999999846,0,0
aten::as_strided,910,DeviceType.CPU,423.11099999990995,0,0
aten::unsqueeze,10,DeviceType.CPU,12.682000000000244,0,0
cudaLaunchKernel,1520,DeviceType.CPU,7552.278999999876,0,0
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",20,DeviceType.CUDA,0,55.106000000012614,55.106000000012614
aten::div,25,DeviceType.CPU,141.52700000000027,36.67299999998852,36.67299999998852
