name,count,device_type,self_cpu_us,self_device_us,device_total_us
aten::lift_fresh,5,DeviceType.CPU,2.6760000000026594,0,0
aten::to,10,DeviceType.CPU,23.159999999998945,0.0,59.64799999999923
aten::_to_copy,10,DeviceType.CPU,40.3820000000037,0.0,59.64799999999923
aten::empty_strided,10,DeviceType.CPU,45.885000000002776,0,0
aten::copy_,10,DeviceType.CPU,59.246999999995296,51.71199999999908,59.64799999999923
Activity Buffer Request,1,DeviceType.CPU,2011.7089999999998,7.936000000000149,7.936000000000149
cudaStreamIsCapturing,10,DeviceType.CPU,8.97800000000143,0,0
cudaMemcpyAsync,5,DeviceType.CPU,97.88499999999658,0,0
cudaStreamSynchronize,5,DeviceType.CPU,53.87300000000005,0,0
Memcpy HtoD (Pageable -> Device),5,DeviceType.CUDA,0,39.16800000000103,39.16800000000103
aten::permute,5,DeviceType.CPU,11.480999999999312,0,0
aten::as_strided,10,DeviceType.CPU,8.899000000000342,0,0
aten::unsqueeze,5,DeviceType.CPU,6.029000000002725,0,0
cudaLaunchKernel,20,DeviceType.CPU,151.13499999999658,0,0
aten::div,5,DeviceType.CPU,40.25800000000163,6.145000000001801,6.145000000001801
aten::sub,5,DeviceType.CPU,30.21800000000303,5.951999999998861,5.951999999998861
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",5,DeviceType.CUDA,0,12.54399999999805,12.54399999999805
