name,count,device_type,self_cpu_us,self_device_us,device_total_us
aten::lift_fresh,5,DeviceType.CPU,3.0059999999659226,0,0
aten::to,10,DeviceType.CPU,25.144999999981337,0.0,59.55100000003313
aten::_to_copy,10,DeviceType.CPU,43.843000000038046,0.0,59.55100000003313
aten::empty_strided,10,DeviceType.CPU,48.332000000002665,0,0
aten::copy_,10,DeviceType.CPU,66.42200000005414,51.61500000003343,59.55100000003313
Activity Buffer Request,1,DeviceType.CPU,2089.955,7.935999999999694,7.935999999999694
cudaStreamIsCapturing,10,DeviceType.CPU,10.069999999984248,0,0
cudaMemcpyAsync,5,DeviceType.CPU,107.09299999997847,0,0
cudaStreamSynchronize,5,DeviceType.CPU,54.183000000006814,0,0
Memcpy HtoD (Pageable -> Device),5,DeviceType.CUDA,0,39.35900000001675,39.35900000001675
aten::permute,5,DeviceType.CPU,15.14000000000624,0,0
aten::as_strided,10,DeviceType.CPU,11.181000000039148,0,0
aten::unsqueeze,5,DeviceType.CPU,6.824999999977081,0,0
cudaLaunchKernel,20,DeviceType.CPU,164.09199999996918,0,0
aten::div,5,DeviceType.CPU,51.67600000001994,6.527999999953863,6.527999999953863
aten::sub,5,DeviceType.CPU,35.06599999999207,5.888000000005377,5.888000000005377
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",485,DeviceType.CUDA,0,1273.2980000000853,1273.2980000000853
